candidate_index,feature_selection__k,regressor__C,regressor__epsilon,split_1_validation_bounded_mae,split_2_validation_bounded_mae,split_3_validation_bounded_mae,mean_validation_bounded_mae,std_validation_bounded_mae,rank
0,50,0.01,0.0,0.8996460847873433,0.7751058054660435,0.7859877140508935,0.8202465347680934,0.0563194483345187,46
1,50,0.01,0.1,0.8986633089225153,0.7734533524872473,0.7957252343964556,0.8226139652687395,0.05453828125620883,47
2,50,0.01,0.2,0.9062683199277844,0.7571381453099802,0.811102278048837,0.8248362477622005,0.06165181094096038,48
3,50,0.1,0.0,0.32935701263335565,0.45166128285523244,0.3897017949605977,0.3902400301497286,0.04993195971496665,23
4,50,0.1,0.1,0.3256287013534555,0.44930859180420996,0.38138515256567296,0.38544081524111284,0.05057347872340714,19
5,50,0.1,0.2,0.34682304999591274,0.46300442481907134,0.3919929493296645,0.4006068080482162,0.047820336576727095,27
6,50,1.0,0.0,0.33245276499973797,0.4503799292637158,0.38695920443781445,0.3899306329004228,0.04818939065926649,22
7,50,1.0,0.1,0.31843083873928235,0.4569541468344993,0.3864813629674777,0.3872887828470864,0.056554785630437386,21
8,50,1.0,0.2,0.32249069754051085,0.4719341950673504,0.39436512840582044,0.3962633403378939,0.06102481541508571,25
9,50,10.0,0.0,0.3231422261976886,0.45682745180256806,0.38113193884412616,0.38703387228146097,0.05473609107941443,20
10,50,10.0,0.1,0.32641395600659356,0.4644280784743025,0.3876204686941922,0.3928208343916961,0.05646389615009915,24
11,50,10.0,0.2,0.3236951211632333,0.47532234817031277,0.40159279496618006,0.4002034214332421,0.061909351806086206,26
12,100,0.01,0.0,0.7061975879525422,0.6602785702213203,0.6849201321620367,0.6837987634452998,0.01876312248710618,40
13,100,0.01,0.1,0.6973074868403,0.6598316258031995,0.6977222243611501,0.68495377900155,0.017764851773353612,41
14,100,0.01,0.2,0.7089225733021612,0.6510766831502844,0.7106569282678596,0.6902187282401018,0.02768666065270098,42
15,100,0.1,0.0,0.3516265283881911,0.32155022445373915,0.3653801400557426,0.346185630965891,0.018302420586535913,17
16,100,0.1,0.1,0.3272344121473844,0.3110023106413656,0.36568592092661734,0.3346408812384558,0.022930563981362947,13
17,100,0.1,0.2,0.32839963777583747,0.30299824724728497,0.3624650781839788,0.33128765440236707,0.024362970199870465,12
18,100,1.0,0.0,0.34029754018779557,0.2780196517611391,0.39463666130796965,0.3376512844189681,0.04764545260642707,15
19,100,1.0,0.1,0.31577372050125724,0.29152990672627677,0.3634148116979205,0.32357281297515156,0.02986055674026444,10
20,100,1.0,0.2,0.30829033562005675,0.30657821096521254,0.34978885728396997,0.32155246795641307,0.01997837338059095,8
21,100,10.0,0.0,0.3310731078527272,0.3025465226247496,0.382519853520125,0.338713161332534,0.0330929118947047,16
22,100,10.0,0.1,0.31502914151741596,0.30808561913434773,0.38345581359975073,0.33552352475050484,0.03401158000364681,14
23,100,10.0,0.2,0.2968395020510539,0.29819347335559127,0.3666267124742925,0.32055322929364594,0.03258356128347926,7
24,200,0.01,0.0,0.6213087869179481,0.5554234209234571,0.5807151021238868,0.5858157699884307,0.027138324347133168,28
25,200,0.01,0.1,0.6181524368899901,0.5725998995960233,0.5772550113342083,0.5893357826067406,0.020464883571360146,29
26,200,0.01,0.2,0.6413780953852433,0.5673637454072038,0.5604352755453335,0.5897257054459268,0.0366331176531938,30
27,200,0.1,0.0,0.2710412759185578,0.36761315708217246,0.2330336364450685,0.29056268981526623,0.05664936624607624,1
28,200,0.1,0.1,0.29494549945343024,0.36110076762617255,0.22924601163994363,0.2950974262398488,0.05382958591925892,2
29,200,0.1,0.2,0.2897165247407724,0.36897053418388875,0.2429762289082961,0.3005544292776524,0.05200472011611191,3
30,200,1.0,0.0,0.2608170534591825,0.45097956856348353,0.2586283085939518,0.32347497687220594,0.09016378921270937,9
31,200,1.0,0.1,0.2730918635797549,0.39746593331964314,0.2467537284214552,0.3057705084402844,0.06572398115735638,4
32,200,1.0,0.2,0.2736240753489027,0.39558394773136385,0.26591999721955806,0.31170934009994156,0.059391641156813446,5
33,200,10.0,0.0,0.3220827092693235,0.510361378832874,0.29216112827239255,0.3748684054581967,0.0965835894541519,18
34,200,10.0,0.1,0.3064567781922209,0.40252111297642085,0.2794572875838882,0.32947839291750997,0.05281207146401711,11
35,200,10.0,0.2,0.2736240753489027,0.39558394773136385,0.2793020045945728,0.3161700092249465,0.0562019569170297,6
36,all,0.01,0.0,0.749386585736793,0.6866968005604841,0.8605039539418178,0.7655291134130316,0.07186871151140442,44
37,all,0.01,0.1,0.7571933145967842,0.6802573886734243,0.8547883034958653,0.7640796689220246,0.07141814178535266,43
38,all,0.01,0.2,0.7668218712890367,0.6774951770147746,0.853574792313861,0.7659639468725574,0.07188676167740883,45
39,all,0.1,0.0,0.5505810087167108,0.5747322741525389,0.6582407360142193,0.5945180062944896,0.04612490735483553,31
40,all,0.1,0.1,0.5612063036291963,0.5788044304400319,0.6939318519711999,0.6113141953468094,0.058859614940363736,34
41,all,0.1,0.2,0.5736559413135431,0.5922021426157118,0.7335115385507085,0.6331232074933212,0.07138792220467383,37
42,all,1.0,0.0,0.5505810087167108,0.5747322741525389,0.6582407360142193,0.5945180062944896,0.04612490735483553,31
43,all,1.0,0.1,0.5612063036291963,0.5788044304400319,0.6939318519711999,0.6113141953468094,0.058859614940363736,34
44,all,1.0,0.2,0.5736559413135431,0.5922021426157118,0.7335115385507085,0.6331232074933212,0.07138792220467383,37
45,all,10.0,0.0,0.5505810087167108,0.5747322741525389,0.6582407360142193,0.5945180062944896,0.04612490735483553,31
46,all,10.0,0.1,0.5612063036291963,0.5788044304400319,0.6939318519711999,0.6113141953468094,0.058859614940363736,34
47,all,10.0,0.2,0.5736559413135431,0.5922021426157118,0.7335115385507085,0.6331232074933212,0.07138792220467383,37
