candidate_index,feature_selection__k,regressor__C,regressor__epsilon,split_1_validation_bounded_mae,split_2_validation_bounded_mae,split_3_validation_bounded_mae,mean_validation_bounded_mae,std_validation_bounded_mae,rank
0,50,0.01,0.0,0.8654696598752716,0.8593180865231481,0.8778308293463253,0.8675395252482483,0.007698210558563183,48
1,50,0.01,0.1,0.8633287990661147,0.8386646053223381,0.8748478481539087,0.8589470841807872,0.015093184652999884,47
2,50,0.01,0.2,0.8530081215923726,0.8138709603989321,0.8764787817665256,0.8477859545859433,0.025824898777231778,46
3,50,0.1,0.0,0.3716585566138285,0.41418388641277953,0.3568783468568148,0.38090692996114095,0.024291706720998684,22
4,50,0.1,0.1,0.36444297828385147,0.41663310156777794,0.3610108592335046,0.3806956463617113,0.025450217750345096,21
5,50,0.1,0.2,0.3621616642466755,0.41240614712355517,0.3632367254042188,0.37926817892481646,0.02343619197421766,20
6,50,1.0,0.0,0.3687225165869505,0.4120209199227775,0.3430671736713312,0.37460353672701974,0.02845575019737529,17
7,50,1.0,0.1,0.362605885302803,0.4091061919957397,0.3438466811555139,0.3718529194846856,0.02743272582940632,16
8,50,1.0,0.2,0.34601245210016596,0.387062764748648,0.34434381865872415,0.3591396785025127,0.019756351611946752,12
9,50,10.0,0.0,0.37885594217159557,0.4150812078047053,0.33593341743106947,0.37662352246912345,0.03235048638019981,19
10,50,10.0,0.1,0.37363919323162187,0.42258727970944204,0.3290616875700657,0.37509605350370984,0.03819555757453594,18
11,50,10.0,0.2,0.344903109969708,0.3856085303429605,0.3295702203095872,0.3533606202074186,0.0236462845201926,11
12,100,0.01,0.0,0.7190981651939148,0.7056746713529142,0.7408949637775882,0.7218892667748058,0.01451344056718983,44
13,100,0.01,0.1,0.7024571692860722,0.719486686336714,0.7425027783237708,0.7214822113155189,0.0164093325225988,43
14,100,0.01,0.2,0.7108822733725091,0.7298438396333563,0.7420145538904482,0.7275802222987712,0.012810092248951969,45
15,100,0.1,0.0,0.3314664712362069,0.3652648425369307,0.3313379969586059,0.3426897702439145,0.01596307287014172,7
16,100,0.1,0.1,0.31210501776545085,0.36721742010570374,0.32255488447779906,0.33395910744965124,0.023900996480234436,5
17,100,0.1,0.2,0.3090805328937415,0.3478089809479266,0.3167568003252455,0.3245487713889712,0.016743342596683673,1
18,100,1.0,0.0,0.35108915989864486,0.42149228374231645,0.3136170416538845,0.36206616176494855,0.0447186604703158,14
19,100,1.0,0.1,0.3253513810353058,0.4053222745365396,0.2909759901500897,0.34054988190731167,0.04790277660577371,6
20,100,1.0,0.2,0.33236833555443934,0.3805293273527578,0.2861295624202842,0.33300907510916045,0.038541205786442004,4
21,100,10.0,0.0,0.34801673489690693,0.4268160327791776,0.316528081688849,0.3637869497883112,0.046385218890047875,15
22,100,10.0,0.1,0.304794326888612,0.41737065890248615,0.3127177199551851,0.3449609019154278,0.05130350683020602,9
23,100,10.0,0.2,0.3037659422526189,0.39375888718415686,0.2943318499120067,0.3306188931162608,0.04481253293996564,3
24,200,0.01,0.0,0.6615883948123186,0.6459138564529618,0.6504823351903185,0.652661528818533,0.006582018527608598,41
25,200,0.01,0.1,0.6526287773725816,0.6551841045843058,0.6379390970111878,0.6485839929893583,0.0075990254673126345,40
26,200,0.01,0.2,0.6533327030865621,0.6733989009138879,0.6445992442375327,0.6571102827459941,0.012057021114451644,42
27,200,0.1,0.0,0.4191024242849633,0.3712385533537303,0.29037116024098863,0.3602373792932274,0.053126916960689476,13
28,200,0.1,0.1,0.36753208831842715,0.3410474414718845,0.2776230694679843,0.32873419975276535,0.037723731336188664,2
29,200,0.1,0.2,0.3781917161665939,0.34568897104960256,0.30662936942776337,0.3435033522146533,0.02925605424478743,8
30,200,1.0,0.0,0.45333735289729155,0.4456991511775314,0.27123607269590244,0.39009085892357515,0.08410085488387248,24
31,200,1.0,0.1,0.36112237121881025,0.40202937087904855,0.2877820670765994,0.3503112697248194,0.04726359799512592,10
32,200,1.0,0.2,0.4192995470412817,0.4074227462462939,0.32627305565282255,0.3843317829801327,0.041339057104479854,23
33,200,10.0,0.0,0.42255327732625064,0.50072572841507,0.32396223760533444,0.4157470811155517,0.07232369897875693,25
34,200,10.0,0.1,0.4675344031211434,0.49240704166437643,0.297810037232018,0.41925049400584596,0.08646964956215393,26
35,200,10.0,0.2,0.47774902772765854,0.5264448084491554,0.3141050221208243,0.4394329527658794,0.09082267490316075,27
36,all,0.01,0.0,0.7183972475100644,0.6316396144145894,0.5763868787209249,0.6421412468818595,0.05844911989223374,39
37,all,0.01,0.1,0.6915658241996832,0.6239186179738786,0.5548019724767158,0.6234288048834259,0.0558346829021361,38
38,all,0.01,0.2,0.6806280259319254,0.6373942954158048,0.5351747039541337,0.617732341767288,0.06098694687964579,37
39,all,0.1,0.0,0.6314416258438722,0.5059147466459467,0.5190230596523764,0.5521264773807318,0.05633901282572695,34
40,all,0.1,0.1,0.6378332791587102,0.4993384138998901,0.49975730545856073,0.5456429995057203,0.06518859621338097,31
41,all,0.1,0.2,0.6428594401027397,0.48912935776889954,0.4885603556232543,0.5401830511649645,0.07260354249776152,28
42,all,1.0,0.0,0.6314416258438722,0.5059147466459467,0.5190230596523764,0.5521264773807318,0.05633901282572695,34
43,all,1.0,0.1,0.6378332791587102,0.4993384138998901,0.49975730545856073,0.5456429995057203,0.06518859621338097,31
44,all,1.0,0.2,0.6428594401027397,0.48912935776889954,0.4885603556232543,0.5401830511649645,0.07260354249776152,28
45,all,10.0,0.0,0.6314416258438722,0.5059147466459467,0.5190230596523764,0.5521264773807318,0.05633901282572695,34
46,all,10.0,0.1,0.6378332791587102,0.4993384138998901,0.49975730545856073,0.5456429995057203,0.06518859621338097,31
47,all,10.0,0.2,0.6428594401027397,0.48912935776889954,0.4885603556232543,0.5401830511649645,0.07260354249776152,28
