modality,macro_f1,balanced_accuracy,accuracy,severe_error_rate,seed_macro_f1_mean,seed_macro_f1_sample_sd,canonical_rows,rank
flight_parameter_features,0.8634578130317547,0.8640926290690443,0.863961813842482,0.011933174224343675,0.8233767541838629,0.01275108601089924,419,1
head_movement_features,0.37329579641748495,0.3751507533347156,0.3747016706443914,0.23389021479713604,0.33691195615256564,0.024670916482350973,419,2
eye_tracking_features,0.34683349117311385,0.35163452899301956,0.35083532219570407,0.2386634844868735,0.34577837359798097,0.012941443997791282,419,3
physiological_features,0.33219003734443714,0.3407448683392079,0.3412887828162291,0.3126491646778043,0.27961065549064157,0.018598188492973174,419,4
body_movement,0.22837948725603024,0.24507654295390144,0.2458233890214797,0.3317422434367542,0.26296411884483334,0.015843148504666955,419,5
