modality,bounded_mae,raw_mae,bounded_rmse,bounded_r2,bounded_spearman,clipping_count,clipping_rate,seed_bounded_mae_mean,seed_bounded_mae_sample_sd,canonical_rows,rank
flight_parameter_features,0.261109975823389,0.2795363179236277,0.3891038696115387,0.8786467038722958,0.9312472328247438,54,0.1288782816229117,0.2738941735083532,0.00803250343853404,419,1
eye_tracking_features,0.8473534994558473,0.8615168983102625,1.0570018041513607,0.10448691846393277,0.42628466577840995,26,0.06205250596658711,0.8662606949880669,0.010339457654988988,419,2
head_movement_features,0.8907766639761335,0.905127084816229,1.0987601541184873,0.03233222089317267,0.35427837201151746,19,0.045346062052505964,0.9186259760859187,0.01981967228707369,419,3
physiological_features,1.0107883840918663,1.0586049994452793,1.2919468688488496,-0.33785727506872254,0.17515247832840228,52,0.12410501193317422,1.0483311367541766,0.02621842815652237,419,4
body_movement,1.026069500105012,1.0577975359086396,1.2668800089533119,-0.2864456520092731,0.1277737342131786,43,0.1026252983293556,1.06447590300716,0.023696524501712425,419,5
