subject_id,modality,classification_macro_f1,classification_severe_error_rate,regression_bounded_mae,regression_residual_mean,oof_runs
sub-cp003,physiological_features,0.16233766233766234,0.5,1.0759334804999998,0.043258377166666695,12
sub-cp004,physiological_features,0.4095238095238095,0.25,0.9359518466666668,0.29425569,12
sub-cp005,physiological_features,0.2403846153846154,0.5833333333333334,1.1454540995,-0.34407435049999996,12
sub-cp006,physiological_features,0.22698412698412698,0.4166666666666667,1.2414824974999998,0.3229985558333333,12
sub-cp008,physiological_features,0.20833333333333331,0.5,1.2099834791666666,0.13342476916666665,12
sub-cp009,physiological_features,0.475,0.4166666666666667,0.9842027913333334,-0.17972402200000007,12
sub-cp011,physiological_features,0.38636363636363635,0.4166666666666667,0.9740153965,0.5421820258333333,12
sub-cp012,physiological_features,0.18333333333333335,0.3333333333333333,1.1064330483333331,0.5661032136666667,12
sub-cp013,physiological_features,0.23392857142857143,0.4166666666666667,0.7765579860000001,-0.067022808,12
sub-cp014,physiological_features,0.175,0.5,0.417248036,0.09581111733333335,12
sub-cp015,physiological_features,0.47500000000000003,0.25,1.4504413811666665,0.6208419978333333,12
sub-cp016,physiological_features,0.6458333333333333,0.16666666666666666,0.5596534553333333,0.12383372633333341,12
sub-cp017,physiological_features,0.28253968253968254,0.16666666666666666,1.1513362766666666,-0.10605170333333351,12
sub-cp018,physiological_features,0.4484126984126984,0.3333333333333333,1.1889041016666668,0.8994746683333336,12
sub-cp019,physiological_features,0.3125,0.08333333333333333,1.2587313223333334,-0.3485023656666666,12
sub-cp020,physiological_features,0.42857142857142855,0.16666666666666666,0.8838952303333335,0.47313468566666667,12
sub-cp022,physiological_features,0.225,0.25,0.7508330446666666,-0.05976398533333327,12
sub-cp023,physiological_features,0.17424242424242425,0.25,1.1837417576666667,0.1596978023333334,12
sub-cp024,physiological_features,0.3833333333333333,0.4166666666666667,1.4668868683333331,0.31893043166666674,12
sub-cp025,physiological_features,0.2153846153846154,0.16666666666666666,1.0878527883333335,-0.5772363716666667,12
sub-cp026,physiological_features,0.375,0.16666666666666666,0.7290079676666666,0.052410365666666715,12
sub-cp027,physiological_features,0.3589285714285714,0.16666666666666666,1.0078121500000001,0.04853656333333334,12
sub-cp028,physiological_features,0.3234126984126984,0.25,0.8985801169999998,0.506760102,12
sub-cp029,physiological_features,0.41111111111111115,0.3333333333333333,0.8391491525,-0.013376624166666665,12
sub-cp030,physiological_features,0.3159090909090909,0.45454545454545453,1.1395302181818183,-0.30032336000000004,11
sub-cp031,physiological_features,0.1736111111111111,0.3333333333333333,1.2313469491666666,0.17330576583333335,12
sub-cp032,physiological_features,0.30000000000000004,0.25,0.8787700625,-0.5344942524999999,12
sub-cp033,physiological_features,0.3392857142857143,0.5,0.787695374,-0.24012647600000003,12
sub-cp035,physiological_features,0.1,0.08333333333333333,0.9045745531666666,0.3568045768333333,12
sub-cp036,physiological_features,0.22916666666666666,0.16666666666666666,0.7131849065410001,-0.19485303345900004,12
sub-cp037,physiological_features,0.08333333333333333,0.5,1.0388599143333335,0.3324621823333334,12
sub-cp038,physiological_features,0.25396825396825395,0.16666666666666666,1.0263797256666667,0.21590138333333342,12
sub-cp039,physiological_features,0.24285714285714285,0.25,1.0135172163333335,-0.3436730983333334,12
sub-cp042,physiological_features,0.12698412698412698,0.4166666666666667,1.2292901066666668,-0.17603569999999993,12
sub-cp043,physiological_features,0.3333333333333333,0.3333333333333333,1.1010846276666666,-0.36100401899999995,12
sub-cp003,eye_tracking_features,0.1,0.25,1.0000088500000002,0.5000177,12
sub-cp004,eye_tracking_features,0.5773809523809523,0.08333333333333333,0.9531836166666666,0.89267767,12
sub-cp005,eye_tracking_features,0.30833333333333335,0.25,0.8080423983333334,0.04354229499999999,12
sub-cp006,eye_tracking_features,0.20833333333333331,0.08333333333333333,0.7668062633333333,-0.21501867999999993,12
sub-cp008,eye_tracking_features,0.3638888888888889,0.25,0.6118116450000001,-0.40262087500000004,12
sub-cp009,eye_tracking_features,0.28253968253968254,0.5,1.1223877983333332,-0.135333315,12
sub-cp011,eye_tracking_features,0.2698412698412698,0.3333333333333333,0.794901505,0.24245242833333328,12
sub-cp012,eye_tracking_features,0.6583333333333333,0.0,0.3259339916666666,-0.20556802833333335,12
sub-cp013,eye_tracking_features,0.20192307692307693,0.5,0.8735017699999998,0.3544083533333335,12
sub-cp014,eye_tracking_features,0.19444444444444442,0.25,0.8043190075000002,0.3583656525,12
sub-cp015,eye_tracking_features,0.42500000000000004,0.08333333333333333,0.8487624183333334,0.2744611783333332,12
sub-cp016,eye_tracking_features,0.4363636363636364,0.3333333333333333,0.78579772,-0.5578925166666665,12
sub-cp017,eye_tracking_features,0.3214285714285714,0.3333333333333333,0.6828281383333333,-0.28612600166666674,12
sub-cp018,eye_tracking_features,0.23214285714285715,0.25,1.2688237483333333,-0.9176640483333331,12
sub-cp019,eye_tracking_features,0.3601190476190476,0.16666666666666666,0.6552950716666667,0.5873702416666667,12
sub-cp020,eye_tracking_features,0.3125,0.16666666666666666,0.9175635211666667,0.7740338365000001,12
sub-cp022,eye_tracking_features,0.23636363636363636,0.25,0.9230602033333332,-0.6561829166666667,12
sub-cp023,eye_tracking_features,0.21428571428571427,0.08333333333333333,0.583316315,-0.5554684350000001,12
sub-cp024,eye_tracking_features,0.0,0.16666666666666666,0.77810705,-0.35834718,12
sub-cp025,eye_tracking_features,0.47916666666666663,0.08333333333333333,0.5997697333333334,-0.4200102433333333,12
sub-cp026,eye_tracking_features,0.41428571428571426,0.08333333333333333,0.69845639,-0.16122151666666665,12
sub-cp027,eye_tracking_features,0.3111111111111111,0.0,0.7259835283333332,-0.09796007166666665,12
sub-cp028,eye_tracking_features,0.6027777777777779,0.25,0.8391142383333333,0.09554333166666669,12
sub-cp029,eye_tracking_features,0.375,0.0,0.8811813923333333,0.5963436889999999,12
sub-cp030,eye_tracking_features,0.11538461538461539,0.45454545454545453,1.1258335703636364,1.0851531085454544,11
sub-cp031,eye_tracking_features,0.09090909090909091,0.3333333333333333,0.8435218109999999,0.5917338943333333,12
sub-cp032,eye_tracking_features,0.2833333333333333,0.3333333333333333,0.8861811583333332,-0.44584970166666676,12
sub-cp033,eye_tracking_features,0.29166666666666663,0.25,0.7762947499999999,-0.34742853666666657,12
sub-cp035,eye_tracking_features,0.09090909090909091,0.3333333333333333,1.0102285899999999,-0.41096445666666676,12
sub-cp036,eye_tracking_features,0.29924242424242425,0.4166666666666667,1.0413063718333333,0.5301333861666667,12
sub-cp037,eye_tracking_features,0.5277777777777777,0.0,0.5157208316666667,0.26231692833333337,12
sub-cp038,eye_tracking_features,0.36388888888888893,0.4166666666666667,0.9632858243333334,0.1116378076666666,12
sub-cp039,eye_tracking_features,0.125,0.4166666666666667,1.3400779300000003,-1.1364997233333334,12
sub-cp042,eye_tracking_features,0.1736111111111111,0.4166666666666667,1.0199654983333335,0.10443100499999998,12
sub-cp043,eye_tracking_features,0.14583333333333331,0.25,0.9092065033333334,0.3763921233333334,12
sub-cp003,head_movement_features,0.5863636363636364,0.08333333333333333,0.9058891366666666,-0.3925476733333333,12
sub-cp004,head_movement_features,0.35833333333333334,0.25,0.7445072774999999,-0.21522200083333332,12
sub-cp005,head_movement_features,0.07142857142857142,0.3333333333333333,1.2189636449999999,0.10211567166666664,12
sub-cp006,head_movement_features,0.5363636363636364,0.16666666666666666,0.7758112608333333,0.23922506583333336,12
sub-cp008,head_movement_features,0.1111111111111111,0.25,0.9287903933333336,0.35617679333333335,12
sub-cp009,head_movement_features,0.3666666666666667,0.3333333333333333,1.0882251533333334,-0.4355548500000001,12
sub-cp011,head_movement_features,0.5595238095238095,0.16666666666666666,0.8554614641666668,0.5101151588333334,12
sub-cp012,head_movement_features,0.3392857142857143,0.3333333333333333,0.8040813283333333,0.16565149833333329,12
sub-cp013,head_movement_features,0.3464285714285714,0.3333333333333333,1.03176672,0.12193216666666666,12
sub-cp014,head_movement_features,0.29642857142857143,0.08333333333333333,0.53642325,0.3604824166666665,12
sub-cp015,head_movement_features,0.2111111111111111,0.16666666666666666,0.6610995466666667,0.02214474666666662,12
sub-cp016,head_movement_features,0.32619047619047614,0.16666666666666666,0.8918119149999998,-0.32592593166666645,12
sub-cp017,head_movement_features,0.17692307692307693,0.5,1.067260825,-0.6854774849999998,12
sub-cp018,head_movement_features,0.23214285714285715,0.4166666666666667,1.1203186433333334,-0.5369300166666666,12
sub-cp019,head_movement_features,0.3142857142857143,0.3333333333333333,1.0609801833333332,0.15680543333333333,12
sub-cp020,head_movement_features,0.525,0.08333333333333333,0.6799847023333333,0.2182384243333334,12
sub-cp022,head_movement_features,0.4363636363636364,0.16666666666666666,0.632443945,0.18986648833333328,12
sub-cp023,head_movement_features,0.3653846153846154,0.16666666666666666,0.7562279049999999,0.6640379083333333,12
sub-cp024,head_movement_features,0.2361111111111111,0.3333333333333333,1.2047931991666665,0.6982817808333333,12
sub-cp025,head_movement_features,0.2976190476190476,0.3333333333333333,0.7738987733333333,0.17471482333333324,12
sub-cp026,head_movement_features,0.275,0.4166666666666667,1.0755733849999998,-1.0439975916666664,12
sub-cp027,head_movement_features,0.30833333333333335,0.16666666666666666,0.8996392433333332,-0.09447870666666669,12
sub-cp028,head_movement_features,0.2792207792207792,0.08333333333333333,0.6645477383333335,0.030358571666666667,12
sub-cp029,head_movement_features,0.35119047619047616,0.0,0.642524625,0.2256245749999999,12
sub-cp030,head_movement_features,0.1875,0.36363636363636365,0.953638070909091,0.12298274363636365,11
sub-cp031,head_movement_features,0.5,0.0,0.849086345,-0.37801913833333334,12
sub-cp032,head_movement_features,0.20833333333333331,0.25,1.459567775,-1.2953298416666665,12
sub-cp033,head_movement_features,0.29444444444444445,0.16666666666666666,0.9395724311666666,0.39363288449999995,12
sub-cp035,head_movement_features,0.1,0.25,0.9472502766666664,-0.46904934666666653,12
sub-cp036,head_movement_features,0.375,0.08333333333333333,0.9345638483333335,0.300259935,12
sub-cp037,head_movement_features,0.5857142857142856,0.08333333333333333,0.6106770116666668,0.04193241833333331,12
