subject_id,modality,bounded_mae,bounded_rmse,oof_runs
sub-cp003,physiological_features,1.0759334804999998,1.3303372259973454,12
sub-cp004,physiological_features,0.9359518466666668,1.1351424620045438,12
sub-cp005,physiological_features,1.1454540995,1.3973187413527475,12
sub-cp006,physiological_features,1.2414824974999998,1.6177385918194331,12
sub-cp008,physiological_features,1.2099834791666666,1.4601176414292338,12
sub-cp009,physiological_features,0.9842027913333334,1.2131461804628123,12
sub-cp011,physiological_features,0.9740153965,1.30870484363786,12
sub-cp012,physiological_features,1.1064330483333331,1.2960835000550706,12
sub-cp013,physiological_features,0.7765579860000001,0.8975982225525194,12
sub-cp014,physiological_features,0.417248036,0.5097660214183809,12
sub-cp015,physiological_features,1.4504413811666665,1.6542358395904855,12
sub-cp016,physiological_features,0.5596534553333333,0.7354195202649333,12
sub-cp017,physiological_features,1.1513362766666666,1.3534370973740903,12
sub-cp018,physiological_features,1.1889041016666668,1.548819020073022,12
sub-cp019,physiological_features,1.2587313223333334,1.6410691516341716,12
sub-cp020,physiological_features,0.8838952303333335,1.0768402589089758,12
sub-cp022,physiological_features,0.7508330446666666,0.9503206243447659,12
sub-cp023,physiological_features,1.1837417576666667,1.3678329188594527,12
sub-cp024,physiological_features,1.4668868683333331,1.9043319656386155,12
sub-cp025,physiological_features,1.0878527883333335,1.3611642420977177,12
sub-cp026,physiological_features,0.7290079676666666,0.9220059146025453,12
sub-cp027,physiological_features,1.0078121500000001,1.3609192202515437,12
sub-cp028,physiological_features,0.8985801169999998,1.1071917209983884,12
sub-cp029,physiological_features,0.8391491525,1.052072518143811,12
sub-cp030,physiological_features,1.1395302181818183,1.5461637943603126,11
sub-cp031,physiological_features,1.2313469491666666,1.5190482525168607,12
sub-cp032,physiological_features,0.8787700625,1.0738861308886862,12
sub-cp033,physiological_features,0.787695374,1.0201096999849926,12
sub-cp035,physiological_features,0.9045745531666666,1.2201034740381154,12
sub-cp036,physiological_features,0.7131849065410001,0.9957693560488712,12
sub-cp037,physiological_features,1.0388599143333335,1.1988674096150111,12
sub-cp038,physiological_features,1.0263797256666667,1.204809485339948,12
sub-cp039,physiological_features,1.0135172163333335,1.2631613070585586,12
sub-cp042,physiological_features,1.2292901066666668,1.4792488472977268,12
sub-cp043,physiological_features,1.1010846276666666,1.4478167361508454,12
sub-cp003,eye_tracking_features,1.0000088500000002,1.224752097492913,12
sub-cp004,eye_tracking_features,0.9531836166666666,1.2740365155975355,12
sub-cp005,eye_tracking_features,0.8080423983333334,0.9952735570527053,12
sub-cp006,eye_tracking_features,0.7668062633333333,0.8753518256193872,12
sub-cp008,eye_tracking_features,0.6118116450000001,0.7596553266726095,12
sub-cp009,eye_tracking_features,1.1223877983333332,1.313726949335388,12
sub-cp011,eye_tracking_features,0.794901505,0.983178288991332,12
sub-cp012,eye_tracking_features,0.3259339916666666,0.4712539678255926,12
sub-cp013,eye_tracking_features,0.8735017699999998,1.06042098852591,12
sub-cp014,eye_tracking_features,0.8043190075000002,1.0509390469824431,12
sub-cp015,eye_tracking_features,0.8487624183333334,0.9147690131086836,12
sub-cp016,eye_tracking_features,0.78579772,0.8947663970113079,12
sub-cp017,eye_tracking_features,0.6828281383333333,0.7591917169788089,12
sub-cp018,eye_tracking_features,1.2688237483333333,1.4768329860533698,12
sub-cp019,eye_tracking_features,0.6552950716666667,0.8809002676379525,12
sub-cp020,eye_tracking_features,0.9175635211666667,1.1791062320330135,12
sub-cp022,eye_tracking_features,0.9230602033333332,1.1280108729526808,12
sub-cp023,eye_tracking_features,0.583316315,0.7804640856860033,12
sub-cp024,eye_tracking_features,0.77810705,0.9034542208533081,12
sub-cp025,eye_tracking_features,0.5997697333333334,0.7439530080077654,12
sub-cp026,eye_tracking_features,0.69845639,0.8543990884934537,12
sub-cp027,eye_tracking_features,0.7259835283333332,0.824555444670347,12
sub-cp028,eye_tracking_features,0.8391142383333333,0.963855560487926,12
sub-cp029,eye_tracking_features,0.8811813923333333,1.0051886399054588,12
sub-cp030,eye_tracking_features,1.1258335703636364,1.4948554324252066,11
sub-cp031,eye_tracking_features,0.8435218109999999,0.969594768134373,12
sub-cp032,eye_tracking_features,0.8861811583333332,1.0142163060034566,12
sub-cp033,eye_tracking_features,0.7762947499999999,0.9572029131095379,12
sub-cp035,eye_tracking_features,1.0102285899999999,1.1670979870190088,12
sub-cp036,eye_tracking_features,1.0413063718333333,1.303533415615765,12
sub-cp037,eye_tracking_features,0.5157208316666667,0.6168543207774425,12
sub-cp038,eye_tracking_features,0.9632858243333334,1.2113679875277539,12
sub-cp039,eye_tracking_features,1.3400779300000003,1.6391356089911926,12
sub-cp042,eye_tracking_features,1.0199654983333335,1.1911350354380075,12
sub-cp043,eye_tracking_features,0.9092065033333334,1.1403086581834385,12
sub-cp003,head_movement_features,0.9058891366666666,1.0306318450533825,12
sub-cp004,head_movement_features,0.7445072774999999,0.8845194026676475,12
sub-cp005,head_movement_features,1.2189636449999999,1.3550944725891765,12
sub-cp006,head_movement_features,0.7758112608333333,1.010533606512213,12
sub-cp008,head_movement_features,0.9287903933333336,1.1300929404974258,12
sub-cp009,head_movement_features,1.0882251533333334,1.2824986292651275,12
sub-cp011,head_movement_features,0.8554614641666668,1.0971920635166146,12
sub-cp012,head_movement_features,0.8040813283333333,1.0096853575961766,12
sub-cp013,head_movement_features,1.03176672,1.2786647671550764,12
sub-cp014,head_movement_features,0.53642325,0.7174228184926477,12
sub-cp015,head_movement_features,0.6610995466666667,0.7654568008071065,12
sub-cp016,head_movement_features,0.8918119149999998,0.9950316239231863,12
sub-cp017,head_movement_features,1.067260825,1.1768074731587665,12
sub-cp018,head_movement_features,1.1203186433333334,1.274001731006844,12
sub-cp019,head_movement_features,1.0609801833333332,1.2335146520182834,12
sub-cp020,head_movement_features,0.6799847023333333,0.8714210367865404,12
sub-cp022,head_movement_features,0.632443945,0.8075612890772377,12
sub-cp023,head_movement_features,0.7562279049999999,0.948837059030314,12
sub-cp024,head_movement_features,1.2047931991666665,1.3902841668508648,12
sub-cp025,head_movement_features,0.7738987733333333,0.9100872508021755,12
sub-cp026,head_movement_features,1.0755733849999998,1.341218162002232,12
sub-cp027,head_movement_features,0.8996392433333332,1.0121589623324676,12
sub-cp028,head_movement_features,0.6645477383333335,0.8194722786076768,12
sub-cp029,head_movement_features,0.642524625,0.8215461714832775,12
sub-cp030,head_movement_features,0.953638070909091,1.1457011182637364,11
sub-cp031,head_movement_features,0.849086345,0.9793881794679496,12
sub-cp032,head_movement_features,1.459567775,1.7331157888081945,12
sub-cp033,head_movement_features,0.9395724311666666,1.2800953487432474,12
sub-cp035,head_movement_features,0.9472502766666664,1.1408567923424637,12
sub-cp036,head_movement_features,0.9345638483333335,1.0764560177778373,12
sub-cp037,head_movement_features,0.6106770116666668,0.7692454850793009,12
sub-cp038,head_movement_features,0.9088940326666665,1.0733142903390578,12
sub-cp039,head_movement_features,0.8748802916666666,1.1812897628657055,12
sub-cp042,head_movement_features,0.9402993000000001,1.2618290912362509,12
sub-cp043,head_movement_features,0.7429680476666666,0.9012557886645084,12
sub-cp003,flight_parameter_features,0.08451118333333331,0.1248893405379986,12
sub-cp004,flight_parameter_features,0.08077420599999989,0.11221715022848183,12
