subject_id,modality,macro_f1,balanced_accuracy,severe_error_rate,oof_runs
sub-cp003,physiological_features,0.16233766233766234,0.25,0.5,12
sub-cp004,physiological_features,0.4095238095238095,0.5,0.25,12
sub-cp005,physiological_features,0.2403846153846154,0.3333333333333333,0.5833333333333334,12
sub-cp006,physiological_features,0.22698412698412698,0.25,0.4166666666666667,12
sub-cp008,physiological_features,0.20833333333333331,0.25,0.5,12
sub-cp009,physiological_features,0.475,0.49999999999999994,0.4166666666666667,12
sub-cp011,physiological_features,0.38636363636363635,0.5,0.4166666666666667,12
sub-cp012,physiological_features,0.18333333333333335,0.25,0.3333333333333333,12
sub-cp013,physiological_features,0.23392857142857143,0.25,0.4166666666666667,12
sub-cp014,physiological_features,0.175,0.25,0.5,12
sub-cp015,physiological_features,0.47500000000000003,0.5,0.25,12
sub-cp016,physiological_features,0.6458333333333333,0.6666666666666666,0.16666666666666666,12
sub-cp017,physiological_features,0.28253968253968254,0.3333333333333333,0.16666666666666666,12
sub-cp018,physiological_features,0.4484126984126984,0.41666666666666663,0.3333333333333333,12
sub-cp019,physiological_features,0.3125,0.41666666666666663,0.08333333333333333,12
sub-cp020,physiological_features,0.42857142857142855,0.5,0.16666666666666666,12
sub-cp022,physiological_features,0.225,0.3333333333333333,0.25,12
sub-cp023,physiological_features,0.17424242424242425,0.25,0.25,12
sub-cp024,physiological_features,0.3833333333333333,0.41666666666666663,0.4166666666666667,12
sub-cp025,physiological_features,0.2153846153846154,0.3333333333333333,0.16666666666666666,12
sub-cp026,physiological_features,0.375,0.41666666666666663,0.16666666666666666,12
sub-cp027,physiological_features,0.3589285714285714,0.3333333333333333,0.16666666666666666,12
sub-cp028,physiological_features,0.3234126984126984,0.3333333333333333,0.25,12
sub-cp029,physiological_features,0.41111111111111115,0.41666666666666663,0.3333333333333333,12
sub-cp030,physiological_features,0.3159090909090909,0.3333333333333333,0.45454545454545453,11
sub-cp031,physiological_features,0.1736111111111111,0.20833333333333331,0.3333333333333333,12
sub-cp032,physiological_features,0.30000000000000004,0.25,0.25,12
sub-cp033,physiological_features,0.3392857142857143,0.3333333333333333,0.5,12
sub-cp035,physiological_features,0.1,0.16666666666666666,0.08333333333333333,12
sub-cp036,physiological_features,0.22916666666666666,0.3333333333333333,0.16666666666666666,12
sub-cp037,physiological_features,0.08333333333333333,0.16666666666666666,0.5,12
sub-cp038,physiological_features,0.25396825396825395,0.3333333333333333,0.16666666666666666,12
sub-cp039,physiological_features,0.24285714285714285,0.25,0.25,12
sub-cp042,physiological_features,0.12698412698412698,0.16666666666666666,0.4166666666666667,12
sub-cp043,physiological_features,0.3333333333333333,0.3333333333333333,0.3333333333333333,12
sub-cp003,eye_tracking_features,0.1,0.25,0.25,12
sub-cp004,eye_tracking_features,0.5773809523809523,0.5833333333333333,0.08333333333333333,12
sub-cp005,eye_tracking_features,0.30833333333333335,0.3333333333333333,0.25,12
sub-cp006,eye_tracking_features,0.20833333333333331,0.3333333333333333,0.08333333333333333,12
sub-cp008,eye_tracking_features,0.3638888888888889,0.3333333333333333,0.25,12
sub-cp009,eye_tracking_features,0.28253968253968254,0.3333333333333333,0.5,12
sub-cp011,eye_tracking_features,0.2698412698412698,0.3333333333333333,0.3333333333333333,12
sub-cp012,eye_tracking_features,0.6583333333333333,0.6666666666666666,0.0,12
sub-cp013,eye_tracking_features,0.20192307692307693,0.25,0.5,12
sub-cp014,eye_tracking_features,0.19444444444444442,0.25,0.25,12
