kind,comparison_family,model_family,task,metric,condition,estimate,ci_low,ci_high,n_subjects,repetitions,seed
condition_mean,DESCRIPTIVE,TRADITIONAL,classification,macro_f1,FLIGHT_FULL,0.9507838589981447,0.9139406307977737,0.9804761904761904,35,2000,42
condition_mean,DESCRIPTIVE,HDC,classification,macro_f1,FULL_PRIMARY_REFERENCE,0.8616512059369201,0.8102819264069263,0.9094936611008039,35,2000,42
condition_mean,DESCRIPTIVE,TRADITIONAL,classification,macro_f1,FULL_PRIMARY_REFERENCE,0.9346371882086169,0.8915063775510204,0.9688102324263038,35,2000,42
condition_mean,DESCRIPTIVE,HDC,classification,macro_f1,FUSION_PE,0.292299248370677,0.2433965687090687,0.34340221088435374,35,2000,42
condition_mean,DESCRIPTIVE,TRADITIONAL,classification,macro_f1,FUSION_PE,0.3781348017062303,0.31856555844948703,0.4390109097251953,35,2000,42
condition_mean,DESCRIPTIVE,HDC,classification,macro_f1,FUSION_PEH,0.3445761381475667,0.28570422236493664,0.4058725243010957,35,2000,42
condition_mean,DESCRIPTIVE,TRADITIONAL,classification,macro_f1,FUSION_PEH,0.3926901273329845,0.3410414605236033,0.44257386363636364,35,2000,42
condition_mean,DESCRIPTIVE,HDC,classification,macro_f1,FUSION_PEHF,0.8516996099138956,0.7868586473050759,0.9073856292517006,35,2000,42
condition_mean,DESCRIPTIVE,TRADITIONAL,classification,macro_f1,FUSION_PEHF,0.9370181405895692,0.8942677154195012,0.9706802721088434,35,2000,42
condition_mean,DESCRIPTIVE,HDC,classification,macro_f1,PERFORMANCE_ONLY_AUXILIARY,0.5233060193774479,0.47036949855699856,0.5808891852195422,35,2000,42
condition_mean,DESCRIPTIVE,TRADITIONAL,classification,macro_f1,PERFORMANCE_ONLY_AUXILIARY,0.7031653267367554,0.6320736317254174,0.7688316326530611,35,2000,42
condition_mean,DESCRIPTIVE,HDC,classification,macro_f1,WITHOUT_PERFORMANCE_PRIMARY_REFERENCE,0.8616512059369201,0.8063374690785405,0.9101265074211502,35,2000,42
condition_mean,DESCRIPTIVE,TRADITIONAL,classification,macro_f1,WITHOUT_PERFORMANCE_PRIMARY_REFERENCE,0.9346371882086169,0.8924583333333332,0.9703422619047619,35,2000,42
condition_mean,DESCRIPTIVE,HDC,classification,macro_f1,WITH_PERFORMANCE_AUXILIARY,0.8287708719851576,0.7587984307359308,0.888424319727891,35,2000,42
condition_mean,DESCRIPTIVE,TRADITIONAL,classification,macro_f1,WITH_PERFORMANCE_AUXILIARY,0.9397392290249432,0.9006541950113378,0.9709016439909296,35,2000,42
condition_mean,DESCRIPTIVE,HDC,regression,bounded_mae,BEST_SINGLE_FLIGHT_REFERENCE,0.26094111466017317,0.20800342537867963,0.32433312821112553,35,2000,42
condition_mean,DESCRIPTIVE,HDC,regression,bounded_mae,FLIGHT_BEHAVIORAL_ONLY,0.26094111466017317,0.20855931749104975,0.3179211774130302,35,2000,42
condition_mean,DESCRIPTIVE,TRADITIONAL,regression,bounded_mae,FLIGHT_BEHAVIORAL_ONLY,0.09217840884601149,0.06225554325747055,0.1294621777181149,35,2000,42
condition_mean,DESCRIPTIVE,HDC,regression,bounded_mae,FLIGHT_FULL,0.26094111466017317,0.2078005573100974,0.3272502965141558,35,2000,42
condition_mean,DESCRIPTIVE,TRADITIONAL,regression,bounded_mae,FLIGHT_FULL,0.09294457355251554,0.06189345957207178,0.12915760527966325,35,2000,42
condition_mean,DESCRIPTIVE,HDC,regression,bounded_mae,FULL_PRIMARY_REFERENCE,0.26574185265542666,0.21646319679190582,0.33070266662524755,35,2000,42
condition_mean,DESCRIPTIVE,TRADITIONAL,regression,bounded_mae,FULL_PRIMARY_REFERENCE,0.10744059004719353,0.07493497027585301,0.14812016278988344,35,2000,42
condition_mean,DESCRIPTIVE,HDC,regression,bounded_mae,FUSION_PE,0.8929915045969699,0.8133113933832792,0.9743380211187773,35,2000,42
condition_mean,DESCRIPTIVE,TRADITIONAL,regression,bounded_mae,FUSION_PE,0.8189379749271117,0.7635544726648712,0.8780225543956653,35,2000,42
condition_mean,DESCRIPTIVE,HDC,regression,bounded_mae,FUSION_PEH,0.8620484215692641,0.7816230724529222,0.9462729363544373,35,2000,42
condition_mean,DESCRIPTIVE,TRADITIONAL,regression,bounded_mae,FUSION_PEH,0.8169608989233155,0.7593633854611315,0.876941244806675,35,2000,42
condition_mean,DESCRIPTIVE,HDC,regression,bounded_mae,FUSION_PEHF,0.2638199739160173,0.21140272087694806,0.32507683250133107,35,2000,42
condition_mean,DESCRIPTIVE,TRADITIONAL,regression,bounded_mae,FUSION_PEHF,0.10663294305031726,0.07214808446517267,0.14464629832141102,35,2000,42
condition_mean,DESCRIPTIVE,HDC,regression,bounded_mae,PERFORMANCE_ONLY_AUXILIARY,0.5445364937757575,0.4760746456687337,0.6150691699355842,35,2000,42
condition_mean,DESCRIPTIVE,TRADITIONAL,regression,bounded_mae,PERFORMANCE_ONLY_AUXILIARY,0.5267850607118975,0.4541189382517929,0.6021527277915781,35,2000,42
condition_mean,DESCRIPTIVE,HDC,regression,bounded_mae,WITHOUT_PERFORMANCE_PRIMARY_REFERENCE,0.26574185265542666,0.2134819314457716,0.326316292563159,35,2000,42
condition_mean,DESCRIPTIVE,TRADITIONAL,regression,bounded_mae,WITHOUT_PERFORMANCE_PRIMARY_REFERENCE,0.10744059004719353,0.07441725290476225,0.14559287155392936,35,2000,42
condition_mean,DESCRIPTIVE,HDC,regression,bounded_mae,WITH_PERFORMANCE_AUXILIARY,0.2501703190722944,0.19604821763299785,0.3142729060946428,35,2000,42
condition_mean,DESCRIPTIVE,TRADITIONAL,regression,bounded_mae,WITH_PERFORMANCE_AUXILIARY,0.10478214460829333,0.07122648984158153,0.14341174174969878,35,2000,42
