candidate_index,feature_selection__k,regressor__C,regressor__gamma,regressor__epsilon,split_1_validation_bounded_mae,split_2_validation_bounded_mae,split_3_validation_bounded_mae,mean_validation_bounded_mae,std_validation_bounded_mae,rank
0,50,0.1,scale,0.0,0.47462493613406875,0.5555557897668844,0.48441350100273833,0.5048647423012306,0.036066057176805624,32
1,50,0.1,0.01,0.0,0.48627128143218085,0.5588797408526699,0.49833035430113254,0.5144937921953278,0.03176937349370544,36
2,50,0.1,0.1,0.0,0.6721853427501917,0.6666527430326787,0.6107870086413288,0.6498750314747331,0.0277315411481476,62
3,50,0.1,scale,0.1,0.4812769211182489,0.5534929405553037,0.48667256294847233,0.5071474748740082,0.032845140478738634,33
4,50,0.1,0.01,0.1,0.48023385659728823,0.5542404774655897,0.49544337387686604,0.509972569313248,0.031912047078468286,34
5,50,0.1,0.1,0.1,0.681437702122158,0.6726507729143798,0.6205358176675433,0.658208097568027,0.026878777699155403,64
6,50,0.1,scale,0.2,0.49100372490910565,0.5667648986222862,0.513955547326153,0.523908056952515,0.031719901182031864,41
7,50,0.1,0.01,0.2,0.48684046619907606,0.5636224984760182,0.5120728655746807,0.520845276749925,0.03195399316220128,40
8,50,0.1,0.1,0.2,0.6969361549363727,0.6905825266332731,0.6400609490113125,0.6758598768603195,0.025446212219860823,66
9,50,1.0,scale,0.0,0.29324394428529615,0.4663072583440844,0.3880762117278543,0.38254247145241155,0.07076107394761488,17
10,50,1.0,0.01,0.0,0.28887637516062326,0.4360641692418018,0.3866366542216144,0.3705257328746798,0.06115953467016237,10
11,50,1.0,0.1,0.0,0.4873236672947057,0.5590455372724948,0.500192913660042,0.5155207060757475,0.03122192150324236,37
12,50,1.0,scale,0.1,0.3026480737951307,0.46996695147490225,0.39006205371808805,0.3875590263293737,0.06833057181372566,20
13,50,1.0,0.01,0.1,0.2924075993974943,0.4384854480868495,0.38207030623882426,0.37098778457438936,0.06014871117632554,11
14,50,1.0,0.1,0.1,0.49663466456787675,0.569554250042889,0.5131542759691063,0.5264477301932907,0.031218086962205807,43
15,50,1.0,scale,0.2,0.3223559520236298,0.4803467339243689,0.3944649720145093,0.39905588598750263,0.06458110745273364,25
16,50,1.0,0.01,0.2,0.3124584179327535,0.452510980352401,0.3961632904787348,0.3870442295879631,0.05753867113356326,19
17,50,1.0,0.1,0.2,0.518830581389738,0.5884126531828143,0.5353633654218757,0.5475355333314761,0.029682064533640893,48
18,50,10.0,scale,0.0,0.2840418208680105,0.4835704120962425,0.3925749744934318,0.3867290691525616,0.08156202399124052,18
19,50,10.0,0.01,0.0,0.2550233828715546,0.4508869451799671,0.36303102872294163,0.3563137855914878,0.08010191332088824,5
20,50,10.0,0.1,0.0,0.47442125606481406,0.5619241194003778,0.5243454364460759,0.5202302706370893,0.03584121198850262,39
21,50,10.0,scale,0.1,0.30151325443165194,0.4916230512391827,0.3827846062031963,0.39197363729134366,0.07788351314539924,23
22,50,10.0,0.01,0.1,0.26377353260489333,0.44816772369735475,0.35841399654871303,0.3567850842836537,0.07528742455211777,6
23,50,10.0,0.1,0.1,0.48728641264755745,0.5683672145334754,0.5340354237369711,0.5298963503060014,0.0332302377889585,44
24,50,10.0,scale,0.2,0.3084807758683182,0.49981954293255665,0.3915655747946476,0.39995529786517414,0.0783386730179325,26
25,50,10.0,0.01,0.2,0.2840900778106156,0.4536171309314621,0.3720689708641455,0.36992539320207446,0.06922572560763122,9
26,50,10.0,0.1,0.2,0.5148828190405754,0.5779336279379866,0.5494426898389274,0.5474197122724965,0.025780101555659542,47
