candidate_index,feature_selection__k,regressor__C,regressor__gamma,regressor__epsilon,split_1_validation_bounded_mae,split_2_validation_bounded_mae,split_3_validation_bounded_mae,mean_validation_bounded_mae,std_validation_bounded_mae,rank
0,50,0.1,scale,0.0,0.49275780061653834,0.4792699785701536,0.6217619031513903,0.5312632274460274,0.0642286958931757,35
1,50,0.1,0.01,0.0,0.49484283019122643,0.47298883624568144,0.5925429074534628,0.5201248579634569,0.051978711551273184,32
2,50,0.1,0.1,0.0,0.7571992310070829,0.7745625349258816,0.8308528323527516,0.7875381994285721,0.03143765417204303,67
3,50,0.1,scale,0.1,0.4900253603479345,0.4796477023898278,0.6309789218248584,0.5335506615208736,0.06902233153393006,37
4,50,0.1,0.01,0.1,0.5037599467176308,0.4796041221326229,0.5907613656455895,0.524708478165281,0.04773617722238296,33
5,50,0.1,0.1,0.1,0.7603914819389194,0.7809415100513675,0.8392182830560322,0.7935170916821064,0.033386874502841654,68
6,50,0.1,scale,0.2,0.5115359831413742,0.4884293268657412,0.6393854075585367,0.5464502391885507,0.06638869648280143,40
7,50,0.1,0.01,0.2,0.5171690168948694,0.49496941345052936,0.600597499901535,0.5375786434156445,0.0454733460601807,38
8,50,0.1,0.1,0.2,0.7738817138953787,0.794624178653069,0.8502111522569142,0.8062390149351207,0.032225498253619075,69
9,50,1.0,scale,0.0,0.31728245780919845,0.327119542628078,0.4946843155888623,0.37969543867537964,0.08140853116556239,6
10,50,1.0,0.01,0.0,0.3080288901081804,0.31265818847571303,0.4434440564081168,0.35471037833067004,0.06277264170378617,3
11,50,1.0,0.1,0.0,0.5396980069323227,0.5344482523409122,0.7199292312816817,0.5980251635183055,0.08622583249336542,44
12,50,1.0,scale,0.1,0.33474326473739413,0.3242598967851349,0.5013228929071258,0.3867753514765517,0.08111033508642185,10
13,50,1.0,0.01,0.1,0.31695752557270934,0.3169211118914226,0.46245836945407,0.36544566897273395,0.06859833998234509,5
14,50,1.0,0.1,0.1,0.5584267294317421,0.5454825877450047,0.7347660620677929,0.6128917930815133,0.08633998989153915,53
15,50,1.0,scale,0.2,0.3498323362050061,0.34624471497908743,0.5225844693699097,0.4062205068513343,0.08229478147198828,15
16,50,1.0,0.01,0.2,0.3349413980111465,0.3305263145939042,0.4739177414772263,0.379795151360759,0.06657912444637927,7
17,50,1.0,0.1,0.2,0.5858817166316184,0.5592581558291199,0.7515972094538645,0.6322456939715343,0.08509129091118463,56
18,50,10.0,scale,0.0,0.3146626944470308,0.3480483649799106,0.4837833451130816,0.382164801513341,0.07313638880763247,8
19,50,10.0,0.01,0.0,0.27372446413003254,0.28650958749927635,0.4169910393000971,0.32574169697646865,0.06473379694699796,1
20,50,10.0,0.1,0.0,0.5374769032449885,0.5225214295463257,0.7185110502633221,0.5928364610182121,0.08907484992908371,43
21,50,10.0,scale,0.1,0.31212012907476056,0.3534371755169354,0.49250390067175304,0.386020401754483,0.07716141625589996,9
22,50,10.0,0.01,0.1,0.27714207396906415,0.308636349081306,0.4227646494815979,0.3361810241773227,0.06255938762133541,2
23,50,10.0,0.1,0.1,0.5562316303929341,0.5379805930285151,0.7310929432075147,0.6084350555429879,0.08705168252619476,50
24,50,10.0,scale,0.2,0.32756203421072155,0.3756141775909497,0.5209155034787961,0.4080305717601558,0.08219695038016948,16
25,50,10.0,0.01,0.2,0.29103726699274435,0.34306136597835557,0.44446330581035154,0.3595206462604838,0.0637080229242216,4
26,50,10.0,0.1,0.2,0.5875485792738876,0.5547531842048327,0.7492575707944711,0.6305197780910637,0.08502110344493631,55
27,100,0.1,scale,0.0,0.5734107291734039,0.5587046241358837,0.6651953336863021,0.5991035623318632,0.04711800124452943,45
28,100,0.1,0.01,0.0,0.5734107291734039,0.5587046241358837,0.6651953336863021,0.5991035623318632,0.04711800124452943,45
29,100,0.1,0.1,0.0,0.9645793744760879,0.9758254541904919,0.9318421093698929,0.9574156460121576,0.01865695419105387,79
30,100,0.1,scale,0.1,0.575289136778908,0.5513652904228076,0.673483109208347,0.6000458454700208,0.05283850480566185,47
31,100,0.1,0.01,0.1,0.575289136778908,0.5513652904228076,0.673483109208347,0.6000458454700208,0.05283850480566185,47
32,100,0.1,0.1,0.1,0.9645793744760879,0.9758254541904919,0.9353571239398982,0.9585873175354926,0.017055790768382855,80
33,100,0.1,scale,0.2,0.5912121378472307,0.5641965998644649,0.6803572206253087,0.6119219861123347,0.04963195083316705,51
34,100,0.1,0.01,0.2,0.5912121378472307,0.5641965998644649,0.6803572206253087,0.6119219861123347,0.04963195083316705,51
35,100,0.1,0.1,0.2,0.9645793744760878,0.9758254541904919,0.9414152291152822,0.9606066859272874,0.01432602732002086,81
36,100,1.0,scale,0.0,0.3609040953309517,0.365635738795623,0.5178512798307594,0.414797037985778,0.07289595180416227,18
37,100,1.0,0.01,0.0,0.3609040953309517,0.365635738795623,0.5178512798307594,0.414797037985778,0.07289595180416227,18
38,100,1.0,0.1,0.0,0.8595608151691114,0.8818890972070454,0.8393778226663309,0.8602759116808292,0.01736251974867713,71
39,100,1.0,scale,0.1,0.35840420329582623,0.3697045387079128,0.5230132333204421,0.41704065844139376,0.0750758033145081,20
40,100,1.0,0.01,0.1,0.35840420329582623,0.3697045387079128,0.5230132333204421,0.41704065844139376,0.0750758033145081,20
41,100,1.0,0.1,0.1,0.8686381016118645,0.8896763816017473,0.8517903452742287,0.8700349428292801,0.015498415213445083,73
42,100,1.0,scale,0.2,0.377677971659609,0.3900286713524275,0.5400177461881656,0.4359081297334007,0.0737890873797033,25
43,100,1.0,0.01,0.2,0.377677971659609,0.3900286713524275,0.5400177461881656,0.4359081297334007,0.0737890873797033,25
44,100,1.0,0.1,0.2,0.8775887659399952,0.8986169907825321,0.8646860775362922,0.8802972780862732,0.01398400865192966,75
45,100,10.0,scale,0.0,0.3126498739425906,0.37320441780867064,0.47811185243331306,0.38798871472819146,0.06835372780894734,11
46,100,10.0,0.01,0.0,0.3126498739425906,0.37320441780867064,0.47811185243331306,0.38798871472819146,0.06835372780894734,11
47,100,10.0,0.1,0.0,0.853699970937443,0.8754621447827654,0.836192374056229,0.8551181632588124,0.016063149863875324,70
48,100,10.0,scale,0.1,0.3329459258134178,0.378828308230498,0.4973198420911313,0.40303135871168233,0.06925333603307139,13
49,100,10.0,0.01,0.1,0.3329459258134178,0.378828308230498,0.4973198420911313,0.40303135871168233,0.06925333603307139,13
50,100,10.0,0.1,0.1,0.8644661278595182,0.8847337670208645,0.8500217983415458,0.8664072310739761,0.014237417922862858,72
51,100,10.0,scale,0.2,0.35226512919043235,0.38884042216687215,0.5258244572108122,0.4223100028560389,0.07470327841691614,22
52,100,10.0,0.01,0.2,0.35226512919043235,0.38884042216687215,0.5258244572108122,0.4223100028560389,0.07470327841691614,22
53,100,10.0,0.1,0.2,0.8751304926468516,0.8954282240441126,0.8631816312681027,0.877913449319689,0.013310880819781025,74
54,200,0.1,scale,0.0,0.6760401319115391,0.6718538850991466,0.7161918290363093,0.6880286153489984,0.01998759814637436,61
55,200,0.1,0.01,0.0,0.7482574874202113,0.7514182541940877,0.7829685740707631,0.7608814385616873,0.015671179021735357,64
56,200,0.1,0.1,0.0,0.9909563994655332,0.9996425690014797,0.9995962981784078,0.9967317555484736,0.004083837138511973,94
