candidate_index,feature_selection__k,regressor__C,regressor__gamma,regressor__epsilon,split_1_validation_bounded_mae,split_2_validation_bounded_mae,split_3_validation_bounded_mae,mean_validation_bounded_mae,std_validation_bounded_mae,rank
0,50,0.1,scale,0.0,0.54996753607621,0.5176965538223457,0.6007916127010224,0.556151900866526,0.034204112602701876,35
1,50,0.1,0.01,0.0,0.5207173473715833,0.5460673220896747,0.6097331073882508,0.5588392589498362,0.03744590018685805,37
2,50,0.1,0.1,0.0,0.7960974733989387,0.5685252798148733,0.7553270856318199,0.7066499462818774,0.09907698604161691,63
3,50,0.1,scale,0.1,0.5569794341119492,0.5287183681993426,0.6017824738617165,0.5624934253910028,0.030082042915220396,38
4,50,0.1,0.01,0.1,0.5354792804448972,0.5472034448996953,0.6190009420188611,0.5672278891211512,0.036920642489918734,41
5,50,0.1,0.1,0.1,0.7994185000441095,0.578530463463021,0.7647264642883576,0.714225142598496,0.09699027028686688,65
6,50,0.1,scale,0.2,0.5762078400240443,0.5433393500307352,0.6117157431432418,0.5770876443993405,0.02792147710482744,44
7,50,0.1,0.01,0.2,0.551732429259962,0.5656978356209679,0.6283122392438409,0.5819141680415902,0.03330008911073009,46
8,50,0.1,0.1,0.2,0.8095779232727489,0.5988746979747459,0.7752843635774859,0.7279123282749936,0.09231122930705915,66
9,50,1.0,scale,0.0,0.42592874181214524,0.37564989299306045,0.40868859727755774,0.4034224106942545,0.020861291115216535,15
10,50,1.0,0.01,0.0,0.4097608834490941,0.38827624507255226,0.40150008583440416,0.3998457381186835,0.008848731408741645,11
11,50,1.0,0.1,0.0,0.6650648748999266,0.4498155631607826,0.5931098256720028,0.5693300879109039,0.08946944915084616,42
12,50,1.0,scale,0.1,0.42931137280296444,0.3732040662647203,0.42304472543037736,0.40852005483268733,0.025102881690125717,19
13,50,1.0,0.01,0.1,0.4151364141531327,0.3784078777529164,0.4129838625444085,0.40217605148348584,0.01682959558777244,12
14,50,1.0,0.1,0.1,0.6665030610164379,0.4612760215633377,0.6079435505222086,0.5785742110339948,0.08631899368872628,45
15,50,1.0,scale,0.2,0.43384480333864406,0.3836653120879436,0.43549060919103627,0.4176669082058746,0.0240521457552976,25
16,50,1.0,0.01,0.2,0.42142634525176387,0.379152312800748,0.42609681947739686,0.4088918258433029,0.021115275819167747,20
17,50,1.0,0.1,0.2,0.6757998827294153,0.48124511156115246,0.6277022545344948,0.5949157496083541,0.0827409851082991,48
18,50,10.0,scale,0.0,0.39630429589053034,0.36745720480734084,0.3799925804292978,0.381251360375723,0.011810364408874082,4
19,50,10.0,0.01,0.0,0.37190217734985287,0.36289386920449257,0.35788073048701524,0.36422559234712026,0.005801169877895455,1
20,50,10.0,0.1,0.0,0.6573586248110161,0.45486105615364286,0.5841450966562846,0.5654549258736479,0.08371900696556307,39
21,50,10.0,scale,0.1,0.40951426570269667,0.36086441779521994,0.3983102215081117,0.38956296833534276,0.020802047237496304,7
22,50,10.0,0.01,0.1,0.38167056478355654,0.35476465232786947,0.36090948951622925,0.36578156887588503,0.011511875006078507,2
23,50,10.0,0.1,0.1,0.6607569657485455,0.4629821565449607,0.5978834349649554,0.5738741857528206,0.08250677477103073,43
24,50,10.0,scale,0.2,0.4308497202710602,0.3586765272621241,0.40884117411107535,0.3994558072147532,0.03020271821222079,10
25,50,10.0,0.01,0.2,0.39464309087496335,0.3387887468781576,0.37876944046068683,0.37073375940460257,0.023499731393567203,3
26,50,10.0,0.1,0.2,0.6698512723619631,0.47903765497172374,0.621186471573943,0.59002513296921,0.08095567063982725,47
27,100,0.1,scale,0.0,0.5961149653085241,0.5401040413915178,0.6606328190410545,0.5989506085803655,0.04924650386911894,49
28,100,0.1,0.01,0.0,0.5961149653085241,0.5401040413915178,0.6606328190410545,0.5989506085803655,0.04924650386911894,49
29,100,0.1,0.1,0.0,0.9890845164789063,0.8695880850204789,0.9548488083279507,0.9378404699424454,0.05024481375426755,79
30,100,0.1,scale,0.1,0.6008644784405218,0.5427623542362263,0.6635385530136348,0.6023884618967944,0.049318451191964444,51
31,100,0.1,0.01,0.1,0.6008644784405218,0.5427623542362263,0.6635385530136348,0.6023884618967944,0.049318451191964444,51
32,100,0.1,0.1,0.1,0.9890845164789063,0.8695880850204789,0.9548488083279509,0.9378404699424454,0.05024481375426758,79
33,100,0.1,scale,0.2,0.616947454064714,0.5485627446341127,0.6732134201576009,0.6129078729521424,0.05096852877864449,53
34,100,0.1,0.01,0.2,0.616947454064714,0.5485627446341127,0.6732134201576009,0.6129078729521424,0.05096852877864449,53
35,100,0.1,0.1,0.2,0.9890845164789063,0.87540554208364,0.9548488227946821,0.939779627119076,0.04761678834628377,81
36,100,1.0,scale,0.0,0.4304402448987997,0.3363672228970131,0.4420392871855024,0.40294891832710505,0.04731790408327716,13
37,100,1.0,0.01,0.0,0.4304402448987997,0.3363672228970131,0.4420392871855022,0.40294891832710505,0.047317904083277115,13
38,100,1.0,0.1,0.0,0.925540325342587,0.6478445147180442,0.8137869096758545,0.7957239165788286,0.11408606283364296,71
39,100,1.0,scale,0.1,0.4357212863772496,0.3319423147285035,0.45462664732676134,0.40743008281083815,0.05393301719538837,17
40,100,1.0,0.01,0.1,0.4357212863772496,0.3319423147285035,0.45462664732676134,0.40743008281083815,0.05393301719538837,17
41,100,1.0,0.1,0.1,0.9304923435618152,0.6674441748912839,0.8275119306522845,0.8084828163684611,0.10822866272557738,73
42,100,1.0,scale,0.2,0.43992579185652747,0.33968231710351476,0.47206550714375517,0.4172245387012658,0.05637870414983575,23
43,100,1.0,0.01,0.2,0.43992579185652747,0.33968231710351476,0.4720655071437552,0.4172245387012658,0.056378704149835764,23
44,100,1.0,0.1,0.2,0.9361591110669315,0.6877703975963227,0.8418021823752083,0.8219105636794874,0.10237511291210055,75
45,100,10.0,scale,0.0,0.3914997163441208,0.34187426143163285,0.41637186928390846,0.38324861568655405,0.030968089925748114,6
46,100,10.0,0.01,0.0,0.3914997163441208,0.34187426143163285,0.41637186928390835,0.383248615686554,0.030968089925748076,5
47,100,10.0,0.1,0.0,0.9223852621191885,0.6417801235965009,0.8084513909768036,0.7908722588974978,0.11522899043449794,70
48,100,10.0,scale,0.1,0.40766422361573507,0.3589012016447691,0.4290454547503026,0.3985369600036022,0.02935454838938718,8
49,100,10.0,0.01,0.1,0.40766422361573507,0.3589012016447691,0.4290454547503026,0.3985369600036022,0.02935454838938718,8
50,100,10.0,0.1,0.1,0.9285508041549532,0.6625704471450953,0.8235936656917667,0.8049049723306051,0.10938719615333875,72
51,100,10.0,scale,0.2,0.42591040753306364,0.37115818360894487,0.44468724230933204,0.41391861115044687,0.031192766295011963,21
52,100,10.0,0.01,0.2,0.42591040753306364,0.37115818360894487,0.44468724230933226,0.4139186111504469,0.031192766295012036,22
53,100,10.0,0.1,0.2,0.9351945731631482,0.68569975740722,0.838784228271989,0.8198928529474524,0.10272805140599955,74
54,200,0.1,scale,0.0,0.689710163702162,0.6360152078185058,0.7619270496158447,0.6958841403788375,0.051588347955732666,60
55,200,0.1,0.01,0.0,0.7790954533452618,0.7076862548471149,0.8094955281477093,0.7654257454466954,0.04267261196616927,67
56,200,0.1,0.1,0.0,1.0042929526109823,0.9900288799046372,0.9995878498424895,0.9979698941193696,0.0059346035017489905,94
57,200,0.1,scale,0.1,0.6941983801620506,0.6327877634226927,0.7619411252151111,0.6963090895999514,0.052747758475719546,61
58,200,0.1,0.01,0.1,0.7855024859218724,0.7082748710345823,0.8135595385987178,0.7691122985183908,0.04451736731032481,68
59,200,0.1,0.1,0.1,1.0042929526109823,0.9900288799046373,0.9995878498424894,0.9979698941193696,0.0059346035017489316,94
60,200,0.1,scale,0.2,0.7122357666491833,0.64442998372027,0.7705062514126125,0.7090573339273553,0.05151946651336878,64
61,200,0.1,0.01,0.2,0.8004504293391081,0.7189952708659005,0.8205989130580938,0.780014871087701,0.04392443554913223,69
62,200,0.1,0.1,0.2,1.0042929526109823,0.9900288799046371,0.9995878498424896,0.9979698941193696,0.005934603501749051,94
63,200,1.0,scale,0.0,0.4636395673098176,0.3970960401584745,0.5053393277109152,0.4553583117264024,0.04457642665930408,28
64,200,1.0,0.01,0.0,0.5723375453194353,0.46494949110618367,0.5701832290491106,0.5358234218249098,0.05012315374016446,33
65,200,1.0,0.1,0.0,1.0034284245655245,0.9847746844584999,0.9966849086386853,0.9949626725542365,0.007712115051140311,85
66,200,1.0,scale,0.1,0.4818155002741952,0.39603670548431724,0.5150609917606057,0.46430439917303934,0.05014428632939246,29
67,200,1.0,0.01,0.1,0.5843008821953501,0.47102476898433854,0.5798748497064372,0.5450668336287087,0.05238681732076648,34
68,200,1.0,0.1,0.1,1.003506348025643,0.9849921090882765,0.9968472693577757,0.9951152421572317,0.007656988072997649,86
69,200,1.0,scale,0.2,0.500034509752673,0.40572977056789405,0.5335698736980975,0.47977805133955487,0.05412033550442356,30
70,200,1.0,0.01,0.2,0.6011007830413789,0.49303390953694354,0.6027982921954732,0.5656443282579319,0.051347996159928196,40
