candidate_index,feature_selection__k,regressor__C,regressor__gamma,regressor__epsilon,split_1_validation_bounded_mae,split_2_validation_bounded_mae,split_3_validation_bounded_mae,mean_validation_bounded_mae,std_validation_bounded_mae,rank
0,50,0.1,scale,0.0,0.5888207826314471,0.4958912581278316,0.49898399847342956,0.5278986797442361,0.0430969312585886,38
1,50,0.1,0.01,0.0,0.551142807202327,0.5005338308438477,0.5307104684883596,0.5274623688448448,0.020788293748869487,37
2,50,0.1,0.1,0.0,0.8701311578668902,0.6403938758154661,0.6588611917547014,0.7231287418123525,0.10421945814451164,66
3,50,0.1,scale,0.1,0.5867169001979508,0.5001784450539801,0.5018807869467952,0.5295920440662419,0.04039935133993552,40
4,50,0.1,0.01,0.1,0.559663466517983,0.49720427648178467,0.5308953841450449,0.5292543757149376,0.025525246149583593,39
5,50,0.1,0.1,0.1,0.8725147965656148,0.6540093719612096,0.6755258801197479,0.7340166828821907,0.09832610928684915,67
6,50,0.1,scale,0.2,0.6008066276784366,0.5219288170003609,0.5209922130327588,0.5479092192371854,0.037406070555445474,42
7,50,0.1,0.01,0.2,0.5696334228379469,0.5138323784452566,0.5414714322523572,0.5416457445118535,0.022781014425783095,41
8,50,0.1,0.1,0.2,0.8783301768545851,0.6748103188409009,0.6914593609373079,0.7481999522109314,0.092266657665117,69
9,50,1.0,scale,0.0,0.4222155017582225,0.38282028859458705,0.29618825512824537,0.3670746818270183,0.05264130078586869,18
10,50,1.0,0.01,0.0,0.380826901341533,0.3779137593641958,0.31176669403505747,0.3568357849135954,0.031890843132038875,16
11,50,1.0,0.1,0.0,0.7592664726689892,0.5328394492224691,0.4064328141182265,0.5661795786698949,0.14596020193933545,47
12,50,1.0,scale,0.1,0.42743121887495683,0.38037229772384534,0.2999092830390271,0.36923759987927646,0.05265261723094831,19
13,50,1.0,0.01,0.1,0.3859885017667067,0.38013085092607973,0.3248277355820759,0.36364902942495414,0.02755476558986962,17
14,50,1.0,0.1,0.1,0.7660592274115652,0.5456849546181265,0.4362958658145935,0.582680015948095,0.13714334249254165,53
15,50,1.0,scale,0.2,0.43680503917374314,0.3933631115811704,0.32103264685066324,0.3837335992018589,0.04775184001725146,26
16,50,1.0,0.01,0.2,0.3949979716576861,0.3890301988282534,0.3393771683169292,0.37446844626762293,0.024932601405864296,24
17,50,1.0,0.1,0.2,0.778102824697813,0.5662707629482443,0.46430500302522903,0.6028928635570954,0.1306985128999008,56
18,50,10.0,scale,0.0,0.40115945472775477,0.3705638333523671,0.2497345909581955,0.3404859596794392,0.06537523081117116,8
19,50,10.0,0.01,0.0,0.3338098743064719,0.34970610727382856,0.23948549248568288,0.30766715802199446,0.04864652911302931,1
20,50,10.0,0.1,0.0,0.7562518600346023,0.5535291471731226,0.4003714684056379,0.5700508252044543,0.14575650396059978,48
21,50,10.0,scale,0.1,0.40874139785223396,0.37529154295128436,0.28416796477691597,0.3560669685268114,0.052642335645968805,13
22,50,10.0,0.01,0.1,0.3408886385510496,0.3465335424752754,0.257415278540894,0.3149458198557397,0.040745458831325056,2
23,50,10.0,0.1,0.1,0.7620449150242575,0.5508434617415515,0.42262639311862676,0.578504923294812,0.13994070314386176,51
24,50,10.0,scale,0.2,0.4264147926720193,0.3736248839935129,0.313662709972868,0.3712341288794667,0.04606187737352563,21
25,50,10.0,0.01,0.2,0.3591201140629188,0.3503540121097882,0.2961357219543355,0.33520328270901417,0.0278557817260445,7
26,50,10.0,0.1,0.2,0.7745141706624993,0.5646782516298023,0.45391284160091133,0.597701754631071,0.13295166254913915,55
27,100,0.1,scale,0.0,0.5943134367459664,0.5223604448283797,0.5527160032638496,0.5564632949460652,0.029493953139434915,43
28,100,0.1,0.01,0.0,0.5943134367459664,0.5223604448283797,0.5527160032638496,0.5564632949460652,0.029493953139434915,43
29,100,0.1,0.1,0.0,0.9778669840359355,0.8682717213598705,0.9595436287301249,0.9352274447086436,0.04793216042341388,79
30,100,0.1,scale,0.1,0.5986727549150753,0.5292144561468599,0.5527559781748133,0.5602143964122496,0.028842501265748544,45
31,100,0.1,0.01,0.1,0.5986727549150753,0.5292144561468599,0.5527559781748133,0.5602143964122496,0.028842501265748544,45
32,100,0.1,0.1,0.1,0.9778669840359355,0.8753096318017723,0.959546460682075,0.9375743588399277,0.04465857565157989,80
33,100,0.1,scale,0.2,0.6077716307010241,0.541047695925268,0.5626637082497502,0.5704943449586808,0.027797002493557675,49
34,100,0.1,0.01,0.2,0.6077716307010241,0.541047695925268,0.5626637082497502,0.5704943449586808,0.027797002493557675,49
35,100,0.1,0.1,0.2,0.9782485787971663,0.8856879634249937,0.9595436287301249,0.9411600569840949,0.03996109493098584,81
36,100,1.0,scale,0.0,0.37488489474121095,0.3386680854968582,0.3562390142838165,0.3565973315072952,0.014787621205700851,14
37,100,1.0,0.01,0.0,0.37488489474121095,0.3386680854968582,0.3562390142838165,0.3565973315072952,0.014787621205700851,14
38,100,1.0,0.1,0.0,0.902845014391832,0.7100978662462828,0.7996038683390487,0.8041822496590546,0.07875526209379748,71
39,100,1.0,scale,0.1,0.38083377576742744,0.33754188999161416,0.34580230623222324,0.354725990663755,0.018766476340923943,11
40,100,1.0,0.01,0.1,0.38083377576742744,0.33754188999161416,0.34580230623222324,0.354725990663755,0.018766476340923943,11
41,100,1.0,0.1,0.1,0.9080718798567982,0.7216494139855029,0.8140606332100657,0.8145939756841223,0.07610758738360471,73
42,100,1.0,scale,0.2,0.3976200198132072,0.35031442131183116,0.37180793576290927,0.37324745896264916,0.01933923615649957,22
43,100,1.0,0.01,0.2,0.3976200198132072,0.35031442131183116,0.37180793576290927,0.37324745896264916,0.01933923615649957,22
44,100,1.0,0.1,0.2,0.9137692162991028,0.7393879616282012,0.8298616066257632,0.8276729281843558,0.07120766920371883,75
45,100,10.0,scale,0.0,0.3551214810910834,0.3005975480799514,0.29597746217978166,0.3172321637836055,0.026858103345189194,3
46,100,10.0,0.01,0.0,0.3551214810910834,0.3005975480799514,0.29597746217978166,0.3172321637836055,0.026858103345189194,3
