candidate_index,feature_selection__k,regressor__alpha,regressor__l1_ratio,mean_validation_bounded_mae,std_validation_bounded_mae,rank,convergence_warning_count,status,split_1_validation_bounded_mae,split_2_validation_bounded_mae,split_3_validation_bounded_mae
0,50,0.001,0.1,0.39395632350273163,0.02622050260431821,24,10,COMPLETE,0.42064312129076414,0.3583164393901863,0.4029094098272444
1,50,0.001,0.5,0.38960759619413016,0.0271424048357215,23,10,COMPLETE,0.4248601509707845,0.3588280588795134,0.38513457873209245
2,50,0.001,0.9,0.38581810812161077,0.033018573020982676,19,10,COMPLETE,0.43237191916895834,0.3593953713502625,0.36568703384561163
3,50,0.01,0.1,0.386994342139229,0.03315158560744032,20,10,COMPLETE,0.4336472594301588,0.35964663696869087,0.36768913001883735
4,50,0.01,0.5,0.38716326977172266,0.029861704587156434,21,10,COMPLETE,0.4284711115220946,0.3589048266419457,0.37411387115112765
5,50,0.01,0.9,0.38916798145148185,0.026561508151156453,22,10,COMPLETE,0.42527755000265116,0.3621496673364741,0.38007672701532025
6,50,0.1,0.1,0.42796853292865356,0.028783241573457755,29,10,COMPLETE,0.4488027310119749,0.38726670777162675,0.44783616000235893
7,50,0.1,0.5,0.4780900015228767,0.04712452730252453,34,10,COMPLETE,0.49948526412009275,0.41273193056241914,0.5220528098861182
8,50,0.1,0.9,0.5107181886062531,0.044682526027710175,36,10,COMPLETE,0.5056525897821891,0.4587024135204971,0.5677995625160731
9,50,1.0,0.1,0.5860944244082744,0.06987728429690972,40,10,COMPLETE,0.5832653938320395,0.5019621704378994,0.6730557089548844
10,50,1.0,0.5,0.7820785946349842,0.05115386516580253,41,10,COMPLETE,0.808266765082911,0.7105832108077841,0.8273858080142573
11,50,1.0,0.9,0.9780854887811286,0.03400612553692371,45,10,COMPLETE,1.004201680672269,0.9300547856711164,1.0000000000000002
12,100,0.001,0.1,0.30549895154086254,0.09033825119746852,13,10,COMPLETE,0.30529676769615816,0.19495887216882224,0.4162412147576071
13,100,0.001,0.5,0.3058843888904372,0.08975076194184112,14,10,COMPLETE,0.30962398134265007,0.19414052616121966,0.4138886591674417
14,100,0.001,0.9,0.30156283353284635,0.08234866182817101,12,10,COMPLETE,0.30775014523477384,0.19775551903637859,0.39918283632738655
15,100,0.01,0.1,0.28484536089130463,0.04603413609411323,7,10,COMPLETE,0.29361059936456413,0.2245960210172759,0.3363294622920738
16,100,0.01,0.5,0.28771176739149745,0.043448646730229745,10,10,COMPLETE,0.28512243109145435,0.23584019759696992,0.34217267348606817
17,100,0.01,0.9,0.29195201744015375,0.03841364937339643,11,10,COMPLETE,0.2808199359170634,0.25146949407646463,0.3435666223269332
18,100,0.1,0.1,0.3343885800454598,0.0339748952329676,16,10,COMPLETE,0.3291266500627864,0.29565924609228006,0.37837984398131297
19,100,0.1,0.5,0.4172675838070672,0.05150787086282394,27,10,COMPLETE,0.38725743391402895,0.37479105892564085,0.4897542585815317
20,100,0.1,0.9,0.4628478506879037,0.04662622137627496,32,10,COMPLETE,0.4224386680623488,0.4379267259465838,0.5281781580547784
21,100,1.0,0.1,0.547823336488575,0.06671924307086036,39,10,COMPLETE,0.5347572813116169,0.4734295777482534,0.6352831504058545
22,100,1.0,0.5,0.7820785946349842,0.05115386516580253,41,10,COMPLETE,0.808266765082911,0.7105832108077841,0.8273858080142573
23,100,1.0,0.9,0.9780854887811286,0.03400612553692371,45,10,COMPLETE,1.004201680672269,0.9300547856711164,1.0000000000000002
24,200,0.001,0.1,0.2874754129396296,0.01713475698617813,9,10,COMPLETE,0.30834822156448805,0.26637860335603003,0.28769941389837067
25,200,0.001,0.5,0.2742062635488686,0.03929194190584162,4,10,COMPLETE,0.31013470486215444,0.21953175309908485,0.2929523326853665
26,200,0.001,0.9,0.2693956596012918,0.04901486380621336,3,10,COMPLETE,0.30308323676633936,0.2000871622187166,0.3050165798188194
27,200,0.01,0.1,0.2854721042533109,0.048192177634802526,8,10,COMPLETE,0.32292834197798675,0.21743372611959041,0.3160542446623555
28,200,0.01,0.5,0.27771664426932224,0.047039169405528096,5,10,COMPLETE,0.32293526745839907,0.21285236521288453,0.29736230013668313
29,200,0.01,0.9,0.28219408012237485,0.05272705776021703,6,10,COMPLETE,0.3368393857761169,0.21093247125896689,0.29881038333204074
30,200,0.1,0.1,0.32165966687892883,0.03621395006526802,15,10,COMPLETE,0.34239774510805,0.2707366593701811,0.3518445961585553
31,200,0.1,0.5,0.4096276071023947,0.05370234423668362,25,10,COMPLETE,0.3911927683727594,0.3550404011996648,0.4826496517347597
32,200,0.1,0.9,0.45533993954233304,0.044894333968239504,31,10,COMPLETE,0.42831309708604853,0.4190998264858627,0.5186068950550878
33,200,1.0,0.1,0.5407731306190451,0.0673062225154687,38,10,COMPLETE,0.5199882950596926,0.4707218765405156,0.6316092202569271
