candidate_index,feature_selection__k,regressor__alpha,regressor__l1_ratio,split_1_validation_bounded_mae,split_2_validation_bounded_mae,split_3_validation_bounded_mae,mean_validation_bounded_mae,std_validation_bounded_mae,rank,search_convergence_warning_count_total,candidate_level_warning_mapping,status
0,50,0.001,0.1,0.3652419538650578,0.40104620259347956,0.4637256760435367,0.4100046108340247,0.04070176648242804,25,0,NOT_AVAILABLE_FROM_GRIDSEARCHCV,COMPLETE
1,50,0.001,0.5,0.3638406118384804,0.40128828171729003,0.45180878216057835,0.4056458919054496,0.036044799184425796,24,0,NOT_AVAILABLE_FROM_GRIDSEARCHCV,COMPLETE
2,50,0.001,0.9,0.36299953235968885,0.4001059668463443,0.44371385548211506,0.40227311822938266,0.032987097458608575,22,0,NOT_AVAILABLE_FROM_GRIDSEARCHCV,COMPLETE
3,50,0.01,0.1,0.37048824512812634,0.40444813861486073,0.425924867188246,0.4002870836437444,0.022822365495475793,21,0,NOT_AVAILABLE_FROM_GRIDSEARCHCV,COMPLETE
4,50,0.01,0.5,0.3748566719766162,0.3961040477511898,0.413191334137966,0.39471735128859065,0.01568074777268279,20,0,NOT_AVAILABLE_FROM_GRIDSEARCHCV,COMPLETE
5,50,0.01,0.9,0.380698654617791,0.3927842535981579,0.4031940026976329,0.3922256369711939,0.009192178222461815,19,0,NOT_AVAILABLE_FROM_GRIDSEARCHCV,COMPLETE
6,50,0.1,0.1,0.3983918978886197,0.43043196694128233,0.4297781500189046,0.4195340049496022,0.014952109937520134,26,0,NOT_AVAILABLE_FROM_GRIDSEARCHCV,COMPLETE
7,50,0.1,0.5,0.42598064840660993,0.484613405792248,0.4610852607229093,0.45722643830725573,0.02409174052778858,32,0,NOT_AVAILABLE_FROM_GRIDSEARCHCV,COMPLETE
8,50,0.1,0.9,0.46718088607580804,0.5223500674247917,0.4921196318391623,0.4938835284465874,0.02255723300274994,35,0,NOT_AVAILABLE_FROM_GRIDSEARCHCV,COMPLETE
9,50,1.0,0.1,0.565031025258416,0.6056565789815094,0.5525631869696419,0.5744169304031891,0.0226686050206222,40,0,NOT_AVAILABLE_FROM_GRIDSEARCHCV,COMPLETE
10,50,1.0,0.5,0.8282046387200989,0.8390501649200148,0.728959679827732,0.7987381611559486,0.049539100395495445,41,0,NOT_AVAILABLE_FROM_GRIDSEARCHCV,COMPLETE
11,50,1.0,0.9,0.9916666666666667,1.0000000000000002,0.9200006281405302,0.9705557649357323,0.03590939991513194,45,0,NOT_AVAILABLE_FROM_GRIDSEARCHCV,COMPLETE
12,100,0.001,0.1,0.31634122439774415,0.4303799616390264,0.4183614055002835,0.38836086384568475,0.051161396726917344,17,0,NOT_AVAILABLE_FROM_GRIDSEARCHCV,COMPLETE
13,100,0.001,0.5,0.3118174242614543,0.42399821414777705,0.42143745369747826,0.38575103070223654,0.05228940615794822,15,0,NOT_AVAILABLE_FROM_GRIDSEARCHCV,COMPLETE
14,100,0.001,0.9,0.3124877746986778,0.4152178861927199,0.41155033834648763,0.37975199974596174,0.04758655065744137,14,0,NOT_AVAILABLE_FROM_GRIDSEARCHCV,COMPLETE
15,100,0.01,0.1,0.32109141759573656,0.3978528256871145,0.39590199928839737,0.37161541419041616,0.03573473664689003,12,0,NOT_AVAILABLE_FROM_GRIDSEARCHCV,COMPLETE
16,100,0.01,0.5,0.31964381904013794,0.38563792105390854,0.3610706626751176,0.35545080092305475,0.027233466051107227,10,0,NOT_AVAILABLE_FROM_GRIDSEARCHCV,COMPLETE
17,100,0.01,0.9,0.3227015236448857,0.3759512259501881,0.370042541515037,0.3562317637033703,0.02383185384764478,11,0,NOT_AVAILABLE_FROM_GRIDSEARCHCV,COMPLETE
18,100,0.1,0.1,0.3593495459200632,0.4204730878873595,0.39437175243254496,0.39139812874665586,0.02504201368401935,18,0,NOT_AVAILABLE_FROM_GRIDSEARCHCV,COMPLETE
19,100,0.1,0.5,0.3815192250695143,0.457468047945849,0.4550555816560987,0.43134761822382073,0.03524775710741408,27,0,NOT_AVAILABLE_FROM_GRIDSEARCHCV,COMPLETE
20,100,0.1,0.9,0.4279168809908653,0.48410726626755435,0.4768180076773789,0.4629473849785995,0.024948419855435198,33,0,NOT_AVAILABLE_FROM_GRIDSEARCHCV,COMPLETE
21,100,1.0,0.1,0.5614602587649031,0.5858524703602751,0.5494368135941975,0.5655831809064585,0.015149782829360725,39,0,NOT_AVAILABLE_FROM_GRIDSEARCHCV,COMPLETE
22,100,1.0,0.5,0.8282046387200989,0.8390501649200148,0.728959679827732,0.7987381611559486,0.049539100395495445,41,0,NOT_AVAILABLE_FROM_GRIDSEARCHCV,COMPLETE
23,100,1.0,0.9,0.9916666666666667,1.0000000000000002,0.9200006281405302,0.9705557649357323,0.03590939991513194,45,0,NOT_AVAILABLE_FROM_GRIDSEARCHCV,COMPLETE
24,200,0.001,0.1,0.21047027550250139,0.35989776654713196,0.3794506282720949,0.31660622344057604,0.07547276852809963,7,0,NOT_AVAILABLE_FROM_GRIDSEARCHCV,COMPLETE
25,200,0.001,0.5,0.2030348713335173,0.33741623468944515,0.38524536261791753,0.30856548954696,0.07713382269356332,5,0,NOT_AVAILABLE_FROM_GRIDSEARCHCV,COMPLETE
