candidate_index,feature_selection__k,regressor__alpha,regressor__l1_ratio,split_1_validation_bounded_mae,split_2_validation_bounded_mae,split_3_validation_bounded_mae,mean_validation_bounded_mae,std_validation_bounded_mae,rank,search_convergence_warning_count_total,candidate_level_warning_mapping,status
0,50,0.001,0.1,0.37956538174459564,0.3681951565794812,0.5209325045799358,0.42289768096800423,0.06947632923302369,20,0,NOT_AVAILABLE_FROM_GRIDSEARCHCV,COMPLETE
1,50,0.001,0.5,0.38107558369059674,0.369370867348112,0.5213176611126785,0.42392137071712915,0.06903515111050386,21,0,NOT_AVAILABLE_FROM_GRIDSEARCHCV,COMPLETE
2,50,0.001,0.9,0.3815628547173678,0.3735712121961734,0.522592888778735,0.4259089852307587,0.06844364831257134,22,0,NOT_AVAILABLE_FROM_GRIDSEARCHCV,COMPLETE
3,50,0.01,0.1,0.3923053405459539,0.3769674373419611,0.5388609710035605,0.4360445829638251,0.07297131882151522,26,0,NOT_AVAILABLE_FROM_GRIDSEARCHCV,COMPLETE
4,50,0.01,0.5,0.39795557780180835,0.37287547150085676,0.5395662294475931,0.43679909291675273,0.07338513108288376,27,0,NOT_AVAILABLE_FROM_GRIDSEARCHCV,COMPLETE
5,50,0.01,0.9,0.40461692983038877,0.3688623926180313,0.516807567662785,0.43009563003706835,0.06302812508672667,23,0,NOT_AVAILABLE_FROM_GRIDSEARCHCV,COMPLETE
6,50,0.1,0.1,0.42997948250628576,0.4058476677633618,0.5340623196014854,0.4566298232903776,0.05563230317255129,29,0,NOT_AVAILABLE_FROM_GRIDSEARCHCV,COMPLETE
7,50,0.1,0.5,0.4643479813670682,0.44847580648257046,0.561467162378817,0.4914303167428185,0.049945645748630425,34,0,NOT_AVAILABLE_FROM_GRIDSEARCHCV,COMPLETE
8,50,0.1,0.9,0.4978096118937115,0.4968490578723112,0.6084151594439147,0.5343579430699791,0.0523678281568556,35,0,NOT_AVAILABLE_FROM_GRIDSEARCHCV,COMPLETE
9,50,1.0,0.1,0.6090048600092998,0.5846803917287903,0.6890585854938784,0.6275812790773229,0.04459083868882098,40,0,NOT_AVAILABLE_FROM_GRIDSEARCHCV,COMPLETE
