outer_fold,candidate_id,k,n_estimators,learning_rate,max_depth,inner_fold_1_macro_f1,inner_fold_2_macro_f1,inner_fold_3_macro_f1,mean_inner_macro_f1,std_inner_macro_f1,status
5.0,1.0,100.0,100.0,0.05,2.0,0.9669169447534296,0.8995098039215687,0.876082251082251,0.9141696665857498,0.0385047103056557,COMPLETE
5.0,2.0,100.0,100.0,0.1,2.0,0.9669218151995628,0.8894871794871795,0.876082251082251,0.910830415256331,0.0400383723202212,COMPLETE
5.0,3.0,100.0,200.0,0.05,2.0,0.9507004310344828,0.8894871794871795,0.876082251082251,0.9054232872013044,0.0324801256324854,COMPLETE
5.0,4.0,100.0,200.0,0.1,2.0,0.9425264088603472,0.8894871794871795,0.8761501210653753,0.9027212364709672,0.0286683111181183,COMPLETE
5.0,5.0,200.0,100.0,0.05,2.0,0.966664351208669,0.9091025641025642,0.8691520467836258,0.914972987364953,0.0400250653177087,COMPLETE
5.0,6.0,200.0,100.0,0.1,2.0,0.966664351208669,0.9091025641025642,0.898917378917379,0.9248947647428706,0.0298268141606058,COMPLETE
5.0,7.0,200.0,200.0,0.05,2.0,0.9666666666666668,0.9091025641025642,0.9081365304742588,0.9279685870811633,0.0273665163773448,COMPLETE
5.0,8.0,200.0,200.0,0.1,2.0,0.9751342965638603,0.9181238336273232,0.9090123568687876,0.9340901623533236,0.029259989371150274,COMPLETE
