outer_fold,candidate_id,k,n_estimators,learning_rate,max_depth
5,1,100,100,0.05,2
5,2,100,100,0.1,2
5,3,100,200,0.05,2
5,4,100,200,0.1,2
5,5,200,100,0.05,2
5,6,200,100,0.1,2
5,7,200,200,0.05,2
5,8,200,200,0.1,2
