outer_fold,candidate_id,k,n_estimators,learning_rate,max_depth
2,1,100,100,0.05,2
2,2,100,100,0.1,2
2,3,100,200,0.05,2
2,4,100,200,0.1,2
2,5,200,100,0.05,2
2,6,200,100,0.1,2
2,7,200,200,0.05,2
2,8,200,200,0.1,2
