outer_fold,candidate_id,k,n_estimators,learning_rate,max_depth
4,1,100,100,0.05,2
4,2,100,100,0.1,2
4,3,100,200,0.05,2
4,4,100,200,0.1,2
4,5,200,100,0.05,2
4,6,200,100,0.1,2
4,7,200,200,0.05,2
4,8,200,200,0.1,2
