model,model_slug,strategy,oof_rows,oof_unique_run_keys,oof_mae_raw,oof_mae_bounded,oof_rmse_raw,oof_rmse_bounded,oof_r2_raw,oof_r2_bounded,oof_spearman_raw,oof_spearman_bounded,fold_mae_bounded_mean,fold_mae_bounded_std,total_fit_time_seconds,total_prediction_time_seconds,status
Dummy Regressor Mean,dummy_mean,mean,419,419,0.9988137856574609,0.9988137856574609,1.116974097074507,1.116974097074507,-1.5383298377136256e-05,-1.5383298377136256e-05,-0.005085561464023763,-0.005085561464023763,0.9988310384394719,0.006550077176624236,0.0019398999866098166,0.00013789998774882406,COMPLETE
Dummy Regressor Median,dummy_median,median,419,419,0.9988066825775657,0.9988066825775657,1.2043576408064898,1.2043576408064898,-0.16260295299317007,-0.16260295299317007,-0.0032212583039886496,-0.0032212583039886496,0.9988238668961561,0.006540195866363344,0.0021040000137872994,0.00013580001541413367,COMPLETE
