model,oof_mae_bounded,absolute_mae_difference_vs_ridge,relative_mae_difference_vs_ridge
Dummy Regressor Mean,0.9988137856574608,0.6794050481457394,2.12707095440934
Dummy Regressor Median,0.9988066825775656,0.6793979450658442,2.127048716195224
Ridge,0.3194087375117214,0.0,0.0
Elastic Net,0.2747300064787801,-0.04467873103294129,-0.13987948914923376
