model,model_slug,target_score,n_samples,mae_raw,mae_bounded,mean_prediction_raw,mean_prediction_bounded
Dummy Regressor Mean,dummy_mean,1.0,104,1.5012180683122847,1.5012180683122847,2.5012180683122844,2.5012180683122844
Dummy Regressor Mean,dummy_mean,2.0,106,0.5011669248099127,0.5011669248099127,2.5011669248099127,2.5011669248099127
Dummy Regressor Mean,dummy_mean,3.0,104,0.49882490022415393,0.49882490022415393,2.5011750997758453,2.5011750997758453
Dummy Regressor Mean,dummy_mean,4.0,105,1.4988077469793892,1.4988077469793892,2.5011922530206108,2.5011922530206108
Dummy Regressor Median,dummy_median,1.0,104,1.1009615384615385,1.1009615384615385,2.1009615384615383,2.1009615384615383
Dummy Regressor Median,dummy_median,2.0,106,0.09905660377358491,0.09905660377358491,2.099056603773585,2.099056603773585
Dummy Regressor Median,dummy_median,3.0,104,0.9038461538461539,0.9038461538461539,2.0961538461538463,2.0961538461538463
Dummy Regressor Median,dummy_median,4.0,105,1.9,1.9,2.1,2.1
