model_key,model,task,condition,primary_metric,metric_direction,full_primary_absolute_metric,condition_absolute_metric,absolute_difference_condition_minus_reference,mean_subject_degradation,median_subject_degradation,relative_degradation_percent,degradation_ci_low_95,degradation_ci_high_95,condition_subject_mean,condition_subject_ci_low_95,condition_subject_ci_high_95,subjects,performance_direction,seed_stability_sd_change
hdc_classification,HDC,classification,MISSING_PHYSIOLOGICAL,macro_f1,higher_is_better,0.8710573880254382,0.8570014921856592,-0.014055895839778954,0.017859759288330716,0.0,2.072736527875085,-0.008624509419152281,0.046555272108843505,0.8437914466485895,0.7751421584368013,0.9027740414347557,35,DECREASE,-0.01922846110555914
hdc_classification,HDC,classification,MISSING_EYE_TRACKING,macro_f1,higher_is_better,0.8710573880254382,0.8587719825266842,-0.01228540549875401,0.014085795157223734,0.0,1.6347444372119788,-0.012834929951001377,0.04420682888540031,0.8475654107796965,0.7816175104657248,0.9076360544217686,35,DECREASE,-0.027435617120503093
hdc_classification,HDC,classification,MISSING_HEAD_MOVEMENT,macro_f1,higher_is_better,0.8710573880254382,0.8634420476644933,-0.007615340360944911,0.0077736549165120655,0.0,0.9021811683138479,-0.015122178416821267,0.034005179344465036,0.8538775510204082,0.7865918367346939,0.9108341836734694,35,DECREASE,-0.02677906370323235
hdc_classification,HDC,classification,MISSING_FLIGHT_PARAMETER,macro_f1,higher_is_better,0.8710573880254382,0.40267478563370734,-0.46838260239173085,0.5180918288061145,0.5630952380952381,60.127790135541574,0.44479632272489417,0.5932772673754816,0.34355937713080564,0.28471250574822,0.4061689808207664,35,DECREASE,-0.014422762271552057
hdc_classification,HDC,classification,MISSING_BODY_MOVEMENT,macro_f1,higher_is_better,0.8710573880254382,0.8559971815856672,-0.015060206439771018,0.016349206349206356,0.0,1.8974274319536264,-0.006012471655328795,0.041922760770975044,0.8453019995877139,0.7799174525870954,0.9032684111523398,35,DECREASE,-0.016004357036486047
traditional_classification,Traditional,classification,MISSING_PHYSIOLOGICAL,macro_f1,higher_is_better,0.9356075023489925,0.9403896181463854,0.004782115797392961,-0.004336734693877548,0.0,-0.4640019409231513,-0.011054421768707476,0.0,0.9389739229024944,0.8997655895691609,0.9731972789115645,35,IMPROVEMENT_OR_NO_DECREASE,
traditional_classification,Traditional,classification,MISSING_EYE_TRACKING,macro_f1,higher_is_better,0.9356075023489925,0.9404028997891465,0.004795397440154003,-0.004404761904761898,0.0,-0.47128040274155325,-0.013639455782312914,0.0047619047619047675,0.9390419501133785,0.8996507936507936,0.9723809523809523,35,IMPROVEMENT_OR_NO_DECREASE,
traditional_classification,Traditional,classification,MISSING_HEAD_MOVEMENT,macro_f1,higher_is_better,0.9356075023489925,0.9430207607557441,0.007413258406751666,-0.007178416821273968,0.0,-0.768043141428233,-0.017596088435374174,0.002175324675324676,0.9418156050298908,0.8999497912801484,0.9756462585034013,35,IMPROVEMENT_OR_NO_DECREASE,
traditional_classification,Traditional,classification,MISSING_FLIGHT_PARAMETER,macro_f1,higher_is_better,0.9356075023489925,0.47215252531272556,-0.4634549770362669,0.5102618413332699,0.49722222222222223,54.59464354411888,0.45437438256188256,0.5664631281416994,0.42437534687534684,0.37129939604046747,0.48017775874918733,35,DECREASE,
traditional_classification,Traditional,classification,MISSING_BODY_MOVEMENT,macro_f1,higher_is_better,0.9356075023489925,0.9379776646776896,0.002370162328697134,-0.002380952380952379,0.0,-0.254746163644083,-0.0071428571428571366,0.0,0.9370181405895692,0.8960012755102041,0.9715079365079365,35,IMPROVEMENT_OR_NO_DECREASE,
