source_phase,method,method_type,regression_head,dimension,seed_count,aggregation,mae_bounded_mean,mae_bounded_sample_sd,rmse_bounded_mean,rmse_bounded_sample_sd,r2_bounded_mean,r2_bounded_sample_sd,spearman_bounded_mean,spearman_bounded_sample_sd
04B,Gradient Boosting Regressor,traditional_baseline,traditional,,1,canonical OOF,0.1074862234692518,,0.2550837953674904,,0.947846168738032,,0.9529838128466463,
04B,Random Forest Regressor,traditional_baseline,traditional,,1,canonical OOF,0.1437350835322195,,0.2950723991899668,,0.9302124980596442,,0.9444375073511404,
04B,Elastic Net,traditional_baseline,traditional,,1,canonical OOF,0.2747300064787801,,0.4272340208968211,,0.8536973696776151,,0.9147649428003136,
04B,RBF SVR,traditional_baseline,traditional,,1,canonical OOF,0.3108592473910795,,0.4773068147090191,,0.8173937040407635,,0.9014207457906958,
04B,Linear SVR,traditional_baseline,traditional,,1,canonical OOF,0.3175926712255084,,0.4981974544527872,,0.8010593715584978,,0.8840047199364387,
04B,Ridge,traditional_baseline,traditional,,1,canonical OOF,0.3194087375117215,,0.5179330179580228,,0.7849855373746046,,0.8772756373953986,
04B,Dummy Regressor Median,traditional_baseline,traditional,,1,canonical OOF,0.9988066825775656,,1.2043576408064898,,-0.16260295299317,,-0.0032212583039886,
04B,Dummy Regressor Mean,traditional_baseline,traditional,,1,canonical OOF,0.9988137856574608,,1.116974097074507,,-1.5383298377136256e-05,,-0.0050855614640237,
05,Vanilla HDC similarity D=1000,HDC preregistered dimension,similarity,1000.0,5,mean ± sample SD across five preregistered seeds,0.7022786559766689,0.010967548590613148,0.8151481202511277,0.011947152137438872,0.46731782248538584,0.015652198050800627,0.7970208607568767,0.01970431240975934
05,Vanilla HDC similarity D=2000,HDC preregistered dimension,similarity,2000.0,5,mean ± sample SD across five preregistered seeds,0.699929696760415,0.00813060621356981,0.8116353037492011,0.008542787690860549,0.4719429752630253,0.011134504553160616,0.7963426976262358,0.0126409800372551
05,Vanilla HDC similarity D=5000,HDC preregistered dimension,similarity,5000.0,5,mean ± sample SD across five preregistered seeds,0.7007127292774827,0.009599808033267042,0.8121840447253511,0.010051833547344072,0.4712107729706701,0.013069707159541576,0.7995044430470442,0.009181806560659419
05,Vanilla HDC similarity D=10000,HDC preregistered dimension,similarity,10000.0,5,mean ± sample SD across five preregistered seeds,0.7014883381484773,0.0037524530660137403,0.8127151920637157,0.0038200740325219596,0.4705744342463384,0.0049821521004374935,0.7987245663982377,0.0025682131889794074
05,Vanilla HDC ridge_readout D=1000,HDC preregistered dimension,ridge_readout,1000.0,5,mean ± sample SD across five preregistered seeds,0.3503554137608016,0.009881599518902872,0.48628272121722577,0.011093332338835802,0.8103822777180799,0.008737363798318205,0.8961586914475846,0.003937291247652574
05,Vanilla HDC ridge_readout D=2000,HDC preregistered dimension,ridge_readout,2000.0,5,mean ± sample SD across five preregistered seeds,0.3280556340397559,0.006622125521187154,0.46751125978031016,0.009503440496420565,0.8247539774867099,0.007088682874078809,0.9035052136830135,0.003612051686403776
05,Vanilla HDC ridge_readout D=5000,HDC preregistered dimension,ridge_readout,5000.0,5,mean ± sample SD across five preregistered seeds,0.29365448930518456,0.007810092602930573,0.4286820726958441,0.0116744523171056,0.8526165487394783,0.00802989051437182,0.9174095229554226,0.004865726818092391
05,Vanilla HDC ridge_readout D=10000,HDC preregistered dimension,ridge_readout,10000.0,5,mean ± sample SD across five preregistered seeds,0.2763899537759564,0.006418910750530134,0.4075166878371063,0.007000733305015733,0.8668583927417067,0.004568755870266339,0.9247515333883938,0.0025702997228385883
