comparison_family,model_family,task,metric,metric_direction,left_condition,right_condition,n_subjects,left_mean,right_mean,right_minus_left,wilcoxon_statistic,p_value,rank_biserial_right_minus_left,bootstrap_ci_low,bootstrap_ci_high,p_holm,significant_holm_0_05
C_FLIGHT_PROVENANCE_SENSITIVITY,HDC,classification,macro_f1,higher_is_better,FLIGHT_FULL,FLIGHT_BEHAVIORAL_ONLY,35,0.8529251700680271,0.8415450026164312,-0.011380167451596025,13.0,0.13683830956331505,-0.5272727272727272,-0.029091902145473574,0.004624934589220296,0.13683830956331505,False
C_FLIGHT_PROVENANCE_SENSITIVITY,TRADITIONAL,classification,macro_f1,higher_is_better,FLIGHT_FULL,FLIGHT_BEHAVIORAL_ONLY,35,0.9507838589981447,0.9429097093382808,-0.007874149659863943,0.0,0.10880943004054568,-1.0,-0.01775552721088435,0.0,0.10880943004054568,False
C_FLIGHT_PROVENANCE_SENSITIVITY,HDC,regression,bounded_mae,lower_is_better,FLIGHT_FULL,FLIGHT_BEHAVIORAL_ONLY,35,0.26094111466017317,0.26094111466017317,0.0,0.0,1.0,0.0,0.0,0.0,1.0,False
C_FLIGHT_PROVENANCE_SENSITIVITY,TRADITIONAL,regression,bounded_mae,lower_is_better,FLIGHT_FULL,FLIGHT_BEHAVIORAL_ONLY,35,0.09294457355251554,0.09217840884601149,-0.0007661647065040445,74.0,0.14917758906284398,-0.3593073593073593,-0.0018091740800163518,0.00016687748523226383,0.14917758906284398,False
