model,model_slug,model_family,canonical_seed,oof_rows,oof_unique_run_keys,mae_raw,mae_bounded,rmse_bounded,r2_bounded,rank_by_mae_bounded,difference_from_best_mae,spearman_bounded,status,leakage_audit,coverage_audit,artifact_audit,notebook_persistence
Gradient Boosting Regressor,gradient_boosting,Tree ensemble,42,419,419,0.11306438938653676,0.10748622346925181,0.2550837953674904,0.947846168738032,1,0.0,0.9529838128466465,COMPLETE,PASS,PASS,PASS,PASS
Random Forest Regressor,random_forest,Tree ensemble,42,419,419,0.14373508353221956,0.14373508353221956,0.29507239918996686,0.9302124980596442,2,0.03624886006296775,0.9444375073511405,COMPLETE,PASS,PASS,PASS,PASS
Elastic Net,elastic_net,Linear regularized,NOT_APPLICABLE,419,419,0.37577256668807263,0.2747300064787801,0.42723402089682117,0.8536973696776151,3,0.1672437830095283,0.9147649428003137,COMPLETE,PASS,PASS,PASS,PASS
RBF SVR,rbf_svr,Support vector,NOT_APPLICABLE,419,419,0.3436234805968089,0.31085924739107956,0.4773068147090191,0.8173937040407635,4,0.20337302392182777,0.9014207457906958,COMPLETE,PASS,PASS,PASS,PASS
Linear SVR,linear_svr,Support vector,42,419,419,0.4922880337739191,0.31759267122550844,0.4981974544527872,0.8010593715584978,5,0.21010644775625664,0.8840047199364387,COMPLETE,PASS,PASS,PASS,PASS
Ridge,ridge,Linear regularized,NOT_APPLICABLE,419,419,0.5464312533171488,0.3194087375117215,0.5179330179580228,0.7849855373746046,6,0.2119225140424697,0.8772756373953986,COMPLETE,PASS,PASS,PASS,PASS
Dummy Regressor Median,dummy_median,Dummy,NOT_APPLICABLE,419,419,0.9988066825775657,0.9988066825775657,1.2043576408064898,-0.16260295299317007,7,0.8913204591083138,-0.0032212583039886496,COMPLETE,PASS,PASS,PASS,PASS
Dummy Regressor Mean,dummy_mean,Dummy,NOT_APPLICABLE,419,419,0.9988137856574609,0.9988137856574609,1.116974097074507,-1.5383298377136256e-05,8,0.8913275621882091,-0.005085561464023763,COMPLETE,PASS,PASS,PASS,PASS
