comparison_family,model_family,task,metric,metric_direction,left_condition,right_condition,n_subjects,left_mean,right_mean,right_minus_left,wilcoxon_statistic,p_value,rank_biserial_right_minus_left,bootstrap_ci_low,bootstrap_ci_high,p_holm,significant_holm_0_05
A_EARLY_FUSION,HDC,classification,macro_f1,higher_is_better,FUSION_PE,FUSION_PEH,35,0.292299248370677,0.3445761381475667,0.05227688977688976,136.0,0.02817701136695147,0.45161290322580644,0.011433236406450687,0.09414892746142745,0.08453103410085441,False
A_EARLY_FUSION,TRADITIONAL,classification,macro_f1,higher_is_better,FUSION_PE,FUSION_PEH,35,0.3781348017062303,0.3926901273329845,0.014555325626754196,218.0,0.3897056839844817,0.1693548387096774,-0.027152802554588282,0.05692335244120956,0.6346210157258283,False
A_EARLY_FUSION,HDC,classification,macro_f1,higher_is_better,FUSION_PEH,FUSION_PEHF,35,0.3445761381475667,0.8516996099138956,0.507123471766329,0.0,3.651044914906338e-07,1.0,0.4303582023135595,0.580674234495663,1.4604179659625353e-06,True
A_EARLY_FUSION,TRADITIONAL,classification,macro_f1,higher_is_better,FUSION_PEH,FUSION_PEHF,35,0.3926901273329845,0.9370181405895692,0.5443280132565848,0.0,5.820766091346741e-11,1.0,0.494350740529312,0.5947338564213565,1.7462298274040222e-10,True
A_EARLY_FUSION,HDC,classification,macro_f1,higher_is_better,BEST_SINGLE_FLIGHT_REFERENCE,FUSION_PEHF,35,0.8529251700680271,0.8516996099138956,-0.0012255601541315815,59.5,0.9772942482872162,0.008333333333333333,-0.01905198670377241,0.018464193544550693,1.0,False
A_EARLY_FUSION,HDC,classification,macro_f1,higher_is_better,FULL_PRIMARY_REFERENCE,FUSION_PEHF,35,0.8616512059369201,0.8516996099138956,-0.0099515960230246,21.0,0.8588323362422003,-0.06666666666666667,-0.03265538330716904,0.008296703296703296,1.0,False
A_EARLY_FUSION,TRADITIONAL,classification,macro_f1,higher_is_better,FULL_PRIMARY_REFERENCE,FUSION_PEHF,35,0.9346371882086169,0.9370181405895692,0.002380952380952379,0.0,0.31731050786291415,1.0,0.0,0.0071428571428571366,0.6346210157258283,False
A_EARLY_FUSION,HDC,regression,bounded_mae,lower_is_better,FUSION_PE,FUSION_PEH,35,0.8929915045969699,0.8620484215692641,-0.03094308302770565,263.0,0.40358865744201466,-0.16507936507936508,-0.09692936610936152,0.03453716294560603,0.8071773148840293,False
A_EARLY_FUSION,TRADITIONAL,regression,bounded_mae,lower_is_better,FUSION_PE,FUSION_PEH,35,0.8189379749271117,0.8169608989233155,-0.0019770760037963807,313.0,0.9806487238383852,-0.006349206349206349,-0.04644113675368691,0.04366364695701699,0.9806487238383852,False
A_EARLY_FUSION,HDC,regression,bounded_mae,lower_is_better,FUSION_PEH,FUSION_PEHF,35,0.8620484215692641,0.2638199739160173,-0.5982284476532468,0.0,5.820766091346741e-11,-1.0,-0.6889221258887122,-0.5121537644948918,2.3283064365386963e-10,True
A_EARLY_FUSION,TRADITIONAL,regression,bounded_mae,lower_is_better,FUSION_PEH,FUSION_PEHF,35,0.8169608989233155,0.10663294305031726,-0.7103279558729979,0.0,5.820766091346741e-11,-1.0,-0.7659196235261332,-0.6511437409963249,1.7462298274040222e-10,True
A_EARLY_FUSION,HDC,regression,bounded_mae,lower_is_better,BEST_SINGLE_FLIGHT_REFERENCE,FUSION_PEHF,35,0.26094111466017317,0.2638199739160173,0.0028788592558441563,171.0,0.46619403462565867,0.15763546798029557,-0.007319508711071431,0.012620234057683982,0.8071773148840293,False
A_EARLY_FUSION,HDC,regression,bounded_mae,lower_is_better,FULL_PRIMARY_REFERENCE,FUSION_PEHF,35,0.26574185265542666,0.2638199739160173,-0.0019218787394093637,194.0,0.04751871415646747,-0.38412698412698415,-0.0036706972174379627,-0.00016513408788966603,0.1425561424694024,False
A_EARLY_FUSION,TRADITIONAL,regression,bounded_mae,lower_is_better,FULL_PRIMARY_REFERENCE,FUSION_PEHF,35,0.10744059004719353,0.10663294305031726,-0.000807646996876265,91.0,0.3944570025144395,-0.21212121212121213,-0.002599981630255669,0.0007794563114435534,0.788914005028879,False
