model,model_slug,oof_macro_f1,oof_balanced_accuracy,oof_accuracy,oof_weighted_f1,recall_class_0,recall_class_1,recall_class_2,recall_class_3,fold_macro_f1_mean,fold_macro_f1_std
Gradient Boosting,gradient_boosting,0.9356075023489925,0.9356862084456424,0.9355608591885441,0.9356374078190549,0.9423076923076923,0.8867924528301887,0.9326923076923077,0.9809523809523809,0.9358879181084317,0.018954063963423244
Random Forest,random_forest,0.930234437791108,0.9311277558919069,0.9307875894988067,0.9301800960072304,0.9519230769230769,0.8301886792452831,0.9519230769230769,0.9904761904761905,0.930476115044461,0.03190047635468638
RBF SVM,rbf_svm,0.8873492392489528,0.8880865989356554,0.8878281622911695,0.8872663822532251,0.9038461538461539,0.8113207547169812,0.9038461538461539,0.9333333333333333,0.8882312881674164,0.04365803945719203
Linear SVM,linear_svm,0.8573296104042126,0.8568828184394222,0.8568019093078759,0.8572536782977713,0.8076923076923077,0.8207547169811321,0.9038461538461539,0.8952380952380953,0.8581262803532048,0.047317897989938254
Logistic Regression,logistic_regression,0.8424750347354124,0.8426411638675789,0.8424821002386634,0.8423171209240452,0.7692307692307693,0.7830188679245284,0.9230769230769231,0.8952380952380953,0.8429263628917691,0.05461064558253733
KNN,knn,0.7532789211524841,0.7565096067454558,0.7565632458233891,0.7531949492598458,0.6826923076923077,0.6698113207547169,0.7211538461538461,0.9523809523809523,0.7527273678653539,0.05180216086843364
