candidate_index,feature_selection__k,regressor__alpha,mean_inner_validation_bounded_mae,std_inner_validation_bounded_mae,rank,status,inner_split_1_validation_bounded_mae,inner_split_2_validation_bounded_mae,inner_split_3_validation_bounded_mae
0,50,0.01,0.42340293239004057,0.061521718356521204,10,COMPLETE,0.3701566662702036,0.39043572141226857,0.5096164094876494
1,50,0.1,0.42081088727682703,0.06992890431464852,9,COMPLETE,0.37760579073943534,0.365374048133194,0.5194528229578518
2,50,1.0,0.4284013490404314,0.0705856101792584,11,COMPLETE,0.3854979094067476,0.3717956304079719,0.5279105073065747
3,50,10.0,0.4493861387436389,0.07451236965751731,14,COMPLETE,0.4096028201439224,0.38477273595333095,0.5537828601336634
4,50,100.0,0.5255789638464274,0.05902711735783554,15,COMPLETE,0.48572955409408175,0.48197950574381104,0.6090278317013895
5,100,0.01,0.3510716346473843,0.05284566181650395,3,COMPLETE,0.3891910120922445,0.2763416598052595,0.38768223204464874
6,100,0.1,0.3486194449507553,0.04361167569746432,1,COMPLETE,0.38915935953311187,0.2880958681955757,0.3686031071235783
7,100,1.0,0.35032862303259343,0.04314221547529686,2,COMPLETE,0.3799790837422491,0.28932424403950796,0.3816825413160232
8,100,10.0,0.3635582016370141,0.046944707293556605,6,COMPLETE,0.37995584944177646,0.29964541023841357,0.4110733452308523
9,100,100.0,0.43839743091074806,0.05132267583621773,12,COMPLETE,0.43404484789355374,0.37782966414851726,0.5033177806901732
10,200,0.01,0.4167920519142197,0.0581209678572402,8,COMPLETE,0.4586943933615535,0.3346018765210057,0.4570798858600999
11,200,0.1,0.37676567655468274,0.0584882007221069,7,COMPLETE,0.4495961489288197,0.30639317080888423,0.37430770992634443
12,200,1.0,0.35673220069529155,0.052561915371670265,4,COMPLETE,0.4120034985976905,0.2860507024384256,0.37214240104975843
13,200,10.0,0.35816871481778795,0.06062660682490085,5,COMPLETE,0.37834130885987843,0.27591471019935926,0.4202501253941261
14,200,100.0,0.44527399988529837,0.046234653432637995,13,COMPLETE,0.424801570774603,0.401731738246309,0.5092886906349832
15,all,0.01,0.6703996759022891,0.10654174917395948,18,COMPLETE,0.5669853300427907,0.6272078431554275,0.8170058545086489
16,all,0.1,0.6708475566846653,0.10548850254199195,19,COMPLETE,0.5695174494919262,0.6266922892255842,0.8163329313364857
17,all,1.0,0.6693304717264875,0.10126284725120842,17,COMPLETE,0.575669271107482,0.622342465277591,0.8099796787943895
18,all,10.0,0.6514217639541945,0.0734556505960684,16,COMPLETE,0.5954954665486146,0.6035707592909111,0.7551990660230579
19,all,100.0,0.6795230550744523,0.10011698019331625,20,COMPLETE,0.640502605693614,0.5811639963101419,0.8169025632196011
