candidate_index,feature_selection__k,regressor__alpha,mean_inner_validation_bounded_mae,std_inner_validation_bounded_mae,rank,status,inner_split_1_validation_bounded_mae,inner_split_2_validation_bounded_mae,inner_split_3_validation_bounded_mae
0,50,0.01,0.39853716973867725,0.04887940719416366,11,COMPLETE,0.3342055434150108,0.45260905654216055,0.4087969092588604
1,50,0.1,0.40299254067524704,0.0535871520738019,14,COMPLETE,0.3345753788270231,0.4654268771170879,0.4089753660816302
2,50,1.0,0.39812108065325785,0.05161453117551591,10,COMPLETE,0.3321428299982941,0.45815170322267396,0.40406870873880557
3,50,10.0,0.4010080822957314,0.04429954343980685,13,COMPLETE,0.34870198160503896,0.4570229510111026,0.3972993142710528
4,50,100.0,0.4566468092451948,0.03327035777864058,15,COMPLETE,0.4121665373049873,0.49217243038415925,0.4656014600464378
5,100,0.01,0.3271367621625075,0.027476309860204513,6,COMPLETE,0.3202932148435138,0.2974330803478455,0.36368399129616313
6,100,0.1,0.32127950880259987,0.02325326377893534,5,COMPLETE,0.3111648094997081,0.2992381304752609,0.3534355864328307
7,100,1.0,0.3185609790133797,0.02107329526116236,4,COMPLETE,0.3146215135120148,0.294947785457268,0.34611363807085627
8,100,10.0,0.3341494610213573,0.021009354529457545,7,COMPLETE,0.31390616603265314,0.32543640059079354,0.3631058164406252
9,100,100.0,0.39876373061024256,0.03483375902818209,12,COMPLETE,0.35155269500531605,0.4101862791571034,0.4345522176683083
10,200,0.01,0.33578297116456995,0.054654315558991,8,COMPLETE,0.3123626310324683,0.4112838699057594,0.2837024125554822
11,200,0.1,0.3133487731866454,0.059691755187245225,3,COMPLETE,0.2720405064282483,0.39775930843313767,0.2702465046985502
12,200,1.0,0.2899332303290218,0.0616871987955855,1,COMPLETE,0.2578410948788328,0.37623267430433055,0.23572592180390203
13,200,10.0,0.293768989497233,0.046120291695846916,2,COMPLETE,0.27948652775457267,0.3560249227998754,0.245795517937251
14,200,100.0,0.36562105188062105,0.03646691994617923,9,COMPLETE,0.32842188639111586,0.41515477338346535,0.3532864958672819
15,all,0.01,0.594517114862886,0.04624533156212919,19,COMPLETE,0.549649638704806,0.5757425015512192,0.6581592043326331
16,all,0.1,0.5941783994138498,0.04633590330711008,18,COMPLETE,0.5493835984824613,0.5751560792133353,0.6579955205457525
17,all,1.0,0.5926116241076343,0.04954877564055336,17,COMPLETE,0.5468655180451546,0.5695162957631165,0.6614530585146319
18,all,10.0,0.586326773087193,0.06592046325845542,16,COMPLETE,0.5235073309439213,0.5580829152140567,0.677390073103601
19,all,100.0,0.6152047683304901,0.09251736724942522,20,COMPLETE,0.5332199603448838,0.567890528695421,0.7445038159511651
