candidate_index,feature_selection__k,regressor__alpha,mean_inner_validation_bounded_mae,std_inner_validation_bounded_mae,rank,status,inner_split_1_validation_bounded_mae,inner_split_2_validation_bounded_mae,inner_split_3_validation_bounded_mae
0,50,0.01,0.39667297322211237,0.033746598539265,10,COMPLETE,0.4252944222525544,0.41543578587792634,0.3492887115358562
1,50,0.1,0.3992908184280018,0.030461741401370278,11,COMPLETE,0.4269326430305243,0.41408500150118355,0.3568548107522975
2,50,1.0,0.3941919121431791,0.02325253102712259,8,COMPLETE,0.42009267495248515,0.39878813049953393,0.36369493097751826
3,50,10.0,0.3955192352934271,0.01658031523101996,9,COMPLETE,0.40044940860394684,0.41290686439914476,0.3732014328771896
4,50,100.0,0.47140579382187936,0.026007588071352786,15,COMPLETE,0.4567071041358941,0.5079536548441248,0.44955662248561906
5,100,0.01,0.36258694658228235,0.0459667496006868,6,COMPLETE,0.34992028276366793,0.42413875206754065,0.31370180491563837
6,100,0.1,0.36111275675539245,0.03745506401794584,5,COMPLETE,0.36181728655127177,0.406629331598694,0.31489165211621156
7,100,1.0,0.351090587500857,0.038476537625378546,3,COMPLETE,0.36955003172211354,0.386190343288547,0.2975313874919103
8,100,10.0,0.3258672927798556,0.0097106328122828,1,COMPLETE,0.3297163497255081,0.3353591190183336,0.31252640959572514
9,100,100.0,0.4148971548344471,0.022276938461528888,13,COMPLETE,0.40562821596899645,0.4456076297139337,0.39345561882041125
10,200,0.01,0.4433022377281112,0.10520058509686217,14,COMPLETE,0.5101012136677232,0.5250294941192379,0.2947760053973724
11,200,0.1,0.3896764081919879,0.06978916893054103,7,COMPLETE,0.4148888831854376,0.45970817937499775,0.29443216201552846
12,200,1.0,0.35576497798012235,0.051279565370693427,4,COMPLETE,0.37693822129050825,0.4052463266810204,0.28511038596883836
13,200,10.0,0.33590413616271464,0.03707802325782661,2,COMPLETE,0.3598236571159841,0.3643555387612312,0.28353321261092856
14,200,100.0,0.40466448966114443,0.02421346799500635,12,COMPLETE,0.4044827050586115,0.43441028483337824,0.37510047909144356
15,all,0.01,0.5521842609605566,0.05607826445182544,20,COMPLETE,0.631128748552528,0.5061558349657513,0.5192681993633907
16,all,0.1,0.5516665070936605,0.05609222592318986,19,COMPLETE,0.630608908085726,0.50544403207105,0.5189465811242057
17,all,1.0,0.5471995170517276,0.055984330841501256,18,COMPLETE,0.6257623515072865,0.4994164099103283,0.5164197897375683
18,all,10.0,0.5254107772885308,0.048557411979942844,17,COMPLETE,0.5920667012148675,0.4777833663349413,0.5063822643157836
19,all,100.0,0.51208281680738,0.06067321674733306,16,COMPLETE,0.5978792707043035,0.47022632866404346,0.46814285105379316
