candidate_index,feature_selection__k,regressor__alpha,mean_inner_validation_bounded_mae,std_inner_validation_bounded_mae,rank,status,inner_split_1_validation_bounded_mae,inner_split_2_validation_bounded_mae,inner_split_3_validation_bounded_mae
0,50,0.01,0.4080737960595122,0.0469293800223094,10,COMPLETE,0.36166544602537093,0.3901896655718658,0.4723662765812999
1,50,0.1,0.41271848782963483,0.04559774463701662,12,COMPLETE,0.36487652626333966,0.39919495620988515,0.47408398101567956
2,50,1.0,0.4049162578976562,0.03250545268663762,9,COMPLETE,0.36637087324219947,0.4024957099679445,0.44588219048282457
3,50,10.0,0.4102125801626139,0.023693679043742654,11,COMPLETE,0.3796070467607929,0.41370172617237516,0.4373289675546736
4,50,100.0,0.454888119871451,0.017659340183003025,15,COMPLETE,0.430742853455265,0.4724864227961564,0.4614350833629317
5,100,0.01,0.3919558350500559,0.049610938446413844,7,COMPLETE,0.3218706071471935,0.4298115331903584,0.42418536481261565
6,100,0.1,0.3906455614085984,0.05077315254569652,6,COMPLETE,0.3193647465358193,0.43377953958578286,0.4187923981041931
7,100,1.0,0.3843738971939144,0.049643085145196095,5,COMPLETE,0.31417093168514126,0.42003357295281585,0.41891718694378616
8,100,10.0,0.3750957391980411,0.0355674614876902,4,COMPLETE,0.32493695574259185,0.3969134125566382,0.40343684929489315
9,100,100.0,0.435610181601624,0.016629775231638357,14,COMPLETE,0.4151888306938401,0.4559228596643101,0.435718854446722
10,200,0.01,0.39579727544634946,0.11270197872635479,8,COMPLETE,0.23811666097181514,0.4545074590512705,0.49476770631596284
11,200,0.1,0.3551434724263139,0.09705120680057544,3,COMPLETE,0.22238067315902338,0.39137633212504785,0.4516734119948704
12,200,1.0,0.3171165173804163,0.07573175237581004,1,COMPLETE,0.21112603801782265,0.3567903010514935,0.38343321307193284
13,200,10.0,0.3315231016675932,0.06722713546634819,2,COMPLETE,0.23905088948653044,0.35863071865753227,0.3968876968587169
14,200,100.0,0.4241416546622152,0.034167747611722664,13,COMPLETE,0.37600460565418986,0.4518530969372997,0.44456726139515623
15,all,0.01,0.583506806929219,0.06902743149897717,18,COMPLETE,0.5003261345117028,0.6693454340783781,0.580848852197576
16,all,0.1,0.583996438431322,0.06795475623254632,19,COMPLETE,0.5025149883521368,0.6688659897829992,0.5806083371588299
17,all,1.0,0.582860937905732,0.06481578929646144,17,COMPLETE,0.5057733868113704,0.6643554050991549,0.578454021806671
18,all,10.0,0.5910986729333763,0.05787993879274641,20,COMPLETE,0.5429275194002798,0.6724973018560105,0.5578711975438383
19,all,100.0,0.5807710369577078,0.06026236879269125,16,COMPLETE,0.5212801305848698,0.6633648929862483,0.5576680873020053
