dimension,seed_count,macro_f1_mean,macro_f1_sample_sd,macro_f1_min,macro_f1_max,balanced_accuracy_mean,balanced_accuracy_sample_sd,balanced_accuracy_min,balanced_accuracy_max,accuracy_mean,accuracy_sample_sd,accuracy_min,accuracy_max,severe_error_rate_mean,severe_error_rate_sample_sd,severe_error_rate_min,severe_error_rate_max
1000,5,0.7568852136748837,0.023091755688514532,0.7181925176407058,0.7761139146474305,0.7611304340313774,0.022878210166053275,0.722809541087843,0.7802750708411086,0.7613365155131265,0.02282950652709902,0.7231503579952268,0.7804295942720764,0.045346062052505964,0.0029230187861374454,0.04295942720763723,0.050119331742243436
2000,5,0.7742097349496994,0.01674704816570431,0.7468325721443744,0.7888302037446727,0.7778937728937729,0.01620531860329858,0.7515874455732946,0.7922260522496372,0.7780429594272077,0.016186945067124762,0.7517899761336515,0.7923627684964201,0.044868735083532216,0.004269342200476925,0.03818615751789976,0.0477326968973747
5000,5,0.7797642795463223,0.011621972585294089,0.767216495456205,0.7916847002455213,0.7831913055497962,0.01138729238314311,0.7706821480406386,0.7946752539912917,0.7832935560859189,0.011371006443505086,0.7708830548926014,0.7947494033412887,0.04295942720763723,0.0016876056830227846,0.0405727923627685,0.045346062052505964
10000,5,0.7710611339013778,0.005569866250664318,0.7645791275111784,0.7797247085370791,0.774505753680282,0.00522593445412572,0.7682329462989841,0.7825882058193379,0.7747016706443914,0.005228854964249828,0.7684964200477327,0.7828162291169452,0.04295942720763723,0.00446498494841759,0.03579952267303103,0.0477326968973747
