dimension,seed_count,mae_bounded_mean,mae_bounded_sample_sd,mae_bounded_min,mae_bounded_max,rmse_bounded_mean,rmse_bounded_sample_sd,rmse_bounded_min,rmse_bounded_max,r2_bounded_mean,r2_bounded_sample_sd,r2_bounded_min,r2_bounded_max,spearman_bounded_mean,spearman_bounded_sample_sd,spearman_bounded_min,spearman_bounded_max
1000,5,0.7022786559766689,0.010967548590613148,0.6917396683192365,0.7179528933582237,0.8151481202511277,0.011947152137438872,0.8014510648847916,0.8326910859676149,0.46731782248538584,0.015652198050800627,0.44423869171086594,0.4851573728818378,0.7970208607568767,0.01970431240975934,0.7740197394554404,0.8156679459589392
2000,5,0.699929696760415,0.00813060621356981,0.6905147726398422,0.710568818787447,0.8116353037492011,0.008542787690860549,0.8036005887075349,0.8237602303467657,0.4719429752630253,0.011134504553160616,0.4560961668287691,0.4823920123940614,0.7963426976262358,0.0126409800372551,0.7819750271599635,0.810040932409674
5000,5,0.7007127292774827,0.009599808033267042,0.6898499187361173,0.7098372227205263,0.8121840447253511,0.010051833547344072,0.8011439529796618,0.8218540039125597,0.4712107729706701,0.013069707159541576,0.45861050101425527,0.48555186734991296,0.7995044430470442,0.009181806560659419,0.7892904143476855,0.8124237952346114
10000,5,0.7014883381484773,0.0037524530660137403,0.6979682905609311,0.7072418659747979,0.8127151920637157,0.0038200740325219596,0.8090762385233381,0.8182682909413223,0.4705744342463384,0.0049821521004374935,0.46332431273175034,0.4753141276121584,0.7987245663982377,0.0025682131889794074,0.7959489684219938,0.8018026765856232
