dimension,seed_count,mae_bounded_mean,mae_bounded_sample_sd,mae_bounded_min,mae_bounded_max,rmse_bounded_mean,rmse_bounded_sample_sd,rmse_bounded_min,rmse_bounded_max,r2_bounded_mean,r2_bounded_sample_sd,r2_bounded_min,r2_bounded_max,spearman_bounded_mean,spearman_bounded_sample_sd,spearman_bounded_min,spearman_bounded_max
1000,5,0.3503554137608016,0.009881599518902872,0.3395560663875353,0.36641395277427585,0.48628272121722577,0.011093332338835802,0.4775567013222697,0.5046730960159355,0.8103822777180799,0.008737363798318205,0.7958540428782565,0.8172024525768524,0.8961586914475846,0.003937291247652574,0.8899215529500653,0.899722194145941
2000,5,0.3280556340397559,0.006622125521187154,0.3198551734694731,0.3357205621822572,0.46751125978031016,0.009503440496420565,0.4542520605260402,0.47550201573593576,0.8247539774867099,0.007088682874078809,0.8187720399976545,0.8346080798952804,0.9035052136830135,0.003612051686403776,0.8991065127455584,0.9082366702305278
5000,5,0.29365448930518456,0.007810092602930573,0.2843820847423422,0.3000789332052196,0.4286820726958441,0.0116744523171056,0.4138424624442926,0.4444839763431252,0.8526165487394783,0.00802989051437182,0.8416446663343897,0.8627252769284384,0.9174095229554226,0.004865726818092391,0.9119145720868594,0.9234009604321136
10000,5,0.2763899537759564,0.006418910750530134,0.2680685764716566,0.2820949113243607,0.4075166878371063,0.007000733305015733,0.39904585904437956,0.41558343519256874,0.8668583927417067,0.004568755870266339,0.8615678594359681,0.872366084061476,0.9247515333883938,0.0025702997228385883,0.9224778000292783,0.9283320834281278
