dimension,seed,oof_rows,prediction_mean,prediction_std,prediction_min,prediction_max,prediction_range,mean_abs_distance_from_midpoint_2_5,rounded_unique_levels,adjacent_accuracy,severe_error_rate,rounded_macro_f1,rounded_quadratic_weighted_kappa,true_level_1_rows,true_level_1_mae,true_level_1_prediction_mean,true_level_1_prediction_std,true_level_2_rows,true_level_2_mae,true_level_2_prediction_mean,true_level_2_prediction_std,true_level_3_rows,true_level_3_mae,true_level_3_prediction_mean,true_level_3_prediction_std,true_level_4_rows,true_level_4_mae,true_level_4_prediction_mean,true_level_4_prediction_std
1000,42,419,2.4839454935750913,0.4474431160698574,1.734632235482565,3.548499566287342,1.813867330804777,0.39358956870719214,3,0.7565632458233891,0.007159904534606206,0.1954197475643463,0.5108294354441318,104,1.1281195153031325,2.1281195153031325,0.25576564259243695,106,0.22469039870871826,2.214600140961034,0.24337336681856714,104,0.5361767454709662,2.477269662660556,0.23184129508711387,105,0.8850945489726636,3.114905451027336,0.15585144736752513
1000,43,419,2.4876890547426243,0.4595892892835835,1.7081771567916746,3.574911820465837,1.8667346636741626,0.4006709289580827,3,0.7446300715990454,0.007159904534606206,0.21678929966621915,0.5248719604692029,104,1.137739995959066,2.137739995959066,0.25966472605640173,106,0.24253526615763918,2.2274007252116887,0.279304341413305,104,0.555932825850486,2.479735191143627,0.2964240441836855,105,0.8950493561329479,3.104950643867052,0.19885154920510706
1000,44,419,2.4835307051668014,0.4581085852947055,1.773663603154385,3.615262504618133,1.841598901463748,0.3991738300990754,3,0.7589498806682577,0.007159904534606206,0.21896688137639564,0.5248612560923407,104,1.112056257344076,2.112056257344076,0.2715181041758859,106,0.23280889092610452,2.2234825936832214,0.2765899882516126,104,0.5228875538895317,2.5042755995154353,0.26358500007521785,105,0.9065552626563876,3.0934447373436127,0.2025333777894886
1000,45,419,2.47241599039493,0.4311846817329857,1.7530381082203494,3.6349499691206013,1.8819118609002519,0.37914945518628135,3,0.7136038186157518,0.007159904534606206,0.20932253404506457,0.5154865173321683,104,1.1476770755918073,2.1476770755918073,0.25400160485568135,106,0.22953096286732574,2.222339406203344,0.2596518924828466,104,0.5569227790343763,2.463745215657783,0.2582075652750603,105,0.9448913844955816,3.0551086155044187,0.19162572077815204
1000,46,419,2.4782903707207744,0.4222109792156401,1.8409664635181686,3.623534818673222,1.7825683551550533,0.3723115939154903,3,0.7183770883054893,0.002386634844868735,0.21778754359514213,0.5329474133663834,104,1.1277228372724502,2.12772283727245,0.22860511064497224,106,0.23115418494989462,2.2249446558361012,0.2445642006947685,104,0.5101932118255998,2.5126177835978565,0.2526770731514607,105,0.9527227881631813,3.0472772118368185,0.15663190543838185
2000,42,419,2.477627879126822,0.43361806125275004,1.7913720271735256,3.5440698900337626,1.752697862860237,0.3839902056008205,3,0.7565632458233891,0.007159904534606206,0.1987251498970761,0.5140058676815076,104,1.1338714652568318,2.133871465256832,0.2429250533585768,106,0.22594548858261873,2.220644738542344,0.24034272885967736,104,0.5458626061409139,2.46593870417047,0.23289305403941993,105,0.9108811290646597,3.089118870935341,0.14849555584006266
2000,43,419,2.489001930980215,0.4571707244323807,1.7237862660606855,3.5551050463145693,1.8313187802538837,0.3985461735382012,3,0.7541766109785203,0.007159904534606206,0.21885135428894398,0.5279288518908074,104,1.136278863036419,2.136278863036419,0.26448911308594075,106,0.24006242150999743,2.228484323624042,0.2758557320253811,104,0.5493728540120405,2.484122197038829,0.28509675554864644,105,0.8938022806787049,3.1061977193212953,0.1863213094023752
2000,44,419,2.482427388349917,0.45466009341129693,1.7961151679496254,3.5802042403357808,1.7840890723861553,0.3996071934195388,3,0.7637231503579952,0.007159904534606206,0.2079199508471146,0.5234480387229878,104,1.1199308024721053,2.1199308024721053,0.2556928907775059,106,0.22254259483877886,2.21389797336008,0.26440929182974904,104,0.5336399806163753,2.488037503147395,0.2578522548856475,105,0.892998221352203,3.107001778647797,0.1750261853553427
2000,45,419,2.4745012964690773,0.43625581913359435,1.7448770025238465,3.60628952311522,1.8614125205913734,0.3852673219245839,3,0.7374701670644391,0.007159904534606206,0.205913272937657,0.5170665561791403,104,1.1399133853897578,2.1399133853897583,0.25305366517322,106,0.22739927987871011,2.220008926274206,0.2574104449777834,104,0.553445184843307,2.465950240918277,0.25836558756486494,105,0.9287116200053168,3.071288379994683,0.17474598506800734
2000,46,419,2.4806054428339257,0.4502011359644617,1.785437499306339,3.568491907779622,1.783054408473283,0.3967055945839833,3,0.7637231503579952,0.00477326968973747,0.20904422375010612,0.5296958100432405,104,1.1180376155502634,2.118037615550264,0.2426178669799276,106,0.22092202349853712,2.214685204251592,0.2521396139278813,104,0.5405172386481598,2.488881432363436,0.2690460505287361,105,0.9000241151074164,3.0999758848925834,0.17127986741176104
5000,42,419,2.482224822804211,0.4518144182484738,1.7795732087628298,3.5060826104848064,1.7265094017219766,0.39922123593770314,3,0.766109785202864,0.007159904534606206,0.19954645021809697,0.5140021833399036,104,1.124316987962757,2.124316987962757,0.251443994393008,106,0.22013778012282523,2.2130285848805746,0.25365687280276267,104,0.5432167379104448,2.474832440488271,0.24986975838598782,105,0.8841939981074617,3.1158060018925386,0.15385076352899638
5000,43,419,2.480989537408387,0.4371602356176104,1.7645817613888517,3.4839002530576044,1.7193184916687527,0.3865357866857846,2,0.7446300715990454,0.007159904534606206,0.19411090264748804,0.509263202725724,104,1.1380305626929341,2.1380305626929337,0.24518379306607743,106,0.22902038416030085,2.221372927773043,0.25447061258765075,104,0.5399996703369381,2.4791925859970494,0.2546053524855025,105,0.9154487774627326,3.084551222537267,0.15704090378169921
5000,44,419,2.4817885586785406,0.4277736298044601,1.8010523259531666,3.531536811420575,1.7304844854674086,0.3765181176458541,3,0.7446300715990454,0.007159904534606206,0.1998321846565621,0.5124047139808423,104,1.142756785058892,2.142756785058892,0.2461626633492995,106,0.23655685557794418,2.2319884422870566,0.25290398257189856,104,0.5362388899966626,2.4823379325059296,0.24284732890847877,105,0.9307735183129592,3.069226481687041,0.15903086534137978
5000,45,419,2.4779606467553883,0.4334883224956889,1.7716590566224955,3.5680824900953656,1.7964234334728701,0.38258645379581024,3,0.7350835322195705,0.007159904534606206,0.20067055647735352,0.5123672775363688,104,1.140339485531702,2.140339485531702,0.25208122362335195,106,0.22937907213377262,2.2229043882019353,0.260264735594317,104,0.542090520525522,2.47853638520063,0.2533504188577522,105,0.9307185210958094,3.0692814789041902,0.16347710593276693
5000,46,419,2.4811085978328102,0.4505417555668916,1.7927765320980165,3.5212842634855304,1.728507731387514,0.3980102812352071,3,0.7732696897374701,0.007159904534606206,0.20033818373002227,0.5139984989424367,104,1.1163644620387616,2.116364462038762,0.24680717464009175,106,0.2197460696630554,2.2140661932488266,0.2548124194862497,104,0.5338144383051209,2.4896827777492883,0.25987598970574977,105,0.896527875527481,3.103472124472519,0.16147233210466003
10000,42,419,2.48133943817294,0.44120038184311283,1.8012258049674248,3.507187892815018,1.7059620878475932,0.389681193083065,3,0.7613365155131265,0.007159904534606206,0.2031102912889861,0.5155812305021398,104,1.1298290609941923,2.1298290609941923,0.24513594745359457,106,0.22696470939565833,2.221763974257798,0.2518528295474111,104,0.5413182495614356,2.477519856206484,0.25055747729345845,105,0.9046670863403347,3.0953329136596657,0.15374147554078568
10000,43,419,2.481945731495341,0.4424293092703161,1.767838640468618,3.521554033354836,1.753715392886218,0.39158147357046985,3,0.7565632458233891,0.007159904534606206,0.19704884788254687,0.5108220185433676,104,1.133332627298272,2.133332627298272,0.24961524626564624,106,0.22755561860088686,2.2208539950821886,0.25670817529120504,104,0.5400071434555369,2.4797877014493985,0.2563859510189881,105,0.907045487351638,3.0929545126483617,0.15885101327282233
10000,44,419,2.4795999579200583,0.43099575652676053,1.7896908106843101,3.521073098181783,1.731382287497473,0.3809838470498123,3,0.747016706443914,0.00477326968973747,0.2011007603962895,0.5139948144891058,104,1.1405175206929175,2.1405175206929172,0.2444498131651481,106,0.22971597910376496,2.224974722283938,0.24807382031087657,104,0.5415798172460532,2.476322736222423,0.24710383960408872,105,0.9242507134551268,3.0757492865448732,0.15725813541927858
10000,45,419,2.4798963182281217,0.4376861560206975,1.773284272165157,3.5568282992424978,1.7835440270773408,0.3868927989327038,3,0.7613365155131265,0.007159904534606206,0.20396355452361306,0.5155337237861326,104,1.1341516878474052,2.1341516878474054,0.24791542673977632,106,0.22798206153101622,2.221890614971051,0.2537198647112563,104,0.5400049689204734,2.480051607302804,0.25391338461404017,105,0.9173427670949538,3.0826572329050457,0.1606490961261935
10000,46,419,2.482171450581365,0.44331030008379796,1.7954531504731908,3.517834255857687,1.7223811053844964,0.3913623858770615,3,0.7565632458233891,0.007159904534606206,0.1974888888227657,0.5124158033788574,104,1.1308817096211403,2.1308817096211405,0.24999889230405814,106,0.2257529674931307,2.219973067925179,0.2531634030392232,104,0.5383128772007821,2.480996701482717,0.25369972935346535,105,0.9040253539169366,3.095974646083063,0.1596241835179363
