dimension,seed_count,fit_time_seconds_mean,fit_time_seconds_sample_sd,fit_time_seconds_min,fit_time_seconds_max,prediction_time_seconds_mean,prediction_time_seconds_sample_sd,prediction_time_seconds_min,prediction_time_seconds_max,measured_total_runtime_seconds_mean,measured_total_runtime_seconds_sample_sd,measured_total_runtime_seconds_min,measured_total_runtime_seconds_max,model_artifact_size_bytes_across_folds_mean,model_artifact_size_bytes_across_folds_sample_sd,model_artifact_size_bytes_across_folds_min,model_artifact_size_bytes_across_folds_max
1000,5,3.6278796049977244,0.013410580846535557,3.6127987999861944,3.6474562249895826,0.0121925000043117,0.0016050828497514403,0.0093666000175286,0.0131915999954796,3.640072105002036,0.013590405367613342,3.6257734999890086,3.660647824985062,35344.8,776.9261226139845,34587.0,36379.0
2000,5,3.6586274450128258,0.015870105426670354,3.6399969999984023,3.683644325032219,0.01333878001314572,0.0013717948328736526,0.0118006000120657,0.015104399994015501,3.6719662250259715,0.016363763494132745,3.651797600010468,3.696746025041648,66487.4,955.2637332171677,65412.0,67358.0
5000,5,3.7808085050033697,0.01634157703772003,3.765687950010033,3.805833825008449,0.028148939998936556,0.0008917332491263591,0.0273408999928503,0.0291698999935758,3.8089574450023056,0.016095036330264316,3.7930898500162584,3.833174725001299,158063.4,927.6741345968421,156505.0,158728.0
10000,5,3.9149465450005665,0.012128771342279077,3.8983031999887316,3.9299119250172225,0.04954637999471721,0.0024554898535291882,0.0469645999983184,0.0526158999855396,3.964492924995284,0.009790784885860613,3.9509190999742714,3.976876525015541,309654.2,452.1755190188872,308937.0,310020.0
