dimension,seed_count,macro_f1_mean,macro_f1_sample_sd,macro_f1_min,macro_f1_max,balanced_accuracy_mean,balanced_accuracy_sample_sd,balanced_accuracy_min,balanced_accuracy_max,accuracy_mean,accuracy_sample_sd,accuracy_min,accuracy_max,severe_error_rate_mean,severe_error_rate_sample_sd,severe_error_rate_min,severe_error_rate_max,mae_bounded_mean,mae_bounded_sample_sd,mae_bounded_min,mae_bounded_max,rmse_bounded_mean,rmse_bounded_sample_sd,rmse_bounded_min,rmse_bounded_max,r2_bounded_mean,r2_bounded_sample_sd,r2_bounded_min,r2_bounded_max,spearman_bounded_mean,spearman_bounded_sample_sd,spearman_bounded_min,spearman_bounded_max,mae_bounded_mean_ridge,mae_bounded_sample_sd_ridge,mae_bounded_min_ridge,mae_bounded_max_ridge,rmse_bounded_mean_ridge,rmse_bounded_sample_sd_ridge,rmse_bounded_min_ridge,rmse_bounded_max_ridge,r2_bounded_mean_ridge,r2_bounded_sample_sd_ridge,r2_bounded_min_ridge,r2_bounded_max_ridge,spearman_bounded_mean_ridge,spearman_bounded_sample_sd_ridge,spearman_bounded_min_ridge,spearman_bounded_max_ridge,best_phase04a_classifier,best_phase04a_macro_f1,best_phase04b_regressor,best_phase04b_mae_bounded,canonical_configuration_selection
1000,5,0.7568852136748837,0.023091755688514532,0.7181925176407058,0.7761139146474305,0.7611304340313774,0.022878210166053275,0.722809541087843,0.7802750708411086,0.7613365155131265,0.02282950652709902,0.7231503579952268,0.7804295942720764,0.045346062052505964,0.0029230187861374454,0.04295942720763723,0.050119331742243436,0.7022786559766689,0.010967548590613148,0.6917396683192365,0.7179528933582237,0.8151481202511277,0.011947152137438872,0.8014510648847916,0.8326910859676149,0.46731782248538584,0.015652198050800627,0.44423869171086594,0.4851573728818378,0.7970208607568767,0.01970431240975934,0.7740197394554404,0.8156679459589392,0.3503554137608016,0.009881599518902872,0.3395560663875353,0.36641395277427585,0.48628272121722577,0.011093332338835802,0.4775567013222697,0.5046730960159355,0.8103822777180799,0.008737363798318205,0.7958540428782565,0.8172024525768524,0.8961586914475846,0.003937291247652574,0.8899215529500653,0.899722194145941,Gradient Boosting,0.9356075023489924,Gradient Boosting Regressor,0.1074862234692518,NOT_PERFORMED_OUTER_TEST_SELECTION_PROHIBITED
2000,5,0.7742097349496994,0.01674704816570431,0.7468325721443744,0.7888302037446727,0.7778937728937729,0.01620531860329858,0.7515874455732946,0.7922260522496372,0.7780429594272077,0.016186945067124762,0.7517899761336515,0.7923627684964201,0.044868735083532216,0.004269342200476925,0.03818615751789976,0.0477326968973747,0.699929696760415,0.00813060621356981,0.6905147726398422,0.710568818787447,0.8116353037492011,0.008542787690860549,0.8036005887075349,0.8237602303467657,0.4719429752630253,0.011134504553160616,0.4560961668287691,0.4823920123940614,0.7963426976262358,0.0126409800372551,0.7819750271599635,0.810040932409674,0.3280556340397559,0.006622125521187154,0.3198551734694731,0.3357205621822572,0.46751125978031016,0.009503440496420565,0.4542520605260402,0.47550201573593576,0.8247539774867099,0.007088682874078809,0.8187720399976545,0.8346080798952804,0.9035052136830135,0.003612051686403776,0.8991065127455584,0.9082366702305278,Gradient Boosting,0.9356075023489924,Gradient Boosting Regressor,0.1074862234692518,NOT_PERFORMED_OUTER_TEST_SELECTION_PROHIBITED
5000,5,0.7797642795463223,0.011621972585294089,0.767216495456205,0.7916847002455213,0.7831913055497962,0.01138729238314311,0.7706821480406386,0.7946752539912917,0.7832935560859189,0.011371006443505086,0.7708830548926014,0.7947494033412887,0.04295942720763723,0.0016876056830227846,0.0405727923627685,0.045346062052505964,0.7007127292774827,0.009599808033267042,0.6898499187361173,0.7098372227205263,0.8121840447253511,0.010051833547344072,0.8011439529796618,0.8218540039125597,0.4712107729706701,0.013069707159541576,0.45861050101425527,0.48555186734991296,0.7995044430470442,0.009181806560659419,0.7892904143476855,0.8124237952346114,0.29365448930518456,0.007810092602930573,0.2843820847423422,0.3000789332052196,0.4286820726958441,0.0116744523171056,0.4138424624442926,0.4444839763431252,0.8526165487394783,0.00802989051437182,0.8416446663343897,0.8627252769284384,0.9174095229554226,0.004865726818092391,0.9119145720868594,0.9234009604321136,Gradient Boosting,0.9356075023489924,Gradient Boosting Regressor,0.1074862234692518,NOT_PERFORMED_OUTER_TEST_SELECTION_PROHIBITED
10000,5,0.7710611339013778,0.005569866250664318,0.7645791275111784,0.7797247085370791,0.774505753680282,0.00522593445412572,0.7682329462989841,0.7825882058193379,0.7747016706443914,0.005228854964249828,0.7684964200477327,0.7828162291169452,0.04295942720763723,0.00446498494841759,0.03579952267303103,0.0477326968973747,0.7014883381484773,0.0037524530660137403,0.6979682905609311,0.7072418659747979,0.8127151920637157,0.0038200740325219596,0.8090762385233381,0.8182682909413223,0.4705744342463384,0.0049821521004374935,0.46332431273175034,0.4753141276121584,0.7987245663982377,0.0025682131889794074,0.7959489684219938,0.8018026765856232,0.2763899537759564,0.006418910750530134,0.2680685764716566,0.2820949113243607,0.4075166878371063,0.007000733305015733,0.39904585904437956,0.41558343519256874,0.8668583927417067,0.004568755870266339,0.8615678594359681,0.872366084061476,0.9247515333883938,0.0025702997228385883,0.9224778000292783,0.9283320834281278,Gradient Boosting,0.9356075023489924,Gradient Boosting Regressor,0.1074862234692518,NOT_PERFORMED_OUTER_TEST_SELECTION_PROHIBITED
