outer_fold,configs_completed,test_rows,prediction_rows,classification_macro_f1_mean_across_configs,classification_macro_f1_std_across_configs,similarity_mae_bounded_mean_across_configs,similarity_mae_bounded_std_across_configs,ridge_mae_bounded_mean_across_configs,ridge_mae_bounded_std_across_configs,leakage_audit,coverage_audit,artifact_audit
1,20,84,1680,0.7028826778572826,0.0360313832735335,0.6996666306915477,0.010528517574601966,0.37367054902758967,0.022394342197747767,PASS,PASS,PASS
2,20,84,1680,0.7231228072784743,0.0198634791489735,0.6857920907598073,0.01681151959433299,0.3823584192389684,0.030297381384595118,PASS,PASS,PASS
3,20,84,1680,0.8240549760215012,0.024340454725703817,0.7035334762955006,0.010257937288726406,0.26982585869463527,0.04362902273123322,PASS,PASS,PASS
4,20,84,1680,0.8469764793786716,0.027528236356921903,0.7085252558598742,0.011329055528381368,0.23332561932678528,0.037028740956752196,PASS,PASS,PASS
5,20,83,1660,0.7553718422371679,0.0234729758609231,0.708077357338718,0.016040151740419766,0.3012597009839483,0.03621082039091825,PASS,PASS,PASS
