dimension,seed,oof_rows,mae_raw,mae_bounded,rmse_bounded,r2_bounded,spearman_bounded
1000,42,419,0.6917396683192365,0.6917396683192365,0.8014510648847916,0.4851573728818378,0.8106617942855062
1000,43,419,0.7060403199877392,0.7060403199877392,0.8188458846596662,0.4625663952793345,0.7740197394554404
1000,44,419,0.6918859221608186,0.6918859221608186,0.8072869168519322,0.4776323112775953,0.8073286000058519
1000,45,419,0.7179528933582237,0.7179528933582237,0.8326910859676149,0.44423869171086594,0.7774262240786459
1000,46,419,0.7037744760573271,0.7037744760573271,0.8154656488916341,0.46699434127729555,0.8156679459589392
2000,42,419,0.7023510352432277,0.7023510352432277,0.811416454089054,0.4722744787451485,0.8049320057717205
2000,43,419,0.7031113000581467,0.7031113000581467,0.8157330620647015,0.46664471010688624,0.7819750271599635
2000,44,419,0.6905147726398422,0.6905147726398422,0.8036661835379502,0.4823075082402615,0.8007483907815472
2000,45,419,0.710568818787447,0.710568818787447,0.8237602303467657,0.4560961668287691,0.7840171320082737
2000,46,419,0.6931025570734121,0.6931025570734121,0.8036005887075349,0.4823920123940614,0.810040932409674
5000,42,419,0.6911658281267683,0.6911658281267683,0.8018801717169424,0.4846059190482097,0.8049454844555921
5000,43,419,0.7038506601185812,0.7038506601185812,0.815332675114834,0.4671681560711348,0.7941664124799843
5000,44,419,0.7098372227205263,0.7098372227205263,0.8207094199027577,0.4601174213698377,0.7966961087173471
5000,45,419,0.7088600166854204,0.7088600166854204,0.8218540039125597,0.45861050101425527,0.7892904143476855
5000,46,419,0.6898499187361173,0.6898499187361173,0.8011439529796618,0.48555186734991296,0.8124237952346114
10000,42,419,0.69892034262401,0.69892034262401,0.8090762385233381,0.4753141276121584,0.8018026765856232
10000,43,419,0.7002100427255661,0.7002100427255661,0.811955555413048,0.4715730090246426,0.7969804247052622
10000,44,419,0.7072418659747979,0.7072418659747979,0.8182682909413223,0.46332431273175034,0.7959489684219938
10000,45,419,0.7031011488570817,0.7031011488570817,0.8146922947283319,0.468004823295749,0.7978449137920721
10000,46,419,0.6979682905609311,0.6979682905609311,0.8095835807125384,0.47465589856739154,0.8010458484862369
