dimension,seed,oof_rows,prediction_mean,prediction_std,prediction_min,prediction_max,prediction_range,mean_abs_distance_from_midpoint_2_5,rounded_unique_levels,adjacent_accuracy,severe_error_rate,rounded_macro_f1,rounded_quadratic_weighted_kappa,true_level_1_rows,true_level_1_mae,true_level_1_prediction_mean,true_level_1_prediction_std,true_level_2_rows,true_level_2_mae,true_level_2_prediction_mean,true_level_2_prediction_std,true_level_3_rows,true_level_3_mae,true_level_3_prediction_mean,true_level_3_prediction_std,true_level_4_rows,true_level_4_mae,true_level_4_prediction_mean,true_level_4_prediction_std
1000,42,419,2.4978670052249243,0.9673502366156452,1.0,4.0,3.0,0.8554701775740365,4,0.9570405727923628,0.002386634844868735,0.7543421466232527,0.8808398383870082,104,0.43327375203689134,1.433273752036891,0.41183450707455294,106,0.3565688440386164,1.943276028545927,0.4748435628784276,104,0.2985368150892444,2.8839225126798462,0.38189002348665996,105,0.27018471778253195,3.729815282217468,0.3093628478535172
1000,43,419,2.5117877202956267,0.9465085589871628,1.0,4.0,3.0,0.8227358717891738,4,0.9570405727923628,0.002386634844868735,0.7474672922347584,0.8744026942676282,104,0.48370576525338066,1.4837057652533807,0.4100190451990686,106,0.35340828701293436,1.9786902901937158,0.4518932915224229,104,0.3133923240024625,2.8362037574031636,0.374485440614225,105,0.25307339345663576,3.7469266065433646,0.3159331420770468
1000,44,419,2.501046825426192,0.9537915070210973,1.0,4.0,3.0,0.8425117925098976,4,0.9427207637231504,0.002386634844868735,0.7444923039959142,0.8717805937653633,104,0.4577146462564834,1.4577146462564832,0.4352923581029414,106,0.36246737716361854,1.9446132085423573,0.46250228487065564,104,0.27496155951552503,2.89818857244775,0.35703525645158574,105,0.2971839523538621,3.702816047646138,0.33032949409150447
1000,45,419,2.492222565886475,0.9316553636766985,1.0,4.0,3.0,0.816416193709239,4,0.9498806682577565,0.00477326968973747,0.7330773660536731,0.8620293541730031,104,0.4832195190339514,1.4832195190339514,0.43545846891706985,106,0.33095748230034866,1.9664498482763118,0.43901419767175687,104,0.32831819972047643,2.8421997264205503,0.4188877236006572,105,0.3242479079821345,3.6757520920178655,0.31298083641080776
1000,46,419,2.4981992257320704,0.9775672701160139,1.0,4.0,3.0,0.8611061887458142,4,0.9665871121718377,0.0,0.7485932578325215,0.8769665716192441,104,0.4210027712151977,1.4210027712151976,0.4072398053646342,106,0.38063654673660346,1.9406138760789493,0.4662198823219416,104,0.32941413445221274,2.887519901652544,0.4116373888572081,105,0.2575805072464411,3.742419492753559,0.31709235548064635
2000,42,419,2.4947872391442973,0.9745706998618674,1.0,4.0,3.0,0.8604704639018744,4,0.9474940334128878,0.002386634844868735,0.7715573559780979,0.8873386402488511,104,0.4169557280860981,1.416955728086098,0.42327339545166787,106,0.36268953699983664,1.9446600270830823,0.4819316149043001,104,0.26628583106209425,2.8785844412366544,0.352497125084786,105,0.26242178360869056,3.7375782163913094,0.32940213357673565
2000,43,419,2.514320141704551,0.9607849917196376,1.0,4.0,3.0,0.840308281884562,4,0.964200477326969,0.002386634844868735,0.7571166134244679,0.8692201364426807,104,0.4455962601968606,1.4455962601968606,0.41527983761228443,106,0.34931577911131007,1.9897145747237721,0.46601743102061255,104,0.2950763440030657,2.865362125083728,0.3864203703088703,105,0.24523121538756393,3.7547687846124367,0.2753016333284004
2000,44,419,2.503332231942247,0.9731177274310736,1.0,4.0,3.0,0.8594719221553975,4,0.9570405727923628,0.0,0.7658916750838038,0.8871362668989835,104,0.3961414082222471,1.396141408222247,0.37896153173353436,106,0.3395935017011205,1.9688145890090207,0.44855381093204233,104,0.28128022703863925,2.909362583942211,0.3823558409412627,105,0.2625767279643647,3.737423272035635,0.3158344181329697
2000,45,419,2.510364123999172,0.970867578476858,1.0,4.0,3.0,0.8520555601026256,4,0.9570405727923628,0.00477326968973747,0.7488755344553271,0.8754455917433784,104,0.4156449048343616,1.4156449048343616,0.3902357727094542,106,0.3346256027530826,1.9909043564950484,0.42292866926751405,104,0.33047492422109465,2.8959593798574597,0.459659483787327,105,0.262858470864491,3.737141529135509,0.3301855440528621
2000,46,419,2.4887255869386755,0.9920972334304108,1.0,4.0,3.0,0.8777931484416417,4,0.9570405727923628,0.0,0.7516623884350654,0.8840861770230197,104,0.38021960882812156,1.3802196088281218,0.4221650654651573,106,0.35552991049724797,1.9127703690212665,0.45059010030573066,104,0.301114169431498,2.9198245935176774,0.3863702365343527,105,0.25887843078964007,3.74112156921036,0.3062090288908038
5000,42,419,2.507175728848361,0.9834595705374147,1.0,4.0,3.0,0.8710008212805106,4,0.9689737470167065,0.0,0.8000149225164553,0.9009690380524699,104,0.37958028850200437,1.3795802885020043,0.39130835680994003,106,0.31395478251610154,1.965446349060717,0.4254965383391663,104,0.23550254659816947,2.8903965297378416,0.31757475725670725,105,0.20865020676110985,3.79134979323889,0.27393499318378345
