artifact_id,source_phase,source_path,source_sha256,analysis_family,task,metric,statistical_unit,sample_size,test,correction,effect_size,bootstrap_iterations,paper_role,destination,included,exclusion_reason,frozen_status
STAT-003,07,E:\hdc-vr-pilot\experiments\phase_07_unimodal_contribution\results\summaries\phase07_bootstrap_confidence_intervals.csv,b9c3e712339121cca3c6b1aa5507a1e4efd07b941456602a5eb945d9e38a6828,confidence_intervals,dual_or_documented,multiple_registered_metrics,subject_id,35,DESCRIPTIVE_OR_DOCUMENTED,as_documented_in_source,NOT_APPLICABLE_OR_DOCUMENTED,2000,FINAL_STATISTICAL_EVIDENCE_INDEX_ONLY,final_statistics_bundle/confidence_intervals,True,,FROZEN_READ_ONLY_VERIFIED
STAT-008,08,E:\hdc-vr-pilot\experiments\phase_08_fusion_and_shortcut_analysis\results\summaries\phase08_bootstrap_confidence_intervals.csv,345cfe7351dac7ce596d897b990569947c4b1f698ac25b3fea984785b0e7ac5f,confidence_intervals,dual_or_documented,multiple_registered_metrics,subject_id,35,DESCRIPTIVE_OR_DOCUMENTED,as_documented_in_source,NOT_APPLICABLE_OR_DOCUMENTED,2000,FINAL_STATISTICAL_EVIDENCE_INDEX_ONLY,final_statistics_bundle/confidence_intervals,True,,FROZEN_READ_ONLY_VERIFIED
STAT-014,09,E:\hdc-vr-pilot\experiments\phase_09_robustness_and_generalization\results\summaries\phase09_bootstrap_confidence_intervals.csv,5271631b8cf83f9bf17dec31025dc4daa7618ef37be679b410280ae3349549e5,confidence_intervals,dual_or_documented,multiple_registered_metrics,subject_id,35,DESCRIPTIVE_OR_DOCUMENTED,as_documented_in_source,NOT_APPLICABLE_OR_DOCUMENTED,2000,FINAL_STATISTICAL_EVIDENCE_INDEX_ONLY,final_statistics_bundle/confidence_intervals,True,,FROZEN_READ_ONLY_VERIFIED
