model_key,model,task,condition,primary_metric,metric_direction,full_primary_absolute_metric,condition_absolute_metric,absolute_difference_condition_minus_reference,mean_subject_degradation,median_subject_degradation,relative_degradation_percent,degradation_ci_low_95,degradation_ci_high_95,condition_subject_mean,condition_subject_ci_low_95,condition_subject_ci_high_95,subjects,performance_direction,seed_stability_sd_change,p_value_raw,p_value_holm,holm_significant_0_05,rank_biserial_effect_size,supported_claim,subject_generalization_claim,generalizable_behavior_claim,unseen_scenario_generalization
hdc_classification,HDC,classification,MISSING_FLIGHT_PARAMETER,macro_f1,higher_is_better,0.8710573880254382,0.40267478563370734,-0.46838260239173085,0.5180918288061145,0.5630952380952381,60.127790135541574,0.44479632272489417,0.5932772673754816,0.34355937713080564,0.28471250574822,0.4061689808207664,35,DECREASE,-0.014422762271552057,5.820766091346741e-11,2.9103830456733704e-10,True,1.0,MODEL_DEPENDENCE_ON_FLIGHT_FEATURES,SUBJECT_GENERALIZATION_OF_FLIGHT_DEPENDENCE,INCONCLUSIVE_DUE_TO_METADATA,NOT_FEASIBLE_DUE_TO_METADATA
traditional_classification,Traditional,classification,MISSING_FLIGHT_PARAMETER,macro_f1,higher_is_better,0.9356075023489925,0.47215252531272556,-0.4634549770362669,0.5102618413332699,0.49722222222222223,54.59464354411888,0.45437438256188256,0.5664631281416994,0.42437534687534684,0.37129939604046747,0.48017775874918733,35,DECREASE,,5.820766091346741e-11,2.9103830456733704e-10,True,1.0,MODEL_DEPENDENCE_ON_FLIGHT_FEATURES,SUBJECT_GENERALIZATION_OF_FLIGHT_DEPENDENCE,INCONCLUSIVE_DUE_TO_METADATA,NOT_FEASIBLE_DUE_TO_METADATA
hdc_regression,HDC,regression,MISSING_FLIGHT_PARAMETER,bounded_mae,lower_is_better,0.2657274084669525,0.855968007451074,0.5902405989841215,0.5906271611173007,0.5307960267842423,222.25598083834223,0.5041417015172124,0.6802599241396293,0.8563690137727272,0.7734768880159525,0.9397657958629654,35,DECREASE,0.009467803595685564,5.820766091346741e-11,2.9103830456733704e-10,True,1.0,MODEL_DEPENDENCE_ON_FLIGHT_FEATURES,SUBJECT_GENERALIZATION_OF_FLIGHT_DEPENDENCE,INCONCLUSIVE_DUE_TO_METADATA,NOT_FEASIBLE_DUE_TO_METADATA
traditional_regression,Traditional,regression,MISSING_FLIGHT_PARAMETER,bounded_mae,lower_is_better,0.10748622346925181,0.8257605313497127,0.7182743078804609,0.718437785797222,0.7043493293131097,668.6837679145716,0.6586809523655882,0.780099508291458,0.8258783758444154,0.7608115107905643,0.8884981550631073,35,DECREASE,,5.820766091346741e-11,2.9103830456733704e-10,True,1.0,MODEL_DEPENDENCE_ON_FLIGHT_FEATURES,SUBJECT_GENERALIZATION_OF_FLIGHT_DEPENDENCE,INCONCLUSIVE_DUE_TO_METADATA,NOT_FEASIBLE_DUE_TO_METADATA
