model_key,model,task,primary_metric,metric_direction,subjects,mean,median,sd_sample,q1,q3,iqr,minimum,maximum,coefficient_of_variation,bootstrap_mean_ci_low_95,bootstrap_mean_ci_high_95,best_subject,worst_subject,worst_subject_diagnostic_only
hdc_classification,HDC,classification,macro_f1,higher_is_better,35,0.8457498453927025,0.9142857142857143,0.18138315488488108,0.7476190476190476,1.0,0.2523809523809524,0.3125,1.0,0.21446430746985287,0.7841478432282005,0.9045436379097094,sub-cp003,sub-cp039,True
hdc_regression,HDC,regression,bounded_mae,lower_is_better,35,0.2511819010870129,0.20151633766666668,0.15925874736599696,0.1572788358333333,0.2853424299999999,0.12806359416666663,0.06182613,0.7587489066666667,0.6340375109702969,0.2036442163108225,0.3066453998919696,sub-cp025,sub-cp039,True
traditional_classification,Traditional,classification,macro_f1,higher_is_better,35,0.956139455782313,1.0,0.08126622556672843,0.9142857142857143,1.0,0.08571428571428574,0.6553571428571429,1.0,0.08499411364656678,0.9290977891156462,0.9805442176870748,sub-cp003,sub-cp039,True
traditional_regression,Traditional,regression,bounded_mae,lower_is_better,35,0.10529154876997578,0.04931414499985167,0.11729629817547053,0.03418998687769072,0.1406393105129417,0.10644932363525099,0.008399747542384373,0.5530836921122595,1.1140143681590327,0.07059801430449673,0.1476509182079698,sub-cp016,sub-cp039,True
