model_key,model,task,condition,subject_id,reference_primary_metric,condition_primary_metric,degradation_positive_is_worse
hdc_classification,HDC,classification,MISSING_EYE_TRACKING,sub-cp017,0.8125,1.0,-0.1875
hdc_classification,HDC,classification,MISSING_EYE_TRACKING,sub-cp018,1.0,1.0,0.0
hdc_classification,HDC,classification,MISSING_EYE_TRACKING,sub-cp019,1.0,0.9142857142857143,0.08571428571428574
hdc_classification,HDC,classification,MISSING_EYE_TRACKING,sub-cp020,0.8125,0.9142857142857143,-0.10178571428571426
hdc_classification,HDC,classification,MISSING_EYE_TRACKING,sub-cp022,0.8333333333333333,0.9142857142857143,-0.080952380952381
hdc_classification,HDC,classification,MISSING_EYE_TRACKING,sub-cp023,0.9142857142857144,0.9142857142857144,0.0
hdc_classification,HDC,classification,MISSING_EYE_TRACKING,sub-cp024,0.830952380952381,0.7321428571428571,0.0988095238095239
hdc_classification,HDC,classification,MISSING_EYE_TRACKING,sub-cp025,0.9142857142857143,0.9142857142857143,0.0
hdc_classification,HDC,classification,MISSING_EYE_TRACKING,sub-cp026,1.0,0.9142857142857143,0.08571428571428574
hdc_classification,HDC,classification,MISSING_EYE_TRACKING,sub-cp027,0.9142857142857144,1.0,-0.08571428571428563
hdc_classification,HDC,classification,MISSING_EYE_TRACKING,sub-cp028,0.9142857142857143,0.9142857142857143,0.0
hdc_classification,HDC,classification,MISSING_EYE_TRACKING,sub-cp029,1.0,1.0,0.0
hdc_classification,HDC,classification,MISSING_EYE_TRACKING,sub-cp030,0.9142857142857143,0.7166666666666667,0.19761904761904758
hdc_classification,HDC,classification,MISSING_EYE_TRACKING,sub-cp031,0.9142857142857143,0.9142857142857143,0.0
hdc_classification,HDC,classification,MISSING_EYE_TRACKING,sub-cp032,0.9142857142857144,0.9142857142857144,0.0
hdc_classification,HDC,classification,MISSING_EYE_TRACKING,sub-cp033,0.7309523809523809,0.6666666666666666,0.06428571428571428
hdc_classification,HDC,classification,MISSING_EYE_TRACKING,sub-cp035,0.9142857142857143,0.9142857142857143,0.0
hdc_classification,HDC,classification,MISSING_EYE_TRACKING,sub-cp036,0.5113636363636364,0.47916666666666663,0.032196969696969724
hdc_classification,HDC,classification,MISSING_EYE_TRACKING,sub-cp037,1.0,1.0,0.0
hdc_classification,HDC,classification,MISSING_EYE_TRACKING,sub-cp038,0.4666666666666667,0.4666666666666667,0.0
hdc_classification,HDC,classification,MISSING_EYE_TRACKING,sub-cp039,0.325,0.2403846153846154,0.08461538461538462
hdc_classification,HDC,classification,MISSING_EYE_TRACKING,sub-cp042,0.9142857142857143,0.9142857142857143,0.0
hdc_classification,HDC,classification,MISSING_EYE_TRACKING,sub-cp043,0.9142857142857143,1.0,-0.08571428571428574
hdc_classification,HDC,classification,MISSING_HEAD_MOVEMENT,sub-cp003,1.0,1.0,0.0
hdc_classification,HDC,classification,MISSING_HEAD_MOVEMENT,sub-cp004,1.0,1.0,0.0
hdc_classification,HDC,classification,MISSING_HEAD_MOVEMENT,sub-cp005,0.7476190476190476,0.7476190476190476,0.0
hdc_classification,HDC,classification,MISSING_HEAD_MOVEMENT,sub-cp006,1.0,1.0,0.0
