condition,model_key,model,task,subject_id,test_rows,target_coverage,primary_metric,primary_metric_direction,primary_metric_value,classification_macro_f1,balanced_accuracy,accuracy,severe_error_rate,bounded_mae,bounded_rmse
LOSO,hdc_classification,HDC,classification,sub-cp031,12,"{""0.0"":2,""1.0"":4,""2.0"":3,""3.0"":3}",macro_f1,higher_is_better,0.9142857142857143,0.9142857142857143,0.9375,0.9166666666666666,0.0,,
LOSO,hdc_classification,HDC,classification,sub-cp032,12,"{""0.0"":3,""1.0"":3,""2.0"":3,""3.0"":3}",macro_f1,higher_is_better,1.0,1.0,1.0,1.0,0.0,,
LOSO,hdc_classification,HDC,classification,sub-cp033,12,"{""0.0"":3,""1.0"":3,""2.0"":3,""3.0"":3}",macro_f1,higher_is_better,0.6071428571428571,0.6071428571428571,0.6666666666666666,0.6666666666666666,0.0,,
LOSO,hdc_classification,HDC,classification,sub-cp035,12,"{""0.0"":3,""1.0"":3,""2.0"":3,""3.0"":3}",macro_f1,higher_is_better,0.9142857142857143,0.9142857142857143,0.9166666666666666,0.9166666666666666,0.0,,
LOSO,hdc_classification,HDC,classification,sub-cp036,12,"{""0.0"":3,""1.0"":3,""2.0"":3,""3.0"":3}",macro_f1,higher_is_better,0.5113636363636364,0.5113636363636364,0.5833333333333333,0.5833333333333334,0.16666666666666666,,
LOSO,hdc_classification,HDC,classification,sub-cp037,12,"{""0.0"":3,""1.0"":3,""2.0"":3,""3.0"":3}",macro_f1,higher_is_better,1.0,1.0,1.0,1.0,0.0,,
LOSO,hdc_classification,HDC,classification,sub-cp038,12,"{""0.0"":3,""1.0"":3,""2.0"":3,""3.0"":3}",macro_f1,higher_is_better,0.5333333333333333,0.5333333333333333,0.5833333333333333,0.5833333333333334,0.0,,
LOSO,hdc_classification,HDC,classification,sub-cp039,12,"{""0.0"":3,""1.0"":3,""2.0"":3,""3.0"":3}",macro_f1,higher_is_better,0.3125,0.3125,0.41666666666666663,0.4166666666666667,0.16666666666666666,,
LOSO,hdc_classification,HDC,classification,sub-cp042,12,"{""0.0"":3,""1.0"":3,""2.0"":3,""3.0"":3}",macro_f1,higher_is_better,0.9142857142857143,0.9142857142857143,0.9166666666666666,0.9166666666666666,0.0,,
LOSO,hdc_classification,HDC,classification,sub-cp043,12,"{""0.0"":3,""1.0"":3,""2.0"":3,""3.0"":3}",macro_f1,higher_is_better,0.8125,0.8125,0.8333333333333333,0.8333333333333334,0.0,,
LOSO,hdc_regression,HDC,regression,sub-cp003,12,"{""1.0"":3,""2.0"":3,""3.0"":3,""4.0"":3}",bounded_mae,lower_is_better,0.07121414899999999,,,,0.0,0.07121414899999999,0.1045552912856777
LOSO,hdc_regression,HDC,regression,sub-cp004,12,"{""1.0"":3,""2.0"":3,""3.0"":3,""4.0"":3}",bounded_mae,lower_is_better,0.1226815549999999,,,,0.0,0.1226815549999999,0.20292172576654116
LOSO,hdc_regression,HDC,regression,sub-cp005,12,"{""1.0"":3,""2.0"":3,""3.0"":3,""4.0"":3}",bounded_mae,lower_is_better,0.2669121466666667,,,,0.0,0.2669121466666667,0.3415588803584092
LOSO,hdc_regression,HDC,regression,sub-cp006,12,"{""1.0"":3,""2.0"":3,""3.0"":3,""4.0"":3}",bounded_mae,lower_is_better,0.15781189666666662,,,,0.0,0.15781189666666662,0.20405271581108345
LOSO,hdc_regression,HDC,regression,sub-cp008,12,"{""1.0"":3,""2.0"":3,""3.0"":3,""4.0"":3}",bounded_mae,lower_is_better,0.18991970600000005,,,,0.0,0.18991970600000005,0.2600674677912001
LOSO,hdc_regression,HDC,regression,sub-cp009,12,"{""1.0"":3,""2.0"":3,""3.0"":3,""4.0"":3}",bounded_mae,lower_is_better,0.34928906833333323,,,,0.0,0.34928906833333323,0.40285456674329617
LOSO,hdc_regression,HDC,regression,sub-cp011,12,"{""1.0"":3,""2.0"":3,""3.0"":3,""4.0"":3}",bounded_mae,lower_is_better,0.2821297866666666,,,,0.0,0.2821297866666666,0.31643562869961156
LOSO,hdc_regression,HDC,regression,sub-cp012,12,"{""1.0"":3,""2.0"":3,""3.0"":3,""4.0"":3}",bounded_mae,lower_is_better,0.16188156333333328,,,,0.0,0.16188156333333328,0.22476413221007346
LOSO,hdc_regression,HDC,regression,sub-cp013,12,"{""1.0"":3,""2.0"":3,""3.0"":3,""4.0"":3}",bounded_mae,lower_is_better,0.7132898183333333,,,,0.16666666666666666,0.7132898183333333,0.8655613281245307
LOSO,hdc_regression,HDC,regression,sub-cp014,12,"{""1.0"":3,""2.0"":3,""3.0"":3,""4.0"":3}",bounded_mae,lower_is_better,0.2653549,,,,0.0,0.2653549,0.3049379433105346
LOSO,hdc_regression,HDC,regression,sub-cp015,12,"{""1.0"":3,""2.0"":3,""3.0"":3,""4.0"":3}",bounded_mae,lower_is_better,0.23317654599999993,,,,0.0,0.23317654599999993,0.3449189970128978
LOSO,hdc_regression,HDC,regression,sub-cp016,12,"{""1.0"":3,""2.0"":3,""3.0"":3,""4.0"":3}",bounded_mae,lower_is_better,0.19062707999999998,,,,0.0,0.19062707999999998,0.24950305466543807
LOSO,hdc_regression,HDC,regression,sub-cp017,12,"{""1.0"":3,""2.0"":3,""3.0"":3,""4.0"":3}",bounded_mae,lower_is_better,0.09858515849999998,,,,0.0,0.09858515849999998,0.1489918531662803
LOSO,hdc_regression,HDC,regression,sub-cp018,12,"{""1.0"":3,""2.0"":3,""3.0"":3,""4.0"":3}",bounded_mae,lower_is_better,0.10260203499999994,,,,0.0,0.10260203499999994,0.13716036078833055
LOSO,hdc_regression,HDC,regression,sub-cp019,12,"{""1.0"":3,""2.0"":3,""3.0"":3,""4.0"":3}",bounded_mae,lower_is_better,0.20985814,,,,0.0,0.20985814,0.26343769487277596
LOSO,hdc_regression,HDC,regression,sub-cp020,12,"{""1.0"":3,""2.0"":3,""3.0"":3,""4.0"":3}",bounded_mae,lower_is_better,0.20151633766666668,,,,0.0,0.20151633766666668,0.23781047316306225
LOSO,hdc_regression,HDC,regression,sub-cp022,12,"{""1.0"":3,""2.0"":3,""3.0"":3,""4.0"":3}",bounded_mae,lower_is_better,0.300914265,,,,0.0,0.300914265,0.3937499332374504
LOSO,hdc_regression,HDC,regression,sub-cp023,12,"{""1.0"":3,""2.0"":3,""3.0"":3,""4.0"":3}",bounded_mae,lower_is_better,0.33134291666666654,,,,0.08333333333333333,0.33134291666666654,0.5593480869790685
LOSO,hdc_regression,HDC,regression,sub-cp024,12,"{""1.0"":3,""2.0"":3,""3.0"":3,""4.0"":3}",bounded_mae,lower_is_better,0.24528395866666663,,,,0.0,0.24528395866666663,0.3784629038417516
LOSO,hdc_regression,HDC,regression,sub-cp025,12,"{""1.0"":3,""2.0"":3,""3.0"":3,""4.0"":3}",bounded_mae,lower_is_better,0.06182613,,,,0.0,0.06182613,0.09041105581608555
LOSO,hdc_regression,HDC,regression,sub-cp026,12,"{""1.0"":3,""2.0"":3,""3.0"":3,""4.0"":3}",bounded_mae,lower_is_better,0.13887858500000003,,,,0.0,0.13887858500000003,0.15920092083495535
LOSO,hdc_regression,HDC,regression,sub-cp027,12,"{""1.0"":3,""2.0"":3,""3.0"":3,""4.0"":3}",bounded_mae,lower_is_better,0.156745775,,,,0.0,0.156745775,0.23439539117658814
LOSO,hdc_regression,HDC,regression,sub-cp028,12,"{""1.0"":3,""2.0"":3,""3.0"":3,""4.0"":3}",bounded_mae,lower_is_better,0.19151480166666665,,,,0.0,0.19151480166666665,0.25880312596809185
LOSO,hdc_regression,HDC,regression,sub-cp029,12,"{""1.0"":3,""2.0"":3,""3.0"":3,""4.0"":3}",bounded_mae,lower_is_better,0.13169856766666663,,,,0.0,0.13169856766666663,0.19757440645404875
LOSO,hdc_regression,HDC,regression,sub-cp030,11,"{""1.0"":3,""2.0"":3,""3.0"":2,""4.0"":3}",bounded_mae,lower_is_better,0.2327810745454544,,,,0.0,0.2327810745454544,0.3095703035116859
LOSO,hdc_regression,HDC,regression,sub-cp031,12,"{""1.0"":2,""2.0"":4,""3.0"":3,""4.0"":3}",bounded_mae,lower_is_better,0.17962182666666662,,,,0.0,0.17962182666666662,0.2875210073350433
LOSO,hdc_regression,HDC,regression,sub-cp032,12,"{""1.0"":3,""2.0"":3,""3.0"":3,""4.0"":3}",bounded_mae,lower_is_better,0.2885550733333333,,,,0.0,0.2885550733333333,0.3887208503467848
LOSO,hdc_regression,HDC,regression,sub-cp033,12,"{""1.0"":3,""2.0"":3,""3.0"":3,""4.0"":3}",bounded_mae,lower_is_better,0.49805288166666656,,,,0.0,0.49805288166666656,0.5982856281549344
LOSO,hdc_regression,HDC,regression,sub-cp035,12,"{""1.0"":3,""2.0"":3,""3.0"":3,""4.0"":3}",bounded_mae,lower_is_better,0.18345961000000002,,,,0.0,0.18345961000000002,0.28540476426337746
LOSO,hdc_regression,HDC,regression,sub-cp036,12,"{""1.0"":3,""2.0"":3,""3.0"":3,""4.0"":3}",bounded_mae,lower_is_better,0.4222885383333333,,,,0.0,0.4222885383333333,0.4456029199076592
LOSO,hdc_regression,HDC,regression,sub-cp037,12,"{""1.0"":3,""2.0"":3,""3.0"":3,""4.0"":3}",bounded_mae,lower_is_better,0.12870879833333337,,,,0.0,0.12870879833333337,0.17142718839233226
LOSO,hdc_regression,HDC,regression,sub-cp038,12,"{""1.0"":3,""2.0"":3,""3.0"":3,""4.0"":3}",bounded_mae,lower_is_better,0.47866446,,,,0.0,0.47866446,0.5380038151072117
LOSO,hdc_regression,HDC,regression,sub-cp039,12,"{""1.0"":3,""2.0"":3,""3.0"":3,""4.0"":3}",bounded_mae,lower_is_better,0.7587489066666667,,,,0.16666666666666666,0.7587489066666667,0.9258918545105759
LOSO,hdc_regression,HDC,regression,sub-cp042,12,"{""1.0"":3,""2.0"":3,""3.0"":3,""4.0"":3}",bounded_mae,lower_is_better,0.1834008266666666,,,,0.0,0.1834008266666666,0.25599412800848287
LOSO,hdc_regression,HDC,regression,sub-cp043,12,"{""1.0"":3,""2.0"":3,""3.0"":3,""4.0"":3}",bounded_mae,lower_is_better,0.26202965500000003,,,,0.0,0.26202965500000003,0.29356801582643327
LOSO,traditional_classification,Traditional,classification,sub-cp003,12,"{""0.0"":3,""1.0"":3,""2.0"":3,""3.0"":3}",macro_f1,higher_is_better,1.0,1.0,1.0,1.0,0.0,,
LOSO,traditional_classification,Traditional,classification,sub-cp004,12,"{""0.0"":3,""1.0"":3,""2.0"":3,""3.0"":3}",macro_f1,higher_is_better,1.0,1.0,1.0,1.0,0.0,,
LOSO,traditional_classification,Traditional,classification,sub-cp005,12,"{""0.0"":3,""1.0"":3,""2.0"":3,""3.0"":3}",macro_f1,higher_is_better,0.9142857142857143,0.9142857142857143,0.9166666666666666,0.9166666666666666,0.0,,
LOSO,traditional_classification,Traditional,classification,sub-cp006,12,"{""0.0"":3,""1.0"":3,""2.0"":3,""3.0"":3}",macro_f1,higher_is_better,1.0,1.0,1.0,1.0,0.0,,
LOSO,traditional_classification,Traditional,classification,sub-cp008,12,"{""0.0"":3,""1.0"":3,""2.0"":3,""3.0"":3}",macro_f1,higher_is_better,1.0,1.0,1.0,1.0,0.0,,
LOSO,traditional_classification,Traditional,classification,sub-cp009,12,"{""0.0"":3,""1.0"":3,""2.0"":3,""3.0"":3}",macro_f1,higher_is_better,1.0,1.0,1.0,1.0,0.0,,
LOSO,traditional_classification,Traditional,classification,sub-cp011,12,"{""0.0"":3,""1.0"":3,""2.0"":3,""3.0"":3}",macro_f1,higher_is_better,1.0,1.0,1.0,1.0,0.0,,
LOSO,traditional_classification,Traditional,classification,sub-cp012,12,"{""0.0"":3,""1.0"":3,""2.0"":3,""3.0"":3}",macro_f1,higher_is_better,1.0,1.0,1.0,1.0,0.0,,
LOSO,traditional_classification,Traditional,classification,sub-cp013,12,"{""0.0"":3,""1.0"":3,""2.0"":3,""3.0"":3}",macro_f1,higher_is_better,0.9142857142857143,0.9142857142857143,0.9166666666666666,0.9166666666666666,0.0,,
LOSO,traditional_classification,Traditional,classification,sub-cp014,12,"{""0.0"":3,""1.0"":3,""2.0"":3,""3.0"":3}",macro_f1,higher_is_better,1.0,1.0,1.0,1.0,0.0,,
LOSO,traditional_classification,Traditional,classification,sub-cp015,12,"{""0.0"":3,""1.0"":3,""2.0"":3,""3.0"":3}",macro_f1,higher_is_better,1.0,1.0,1.0,1.0,0.0,,
LOSO,traditional_classification,Traditional,classification,sub-cp016,12,"{""0.0"":3,""1.0"":3,""2.0"":3,""3.0"":3}",macro_f1,higher_is_better,1.0,1.0,1.0,1.0,0.0,,
LOSO,traditional_classification,Traditional,classification,sub-cp017,12,"{""0.0"":3,""1.0"":3,""2.0"":3,""3.0"":3}",macro_f1,higher_is_better,1.0,1.0,1.0,1.0,0.0,,
