model_key,model,task,subject_id,seed_count,seed_mean,seed_sd_sample,seed_min,seed_max,seed_range,seed_instability_flag_top_quartile
hdc_classification,HDC,classification,sub-cp003,5,1.0,0.0,1.0,1.0,0.0,False
hdc_classification,HDC,classification,sub-cp004,5,0.9140476190476191,0.10546436567060863,0.7416666666666667,1.0,0.2583333333333333,False
hdc_classification,HDC,classification,sub-cp005,5,0.7255952380952382,0.06969117168214954,0.6488095238095238,0.8285714285714286,0.1797619047619048,False
hdc_classification,HDC,classification,sub-cp006,5,0.8990476190476191,0.1367918789277696,0.6666666666666666,1.0,0.33333333333333337,True
hdc_classification,HDC,classification,sub-cp008,5,0.9657142857142856,0.046947647786157114,0.9142857142857143,1.0,0.08571428571428574,False
hdc_classification,HDC,classification,sub-cp009,5,0.6553571428571429,0.13748067272947737,0.4809523809523809,0.8375,0.3565476190476191,True
hdc_classification,HDC,classification,sub-cp011,5,0.7327380952380953,0.17495241497524103,0.5208333333333333,0.9142857142857143,0.393452380952381,True
hdc_classification,HDC,classification,sub-cp012,5,0.8980952380952381,0.0705782722727526,0.830952380952381,1.0,0.169047619047619,False
hdc_classification,HDC,classification,sub-cp013,5,0.5173809523809524,0.03581681710810026,0.49702380952380953,0.580952380952381,0.08392857142857146,False
hdc_classification,HDC,classification,sub-cp014,5,1.0,0.0,1.0,1.0,0.0,False
hdc_classification,HDC,classification,sub-cp015,5,0.8208333333333334,0.03726779962499652,0.7541666666666667,0.8375,0.08333333333333337,False
hdc_classification,HDC,classification,sub-cp016,5,0.9675,0.07267220926874315,0.8375,1.0,0.16249999999999998,False
hdc_classification,HDC,classification,sub-cp017,5,0.8665476190476191,0.12566179685253837,0.6666666666666666,1.0,0.33333333333333337,True
hdc_classification,HDC,classification,sub-cp018,5,0.9282142857142857,0.07759539882214246,0.8125,1.0,0.1875,False
hdc_classification,HDC,classification,sub-cp019,5,0.9332142857142858,0.06855375516292869,0.8375,1.0,0.16249999999999998,False
hdc_classification,HDC,classification,sub-cp020,5,0.8125,0.0,0.8125,0.8125,0.0,False
hdc_classification,HDC,classification,sub-cp022,5,0.7073809523809524,0.13434037219282607,0.5642857142857143,0.830952380952381,0.2666666666666667,True
hdc_classification,HDC,classification,sub-cp023,5,0.8272619047619048,0.06564426480000969,0.7291666666666666,0.9142857142857144,0.18511904761904774,False
hdc_classification,HDC,classification,sub-cp024,5,0.7011904761904761,0.08471118566827089,0.625,0.8309523809523809,0.2059523809523809,False
hdc_classification,HDC,classification,sub-cp025,5,0.8835714285714287,0.042057267808432386,0.8375,0.9142857142857144,0.07678571428571435,False
hdc_classification,HDC,classification,sub-cp026,5,0.9282142857142859,0.07759539882214246,0.8125,1.0,0.1875,False
hdc_classification,HDC,classification,sub-cp027,5,0.9282142857142859,0.07759539882214245,0.8125,1.0,0.1875,False
hdc_classification,HDC,classification,sub-cp028,5,0.8509523809523808,0.06519637178113546,0.7595238095238095,0.9142857142857143,0.15476190476190477,False
hdc_classification,HDC,classification,sub-cp029,5,1.0,0.0,1.0,1.0,0.0,False
hdc_classification,HDC,classification,sub-cp030,5,0.8652380952380951,0.05378034659866099,0.8041666666666667,0.9142857142857143,0.11011904761904756,False
hdc_classification,HDC,classification,sub-cp031,5,0.9142857142857143,0.0,0.9142857142857143,0.9142857142857143,0.0,False
hdc_classification,HDC,classification,sub-cp032,5,0.819047619047619,0.12194466074185745,0.6166666666666667,0.9142857142857143,0.29761904761904756,True
hdc_classification,HDC,classification,sub-cp033,5,0.5492857142857142,0.06553893097940262,0.4392857142857143,0.6071428571428571,0.16785714285714282,False
hdc_classification,HDC,classification,sub-cp035,5,0.8186904761904762,0.09125661998786706,0.6666666666666666,0.9142857142857143,0.24761904761904763,False
hdc_classification,HDC,classification,sub-cp036,5,0.5209632034632035,0.1247303856627884,0.3375,0.6666666666666666,0.3291666666666666,True
hdc_classification,HDC,classification,sub-cp037,5,1.0,0.0,1.0,1.0,0.0,False
hdc_classification,HDC,classification,sub-cp038,5,0.49749999999999994,0.10959204654839995,0.35,0.6541666666666666,0.3041666666666666,True
hdc_classification,HDC,classification,sub-cp039,5,0.3354473304473304,0.07684289485030812,0.20833333333333331,0.41666666666666663,0.20833333333333331,False
hdc_classification,HDC,classification,sub-cp042,5,0.8717857142857144,0.106922392225313,0.7267857142857143,1.0,0.27321428571428574,False
hdc_classification,HDC,classification,sub-cp043,5,0.7591666666666667,0.15041491179936245,0.5833333333333333,0.9142857142857144,0.3309523809523811,True
hdc_regression,HDC,regression,sub-cp003,5,0.08757815833333331,0.0114144852699885,0.07796179166666667,0.1073802333333333,0.029418441666666628,False
hdc_regression,HDC,regression,sub-cp004,5,0.133594335,0.016394914371461344,0.10749513333333331,0.15059505833333342,0.04309992500000011,False
hdc_regression,HDC,regression,sub-cp005,5,0.2752398983333334,0.02052403245819685,0.2613061583333333,0.31053295833333333,0.049226800000000015,False
hdc_regression,HDC,regression,sub-cp006,5,0.17972412833333332,0.03589161857945641,0.13509790000000002,0.21745354166666667,0.08235564166666665,True
hdc_regression,HDC,regression,sub-cp008,5,0.20166035666666665,0.03067586330863938,0.1702795083333333,0.247462775,0.0771832666666667,False
hdc_regression,HDC,regression,sub-cp009,5,0.3592690316666666,0.03240056314736312,0.33391209166666663,0.4033999666666667,0.06948787500000009,False
hdc_regression,HDC,regression,sub-cp011,5,0.29479252999999994,0.04568589671123545,0.24943164166666665,0.36846591666666667,0.11903427500000002,True
hdc_regression,HDC,regression,sub-cp012,5,0.18455712333333335,0.03570898916005654,0.12953905833333332,0.22766608333333335,0.09812702500000003,True
