candidate_id,variant,outer_fold,training_seconds,inference_seconds,model_bytes
candidate_001,onlinehd,4,0.045935000001918525,0.0013259000261314213,32000
candidate_002,onlinehd,4,0.04790329997194931,0.0012342000263743103,32000
candidate_003,onlinehd,4,0.04592820000834763,0.0012415999954100698,32000
candidate_004,onlinehd,4,0.04803850001189858,0.0012430999777279794,32000
candidate_005,onlinehd,4,0.13677329994970933,0.0012944000191055238,32000
candidate_006,onlinehd,4,0.14149880001787096,0.0012655999744310975,32000
candidate_007,onlinehd,4,0.13389079997432418,0.0012321000103838742,32000
candidate_008,onlinehd,4,0.1422784999886062,0.0012729000009130687,32000
candidate_009,onlinehd,4,0.22623900001053698,0.0013621999823953956,32000
candidate_010,onlinehd,4,0.24218419997487217,0.001326500001596287,32000
candidate_011,onlinehd,4,0.22242370003368706,0.0012373000208754092,32000
candidate_012,onlinehd,4,0.23722190002445132,0.0012670999858528376,32000
candidate_013,onlinehd,4,0.05503400001907721,0.005709099961677566,80000
candidate_014,onlinehd,4,0.057572900026571006,0.005867800005944446,80000
candidate_015,onlinehd,4,0.05916610002168454,0.0073911999934352934,80000
candidate_016,onlinehd,4,0.05801219999557361,0.00601979999919422,80000
candidate_017,onlinehd,4,0.15881819996866398,0.00679019998642616,80000
candidate_018,onlinehd,4,0.1659706000064034,0.006359199993312359,80000
candidate_019,onlinehd,4,0.15863260001060553,0.006081900006392971,80000
candidate_020,onlinehd,4,0.16514410002855584,0.005645500001264736,80000
candidate_021,onlinehd,4,0.26661000002059154,0.006137600023066625,80000
candidate_022,onlinehd,4,0.2749405999784358,0.0068823999899905175,80000
candidate_023,onlinehd,4,0.26124270001309924,0.005511700001079589,80000
candidate_024,onlinehd,4,0.2807742999866605,0.005590299988398328,80000
