variant,outer_fold,dimension,seed,levels,feature_k,selected_structure_parameters,selected_temperature,model_training_and_inference_seconds,model_bytes,preprocessing_seconds,encoding_seconds,preprocessing_bytes,quantizer_state_sha256,outer_test_feature_access_after_inner_selection,outer_test_label_access_before_prediction
hybrid,1,1000,42,51,50,"{""centroids_per_class"":3,""epochs"":1,""learning_rate"":0.1,""margin_threshold"":0.0}",0.05,0.10370910001802258,48000,0.06023470000945963,0.6357623000221793,63424,672f5c28911f87e338c77dcf87ae6e778eed4fbe75951389679ff4700daf78ce,True,False
hybrid,1,1000,43,51,50,"{""centroids_per_class"":3,""epochs"":1,""learning_rate"":0.1,""margin_threshold"":0.0}",0.05,0.1055499000067357,48000,0.0607253999914974,0.6593558999884408,63424,672f5c28911f87e338c77dcf87ae6e778eed4fbe75951389679ff4700daf78ce,True,False
hybrid,1,1000,44,51,50,"{""centroids_per_class"":3,""epochs"":1,""learning_rate"":0.1,""margin_threshold"":0.0}",0.05,0.12112550000892952,48000,0.06426909999572672,0.6719779999984894,63424,672f5c28911f87e338c77dcf87ae6e778eed4fbe75951389679ff4700daf78ce,True,False
hybrid,1,1000,45,51,50,"{""centroids_per_class"":3,""epochs"":1,""learning_rate"":0.1,""margin_threshold"":0.0}",0.05,0.10431960001005791,48000,0.06127740000374615,0.6690565999888349,63424,672f5c28911f87e338c77dcf87ae6e778eed4fbe75951389679ff4700daf78ce,True,False
hybrid,1,1000,46,51,50,"{""centroids_per_class"":3,""epochs"":1,""learning_rate"":0.1,""margin_threshold"":0.0}",0.05,0.10626089997822419,48000,0.06051929999375716,0.6330125999811571,63424,672f5c28911f87e338c77dcf87ae6e778eed4fbe75951389679ff4700daf78ce,True,False
hybrid,1,2000,42,51,50,"{""centroids_per_class"":3,""epochs"":1,""learning_rate"":0.1,""margin_threshold"":0.0}",0.05,0.17940350002027117,96000,0.06023470000945963,0.6357623000221793,63424,672f5c28911f87e338c77dcf87ae6e778eed4fbe75951389679ff4700daf78ce,True,False
hybrid,1,2000,43,51,50,"{""centroids_per_class"":3,""epochs"":1,""learning_rate"":0.1,""margin_threshold"":0.0}",0.05,0.18533060001209378,96000,0.0607253999914974,0.6593558999884408,63424,672f5c28911f87e338c77dcf87ae6e778eed4fbe75951389679ff4700daf78ce,True,False
hybrid,1,2000,44,51,50,"{""centroids_per_class"":3,""epochs"":1,""learning_rate"":0.1,""margin_threshold"":0.0}",0.05,0.2177963000140153,96000,0.06426909999572672,0.6719779999984894,63424,672f5c28911f87e338c77dcf87ae6e778eed4fbe75951389679ff4700daf78ce,True,False
hybrid,1,2000,45,51,50,"{""centroids_per_class"":3,""epochs"":1,""learning_rate"":0.1,""margin_threshold"":0.0}",0.05,0.17989070000476204,96000,0.06127740000374615,0.6690565999888349,63424,672f5c28911f87e338c77dcf87ae6e778eed4fbe75951389679ff4700daf78ce,True,False
hybrid,1,2000,46,51,50,"{""centroids_per_class"":3,""epochs"":1,""learning_rate"":0.1,""margin_threshold"":0.0}",0.05,0.17748139999457635,96000,0.06051929999375716,0.6330125999811571,63424,672f5c28911f87e338c77dcf87ae6e778eed4fbe75951389679ff4700daf78ce,True,False
hybrid,1,5000,42,51,50,"{""centroids_per_class"":3,""epochs"":1,""learning_rate"":0.1,""margin_threshold"":0.0}",0.05,0.35284560002037324,240000,0.06023470000945963,0.6357623000221793,63424,672f5c28911f87e338c77dcf87ae6e778eed4fbe75951389679ff4700daf78ce,True,False
hybrid,1,5000,43,51,50,"{""centroids_per_class"":3,""epochs"":1,""learning_rate"":0.1,""margin_threshold"":0.0}",0.05,0.3712567000184208,240000,0.0607253999914974,0.6593558999884408,63424,672f5c28911f87e338c77dcf87ae6e778eed4fbe75951389679ff4700daf78ce,True,False
hybrid,1,5000,44,51,50,"{""centroids_per_class"":3,""epochs"":1,""learning_rate"":0.1,""margin_threshold"":0.0}",0.05,0.4033202000136953,240000,0.06426909999572672,0.6719779999984894,63424,672f5c28911f87e338c77dcf87ae6e778eed4fbe75951389679ff4700daf78ce,True,False
hybrid,1,5000,45,51,50,"{""centroids_per_class"":3,""epochs"":1,""learning_rate"":0.1,""margin_threshold"":0.0}",0.05,0.3503289000072982,240000,0.06127740000374615,0.6690565999888349,63424,672f5c28911f87e338c77dcf87ae6e778eed4fbe75951389679ff4700daf78ce,True,False
hybrid,1,5000,46,51,50,"{""centroids_per_class"":3,""epochs"":1,""learning_rate"":0.1,""margin_threshold"":0.0}",0.05,0.369002499995986,240000,0.06051929999375716,0.6330125999811571,63424,672f5c28911f87e338c77dcf87ae6e778eed4fbe75951389679ff4700daf78ce,True,False
hybrid,1,10000,42,51,50,"{""centroids_per_class"":3,""epochs"":1,""learning_rate"":0.1,""margin_threshold"":0.0}",0.05,0.7115595000213943,480000,0.06023470000945963,0.6357623000221793,63424,672f5c28911f87e338c77dcf87ae6e778eed4fbe75951389679ff4700daf78ce,True,False
hybrid,1,10000,43,51,50,"{""centroids_per_class"":3,""epochs"":1,""learning_rate"":0.1,""margin_threshold"":0.0}",0.05,0.7128040000097826,480000,0.0607253999914974,0.6593558999884408,63424,672f5c28911f87e338c77dcf87ae6e778eed4fbe75951389679ff4700daf78ce,True,False
hybrid,1,10000,44,51,50,"{""centroids_per_class"":3,""epochs"":1,""learning_rate"":0.1,""margin_threshold"":0.0}",0.05,0.7070749000122305,480000,0.06426909999572672,0.6719779999984894,63424,672f5c28911f87e338c77dcf87ae6e778eed4fbe75951389679ff4700daf78ce,True,False
hybrid,1,10000,45,51,50,"{""centroids_per_class"":3,""epochs"":1,""learning_rate"":0.1,""margin_threshold"":0.0}",0.05,0.6639461000158917,480000,0.06127740000374615,0.6690565999888349,63424,672f5c28911f87e338c77dcf87ae6e778eed4fbe75951389679ff4700daf78ce,True,False
hybrid,1,10000,46,51,50,"{""centroids_per_class"":3,""epochs"":1,""learning_rate"":0.1,""margin_threshold"":0.0}",0.05,0.6472251999948639,480000,0.06051929999375716,0.6330125999811571,63424,672f5c28911f87e338c77dcf87ae6e778eed4fbe75951389679ff4700daf78ce,True,False
