candidate_id,variant,outer_fold,training_seconds,inference_seconds,model_bytes
candidate_001,onlinehd,3,0.04605230002198368,0.0012777000083588064,32000
candidate_002,onlinehd,3,0.0480686999799218,0.001143200002843514,32000
candidate_003,onlinehd,3,0.04585540000698529,0.001158400031272322,32000
candidate_004,onlinehd,3,0.04903360002208501,0.001144199981354177,32000
candidate_005,onlinehd,3,0.1347832000174094,0.0011556999816093594,32000
candidate_006,onlinehd,3,0.13977340003475547,0.0011434000043664128,32000
candidate_007,onlinehd,3,0.13438299999688752,0.0011685999925248325,32000
candidate_008,onlinehd,3,0.13976939997519366,0.001149399991845712,32000
candidate_009,onlinehd,3,0.22351529999286868,0.0012186999956611544,32000
candidate_010,onlinehd,3,0.2342886999831535,0.0011913000198546797,32000
candidate_011,onlinehd,3,0.22446349999518134,0.0011485999857541174,32000
candidate_012,onlinehd,3,0.23293480000575073,0.001138899999205023,32000
candidate_013,onlinehd,3,0.0546193000045605,0.005401600006734952,80000
candidate_014,onlinehd,3,0.058262100006686524,0.005458900006487966,80000
candidate_015,onlinehd,3,0.054817199968965724,0.007106000033672899,80000
candidate_016,onlinehd,3,0.05813099999795668,0.006424399995012209,80000
candidate_017,onlinehd,3,0.15810219995910302,0.006193899986101314,80000
candidate_018,onlinehd,3,0.1658259999821894,0.005849500012118369,80000
candidate_019,onlinehd,3,0.15782610001042485,0.005401599977631122,80000
candidate_020,onlinehd,3,0.16794310000841506,0.005501700012246147,80000
candidate_021,onlinehd,3,0.2605904000229202,0.005751399992732331,80000
candidate_022,onlinehd,3,0.2747291999985464,0.006147399981273338,80000
candidate_023,onlinehd,3,0.26077240001177415,0.005570000008447096,80000
candidate_024,onlinehd,3,0.2723165999923367,0.00564779998967424,80000
