candidate_id,variant,outer_fold,training_seconds,inference_seconds,model_bytes
candidate_001,onlinehd,1,0.047907200030749664,0.018781099963234738,32000
candidate_002,onlinehd,1,0.0489823000098113,0.0018761999672278762,32000
candidate_003,onlinehd,1,0.047357299976283684,0.0019318000122439116,32000
candidate_004,onlinehd,1,0.0495770999987144,0.0012344999704509974,32000
candidate_005,onlinehd,1,0.13848920000600629,0.0013287000183481723,32000
candidate_006,onlinehd,1,0.14359110002988018,0.0013944999955128878,32000
candidate_007,onlinehd,1,0.14160489998175763,0.001372400001855567,32000
candidate_008,onlinehd,1,0.14513900002930313,0.0011702000338118523,32000
candidate_009,onlinehd,1,0.2353886000055354,0.001997599989408627,32000
candidate_010,onlinehd,1,0.2503059000009671,0.0015761000104248524,32000
candidate_011,onlinehd,1,0.2404685000074096,0.001257600000826642,32000
candidate_012,onlinehd,1,0.24201539999921806,0.001217699988046661,32000
candidate_013,onlinehd,1,0.055390499997884035,0.00614709997898899,80000
candidate_014,onlinehd,1,0.060171699995407835,0.007814700045855716,80000
candidate_015,onlinehd,1,0.06154309998964891,0.00784800000838004,80000
candidate_016,onlinehd,1,0.061903800000436604,0.0057628999929875135,80000
candidate_017,onlinehd,1,0.17057590003241785,0.007569699955638498,80000
candidate_018,onlinehd,1,0.17630610000924207,0.006598599953576922,80000
candidate_019,onlinehd,1,0.17594819999067113,0.005871699977433309,80000
candidate_020,onlinehd,1,0.17245089999050833,0.006230900005903095,80000
candidate_021,onlinehd,1,0.28002949999063276,0.007134299987228587,80000
candidate_022,onlinehd,1,0.28873079997720197,0.007198899984359741,80000
candidate_023,onlinehd,1,0.28271429997403175,0.006538999994518235,80000
candidate_024,onlinehd,1,0.287588200008031,0.0068076000025030226,80000
