variant,outer_fold,dimension,seed,levels,feature_k,selected_structure_parameters,selected_temperature,model_training_and_inference_seconds,model_bytes,preprocessing_seconds,encoding_seconds,preprocessing_bytes,quantizer_state_sha256,outer_test_feature_access_after_inner_selection,outer_test_label_access_before_prediction
multicentroid,1,1000,42,51,50,"{""centroids_per_class"":2}",0.05,0.05456140000023879,32000,0.06408869998995215,0.6477865999913774,63424,672f5c28911f87e338c77dcf87ae6e778eed4fbe75951389679ff4700daf78ce,True,False
multicentroid,1,1000,43,51,50,"{""centroids_per_class"":2}",0.05,0.05661640001926571,32000,0.05951280001318082,0.6327611999877263,63424,672f5c28911f87e338c77dcf87ae6e778eed4fbe75951389679ff4700daf78ce,True,False
multicentroid,1,1000,44,51,50,"{""centroids_per_class"":2}",0.05,0.06317859998671338,32000,0.06483519999892451,0.6570055999909528,63424,672f5c28911f87e338c77dcf87ae6e778eed4fbe75951389679ff4700daf78ce,True,False
multicentroid,1,1000,45,51,50,"{""centroids_per_class"":2}",0.05,0.05429800000274554,32000,0.060325700003886595,0.6410123000096064,63424,672f5c28911f87e338c77dcf87ae6e778eed4fbe75951389679ff4700daf78ce,True,False
multicentroid,1,1000,46,51,50,"{""centroids_per_class"":2}",0.05,0.06306250000488944,32000,0.061936500016599894,0.6340764999913517,63424,672f5c28911f87e338c77dcf87ae6e778eed4fbe75951389679ff4700daf78ce,True,False
multicentroid,1,2000,42,51,50,"{""centroids_per_class"":2}",0.05,0.10552159999497235,64000,0.06408869998995215,0.6477865999913774,63424,672f5c28911f87e338c77dcf87ae6e778eed4fbe75951389679ff4700daf78ce,True,False
multicentroid,1,2000,43,51,50,"{""centroids_per_class"":2}",0.05,0.11301580001600087,64000,0.05951280001318082,0.6327611999877263,63424,672f5c28911f87e338c77dcf87ae6e778eed4fbe75951389679ff4700daf78ce,True,False
multicentroid,1,2000,44,51,50,"{""centroids_per_class"":2}",0.05,0.11327299999538809,64000,0.06483519999892451,0.6570055999909528,63424,672f5c28911f87e338c77dcf87ae6e778eed4fbe75951389679ff4700daf78ce,True,False
multicentroid,1,2000,45,51,50,"{""centroids_per_class"":2}",0.05,0.1105227000080049,64000,0.060325700003886595,0.6410123000096064,63424,672f5c28911f87e338c77dcf87ae6e778eed4fbe75951389679ff4700daf78ce,True,False
multicentroid,1,2000,46,51,50,"{""centroids_per_class"":2}",0.05,0.11122969997813925,64000,0.061936500016599894,0.6340764999913517,63424,672f5c28911f87e338c77dcf87ae6e778eed4fbe75951389679ff4700daf78ce,True,False
multicentroid,1,5000,42,51,50,"{""centroids_per_class"":2}",0.05,0.2505401000089478,160000,0.06408869998995215,0.6477865999913774,63424,672f5c28911f87e338c77dcf87ae6e778eed4fbe75951389679ff4700daf78ce,True,False
multicentroid,1,5000,43,51,50,"{""centroids_per_class"":2}",0.05,0.23613200002000667,160000,0.05951280001318082,0.6327611999877263,63424,672f5c28911f87e338c77dcf87ae6e778eed4fbe75951389679ff4700daf78ce,True,False
multicentroid,1,5000,44,51,50,"{""centroids_per_class"":2}",0.05,0.24010589998215437,160000,0.06483519999892451,0.6570055999909528,63424,672f5c28911f87e338c77dcf87ae6e778eed4fbe75951389679ff4700daf78ce,True,False
multicentroid,1,5000,45,51,50,"{""centroids_per_class"":2}",0.05,0.25069869999424554,160000,0.060325700003886595,0.6410123000096064,63424,672f5c28911f87e338c77dcf87ae6e778eed4fbe75951389679ff4700daf78ce,True,False
multicentroid,1,5000,46,51,50,"{""centroids_per_class"":2}",0.05,0.23738840001169592,160000,0.061936500016599894,0.6340764999913517,63424,672f5c28911f87e338c77dcf87ae6e778eed4fbe75951389679ff4700daf78ce,True,False
multicentroid,1,10000,42,51,50,"{""centroids_per_class"":2}",0.05,0.47209950000979006,320000,0.06408869998995215,0.6477865999913774,63424,672f5c28911f87e338c77dcf87ae6e778eed4fbe75951389679ff4700daf78ce,True,False
multicentroid,1,10000,43,51,50,"{""centroids_per_class"":2}",0.05,0.4604251999990083,320000,0.05951280001318082,0.6327611999877263,63424,672f5c28911f87e338c77dcf87ae6e778eed4fbe75951389679ff4700daf78ce,True,False
multicentroid,1,10000,44,51,50,"{""centroids_per_class"":2}",0.05,0.47704820000217296,320000,0.06483519999892451,0.6570055999909528,63424,672f5c28911f87e338c77dcf87ae6e778eed4fbe75951389679ff4700daf78ce,True,False
multicentroid,1,10000,45,51,50,"{""centroids_per_class"":2}",0.05,0.4431830999965314,320000,0.060325700003886595,0.6410123000096064,63424,672f5c28911f87e338c77dcf87ae6e778eed4fbe75951389679ff4700daf78ce,True,False
multicentroid,1,10000,46,51,50,"{""centroids_per_class"":2}",0.05,0.47031250002328306,320000,0.061936500016599894,0.6340764999913517,63424,672f5c28911f87e338c77dcf87ae6e778eed4fbe75951389679ff4700daf78ce,True,False
