candidate_id,variant,outer_fold,training_seconds,inference_seconds,model_bytes
candidate_001,hybrid,4,0.3904540999501478,0.0014850000152364373,64000
candidate_002,hybrid,4,0.23818829999072477,0.0014475999923888594,64000
candidate_003,hybrid,4,0.23266159996273927,0.0014411000011023134,64000
candidate_004,hybrid,4,0.2374261999502778,0.0015923000173643231,64000
candidate_005,hybrid,4,0.3747553999419324,0.0015703999961260706,64000
candidate_006,hybrid,4,0.38907969996216707,0.0014390000142157078,64000
candidate_007,hybrid,4,0.3848750999895856,0.001566700026160106,64000
candidate_008,hybrid,4,0.38850389994331636,0.0014637999993283302,64000
candidate_009,hybrid,4,0.4837921000435017,0.0018069000507239252,96000
candidate_010,hybrid,4,0.2852769000164699,0.0016466999950353056,96000
candidate_011,hybrid,4,0.278621600009501,0.0016444999782834202,96000
candidate_012,hybrid,4,0.28412930003833026,0.001642499992158264,96000
candidate_013,hybrid,4,0.4265610000293236,0.0018199999467469752,96000
candidate_014,hybrid,4,0.4397288000327535,0.0016789000073913485,96000
candidate_015,hybrid,4,0.4216796000255272,0.0016553000023122877,96000
candidate_016,hybrid,4,0.43938759999582544,0.0016565000114496797,96000
candidate_017,hybrid,4,0.9707300000009127,0.008391500014113262,160000
candidate_018,hybrid,4,0.5317313999985345,0.007821800012607127,160000
candidate_019,hybrid,4,0.5250614999677055,0.007703400013269857,160000
candidate_020,hybrid,4,0.5306626000092365,0.007904199999757111,160000
candidate_021,hybrid,4,0.6787661000271328,0.007723200018517673,160000
candidate_022,hybrid,4,0.6953512999753002,0.0077191999880596995,160000
candidate_023,hybrid,4,0.6823862999444827,0.008824100019410253,160000
candidate_024,hybrid,4,0.6939150999533013,0.008458300027996302,160000
candidate_025,hybrid,4,1.2472041000146419,0.00823019997915253,240000
candidate_026,hybrid,4,0.6708738000306766,0.009117400011746213,240000
candidate_027,hybrid,4,0.6624810000357684,0.00834580001537688,240000
candidate_028,hybrid,4,0.6692016000451986,0.009451500023715198,240000
candidate_029,hybrid,4,0.8156787999905646,0.00818000000435859,240000
candidate_030,hybrid,4,0.8346504999790341,0.00825409998651594,240000
candidate_031,hybrid,4,0.814830500021344,0.008385399996768683,240000
candidate_032,hybrid,4,0.8369585999753326,0.009232500015059486,240000
