candidate_id,variant,outer_fold,training_seconds,inference_seconds,model_bytes
candidate_001,hybrid,2,0.39071060001151636,0.0015955000126268715,64000
candidate_002,hybrid,2,0.2371827999886591,0.0014725000073667616,64000
candidate_003,hybrid,2,0.23183590002008714,0.0014696999860461801,64000
candidate_004,hybrid,2,0.23693340001045726,0.0015343999839387834,64000
candidate_005,hybrid,2,0.3724006999982521,0.0014733000134583563,64000
candidate_006,hybrid,2,0.38877409999258816,0.0014768000110052526,64000
candidate_007,hybrid,2,0.3752358999918215,0.0014791000285185874,64000
candidate_008,hybrid,2,0.3992333000060171,0.0016168000001925975,64000
candidate_009,hybrid,2,0.4765746999764815,0.001741599990054965,96000
candidate_010,hybrid,2,0.2807428000087384,0.00167420000070706,96000
candidate_011,hybrid,2,0.2755337000126019,0.0016806999628897756,96000
candidate_012,hybrid,2,0.28079089999664575,0.0016867000085767359,96000
candidate_013,hybrid,2,0.425707299989881,0.0017132999491877854,96000
candidate_014,hybrid,2,0.4375617000623606,0.001777500001480803,96000
candidate_015,hybrid,2,0.41890490002697334,0.0016797000134829432,96000
candidate_016,hybrid,2,0.4322614000120666,0.0016957000188995153,96000
candidate_017,hybrid,2,0.9516507999796886,0.008622699970146641,160000
candidate_018,hybrid,2,0.5235483000578824,0.009696799999801442,160000
candidate_019,hybrid,2,0.5159984000201803,0.00904380000429228,160000
candidate_020,hybrid,2,0.5252662999846507,0.00941850000526756,160000
candidate_021,hybrid,2,0.6719518999743741,0.00795470000593923,160000
candidate_022,hybrid,2,0.6969993999809958,0.008438699995167553,160000
candidate_023,hybrid,2,0.6763281999737956,0.008268700010376051,160000
candidate_024,hybrid,2,0.6910902999807149,0.009260699996957555,160000
candidate_025,hybrid,2,1.230994900019141,0.008241600007750094,240000
candidate_026,hybrid,2,0.6625419999763835,0.008971900009782985,240000
candidate_027,hybrid,2,0.656479599972954,0.00918449996970594,240000
candidate_028,hybrid,2,0.6641918999375775,0.008566500007873401,240000
candidate_029,hybrid,2,0.8123081000230741,0.00886750002973713,240000
candidate_030,hybrid,2,0.8276936000038404,0.008132899994961917,240000
candidate_031,hybrid,2,0.8095624999841675,0.008444000035524368,240000
candidate_032,hybrid,2,0.826811999984784,0.00939350001863204,240000
