candidate_id,variant,dimension,centroids_per_class,levels,feature_k,seed,canonical_config_json,inner_fold_1_macro_f1,inner_fold_2_macro_f1,inner_fold_3_macro_f1,mean_macro_f1,std_macro_f1_sample,mean_balanced_accuracy,mean_accuracy,mean_severe_error_rate,training_seconds,inference_seconds,model_bytes,status
candidate_001,multicentroid,2000,2,51,50,42,"{""centroids_per_class"":2,""dimension"":2000,""feature_k"":50,""levels"":51,""seed"":42,""variant"":""multicentroid""}",0.8240533659888499,0.7779774383547969,0.8963882059097902,0.8328063367511457,0.05968867850032252,0.8337141944900566,0.8331517792302107,0.030293598921049898,0.36328469999716617,0.002920900034951046,64000,COMPLETE
candidate_002,multicentroid,2000,3,51,50,42,"{""centroids_per_class"":3,""dimension"":2000,""feature_k"":50,""levels"":51,""seed"":42,""variant"":""multicentroid""}",0.8303853897037676,0.8055992313067785,0.8785811382667367,0.838188586425761,0.03711141462124011,0.8400632838851229,0.8390393194314764,0.032809420064322026,0.4092705999792088,0.0028426999924704432,96000,COMPLETE
candidate_003,multicentroid,2000,4,51,50,42,"{""centroids_per_class"":4,""dimension"":2000,""feature_k"":50,""levels"":51,""seed"":42,""variant"":""multicentroid""}",0.7519708361813624,0.7983989717480284,0.8041446760786384,0.7848381613360097,0.028608549013881893,0.7866624329268008,0.7860514576200851,0.032809420064322026,0.4493304000061471,0.0019719999691005796,128000,COMPLETE
candidate_004,multicentroid,5000,2,51,50,42,"{""centroids_per_class"":2,""dimension"":5000,""feature_k"":50,""levels"":51,""seed"":42,""variant"":""multicentroid""}",0.821559389102337,0.8042217042217041,0.8870132909686662,0.8375981280975692,0.04366397336979105,0.8402846195949644,0.8393246187363834,0.02103433966179064,0.6943649000313599,0.00913870002841577,160000,COMPLETE
candidate_005,multicentroid,5000,3,51,50,42,"{""centroids_per_class"":3,""dimension"":5000,""feature_k"":50,""levels"":51,""seed"":42,""variant"":""multicentroid""}",0.7574302746433894,0.787737094141035,0.8312266894660726,0.7921313527501658,0.0370939326806059,0.7931684747776702,0.792224297126258,0.023835460109969914,0.8347098999947775,0.009508099989034235,240000,COMPLETE
candidate_006,multicentroid,5000,4,51,50,42,"{""centroids_per_class"":4,""dimension"":5000,""feature_k"":50,""levels"":51,""seed"":42,""variant"":""multicentroid""}",0.8037170930663701,0.7682282003710574,0.8151239111765428,0.7956897348713236,0.024456712425868204,0.7971273724147286,0.7966853408029878,0.020749040356883495,1.026204299996607,0.009714600018924102,320000,COMPLETE
