variant,outer_fold,dimension,seed,selected_temperature,macro_f1,balanced_accuracy,mae_bounded,rmse_bounded,model_bytes,checkpoint_sha256,status
onlinehd,2,2000,42,0.05,0.5742111885404568,0.6186688311688311,0.4467288399684171,0.5585095181352858,32000,f6571ccd353aba9581d8fda1a664783b900063bed423208000fed40f1b92c8c1,COMPLETE
onlinehd,2,2000,43,0.05,0.580427121760345,0.6536255411255412,0.46052125323192505,0.5949906553330648,32000,e3a657ef3e119ec53378ccee88eb06609ee5cb4f9df421ff3869ea12673039c1,COMPLETE
onlinehd,2,2000,44,0.05,0.5925325640873134,0.6542207792207793,0.5898861055596212,0.7126555786202124,32000,1250574a48823e5dd52890b6ed94e2c743ed7b0cc139b65bca682c89cd595fb9,COMPLETE
onlinehd,2,2000,45,0.05,0.6913419913419914,0.7043290043290044,0.445042474782917,0.5423586532441008,32000,c2a26ec0bb102cc765d4a38e6aaf6fc002656b102cabcb741fad903ed4536522,COMPLETE
onlinehd,2,2000,46,0.05,0.6056868855781898,0.6415043290043291,0.5937492384578195,0.6986601279101732,32000,378664fb01b6cf21ef5ff7854a2ab53b46de003047a5780695610a484c9d5bf1,COMPLETE
onlinehd,2,5000,42,0.05,0.6040546594982079,0.625974025974026,0.43225519779447197,0.5891327655167927,80000,ec430e4044b58e74716c3b35b66a0dbc5c63def08ccccdd0bba3bc53cdb11fa6,COMPLETE
onlinehd,2,5000,43,0.05,0.7214588859416446,0.7330627705627705,0.47031681888618176,0.5941157555381411,80000,ea52f37999c308c1c57ca567dc9982cd0200f3c8f2ed88a5624a30a061cc9185,COMPLETE
onlinehd,2,5000,44,0.05,0.7672268907563026,0.7791666666666667,0.3598658868264105,0.49722763315683405,80000,ca0fdc0be749fd07fd055cd6461627b35b03085d73336ab3e26da17431c62434,COMPLETE
onlinehd,2,5000,45,0.05,0.6254356732297909,0.6451839826839827,0.5745314573301603,0.6875633152900046,80000,5bb36eacbda10d4d86144ec061e78d068feee40496664ae80fcdbeae15947579,COMPLETE
onlinehd,2,5000,46,0.05,0.6481766381766383,0.6830627705627705,0.47228989489421996,0.6074351520116816,80000,372ee7786c3b983775ae7e55f8a5d09f58ebc28ee6ab04f19d3bbe9b7a42d934,COMPLETE
