candidate_id,variant,dimension,epochs,learning_rate,margin_threshold,levels,feature_k,seed,canonical_config_json,inner_fold_1_macro_f1,inner_fold_2_macro_f1,inner_fold_3_macro_f1,mean_macro_f1,std_macro_f1_sample,mean_balanced_accuracy,mean_accuracy,mean_severe_error_rate,training_seconds,inference_seconds,model_bytes,status
candidate_001,onlinehd,2000,1,0.05,0.0,51,50,42,"{""dimension"":2000,""epochs"":1,""feature_k"":50,""learning_rate"":0.05,""levels"":51,""margin_threshold"":0.0,""seed"":42,""variant"":""onlinehd""}",0.6186900265414454,0.38882028875379937,0.47343528995756723,0.4936485350842707,0.11626029221774062,0.5805334512231064,0.5846301483556385,0.02635128125324204,0.045935000001918525,0.0013259000261314213,32000,COMPLETE
candidate_002,onlinehd,2000,1,0.05,0.1,51,50,42,"{""dimension"":2000,""epochs"":1,""feature_k"":50,""learning_rate"":0.05,""levels"":51,""margin_threshold"":0.1,""seed"":42,""variant"":""onlinehd""}",0.5619811320754717,0.7377937972277595,0.8364273837923805,0.7120674376985372,0.13902003615067618,0.7434964726631392,0.7412335304492167,0.049901442058304796,0.04790329997194931,0.0012342000263743103,32000,COMPLETE
candidate_003,onlinehd,2000,1,0.1,0.0,51,50,42,"{""dimension"":2000,""epochs"":1,""feature_k"":50,""learning_rate"":0.1,""levels"":51,""margin_threshold"":0.0,""seed"":42,""variant"":""onlinehd""}",0.6024818396010914,0.6433784102096057,0.691029468412943,0.6456299060745466,0.0443167301058274,0.6988954266253117,0.6963118580765638,0.03589583981740844,0.04592820000834763,0.0012415999954100698,32000,COMPLETE
candidate_004,onlinehd,2000,1,0.1,0.1,51,50,42,"{""dimension"":2000,""epochs"":1,""feature_k"":50,""learning_rate"":0.1,""levels"":51,""margin_threshold"":0.1,""seed"":42,""variant"":""onlinehd""}",0.3401216214197134,0.5849948861638772,0.5676084853262622,0.49757499763661756,0.13663544926225415,0.5816391941391942,0.5839298682435937,0.056074281564477635,0.04803850001189858,0.0012430999777279794,32000,COMPLETE
candidate_005,onlinehd,2000,3,0.05,0.0,51,50,42,"{""dimension"":2000,""epochs"":3,""feature_k"":50,""learning_rate"":0.05,""levels"":51,""margin_threshold"":0.0,""seed"":42,""variant"":""onlinehd""}",0.7761672164812146,0.57756453249411,0.4196428571428571,0.5911248687060606,0.1786485844865344,0.6239258347016968,0.6219006120966905,0.1217449942940139,0.13677329994970933,0.0012944000191055238,32000,COMPLETE
candidate_006,onlinehd,2000,3,0.05,0.1,51,50,42,"{""dimension"":2000,""epochs"":3,""feature_k"":50,""learning_rate"":0.05,""levels"":51,""margin_threshold"":0.1,""seed"":42,""variant"":""onlinehd""}",0.5815354354908108,0.6408044437831673,0.699056067180006,0.6404653154846613,0.058761049804772945,0.6877919175332968,0.6848220769789397,0.04595912439049693,0.14149880001787096,0.0012655999744310975,32000,COMPLETE
candidate_007,onlinehd,2000,3,0.1,0.0,51,50,42,"{""dimension"":2000,""epochs"":3,""feature_k"":50,""learning_rate"":0.1,""levels"":51,""margin_threshold"":0.0,""seed"":42,""variant"":""onlinehd""}",0.5920807453416149,0.6545912759418842,0.6639880952380952,0.6368867055071982,0.03908651433667731,0.6643951833607006,0.6609866168689699,0.05298786181139122,0.13389079997432418,0.0012321000103838742,32000,COMPLETE
candidate_008,onlinehd,2000,3,0.1,0.1,51,50,42,"{""dimension"":2000,""epochs"":3,""feature_k"":50,""learning_rate"":0.1,""levels"":51,""margin_threshold"":0.1,""seed"":42,""variant"":""onlinehd""}",0.7718333369069502,0.7112030632411067,0.5849003735990037,0.6893122579156868,0.09536974735794937,0.7240208599404001,0.7209513435003632,0.04710032161012553,0.1422784999886062,0.0012729000009130687,32000,COMPLETE
candidate_009,onlinehd,2000,5,0.05,0.0,51,50,42,"{""dimension"":2000,""epochs"":5,""feature_k"":50,""learning_rate"":0.05,""levels"":51,""margin_threshold"":0.0,""seed"":42,""variant"":""onlinehd""}",0.6479839282164864,0.6374602079796265,0.7132970418884598,0.6662470593615243,0.04108482461620869,0.7074841878002798,0.7055711173358233,0.03727046374105198,0.22623900001053698,0.0013621999823953956,32000,COMPLETE
candidate_010,onlinehd,2000,5,0.05,0.1,51,50,42,"{""dimension"":2000,""epochs"":5,""feature_k"":50,""learning_rate"":0.05,""levels"":51,""margin_threshold"":0.1,""seed"":42,""variant"":""onlinehd""}",0.7016728328758404,0.6631474978050922,0.7557367404303269,0.7068523570370865,0.046511424030890994,0.7434382295014479,0.7436974789915967,0.030008299616142754,0.24218419997487217,0.001326500001596287,32000,COMPLETE
candidate_011,onlinehd,2000,5,0.1,0.0,51,50,42,"{""dimension"":2000,""epochs"":5,""feature_k"":50,""learning_rate"":0.1,""levels"":51,""margin_threshold"":0.0,""seed"":42,""variant"":""onlinehd""}",0.25593622795115334,0.5481248054777467,0.5412258935179138,0.4484289756489379,0.16673929406033722,0.5282763532763534,0.5281408859840232,0.06922398589065255,0.22242370003368706,0.0012373000208754092,32000,COMPLETE
candidate_012,onlinehd,2000,5,0.1,0.1,51,50,42,"{""dimension"":2000,""epochs"":5,""feature_k"":50,""learning_rate"":0.1,""levels"":51,""margin_threshold"":0.1,""seed"":42,""variant"":""onlinehd""}",0.804286858974359,0.5920485872366129,0.7818986568986569,0.7260780343698762,0.11661143778455782,0.7537742855271592,0.7534754642597781,0.05161323788774769,0.23722190002445132,0.0012670999858528376,32000,COMPLETE
candidate_013,onlinehd,5000,1,0.05,0.0,51,50,42,"{""dimension"":5000,""epochs"":1,""feature_k"":50,""learning_rate"":0.05,""levels"":51,""margin_threshold"":0.0,""seed"":42,""variant"":""onlinehd""}",0.5684700263504612,0.7424551638837353,0.7149537550869405,0.6752929817737123,0.09352774842510929,0.7016687016687019,0.7011100736590933,0.06899055918663761,0.05503400001907721,0.005709099961677566,80000,COMPLETE
candidate_014,onlinehd,5000,1,0.05,0.1,51,50,42,"{""dimension"":5000,""epochs"":1,""feature_k"":50,""learning_rate"":0.05,""levels"":51,""margin_threshold"":0.1,""seed"":42,""variant"":""onlinehd""}",0.6076551808406647,0.7395520989505248,0.627316691885204,0.6581746572254644,0.07115728894797299,0.723882503192848,0.7201473181865339,0.04149808071376699,0.057572900026571006,0.005867800005944446,80000,COMPLETE
candidate_015,onlinehd,5000,1,0.1,0.0,51,50,42,"{""dimension"":5000,""epochs"":1,""feature_k"":50,""learning_rate"":0.1,""levels"":51,""margin_threshold"":0.0,""seed"":42,""variant"":""onlinehd""}",0.6937788291954958,0.7125104141141877,0.43654154116478805,0.6142769281581573,0.15420803776280131,0.6386365018548926,0.6359580869384791,0.14672165162361242,0.05916610002168454,0.0073911999934352934,80000,COMPLETE
candidate_016,onlinehd,5000,1,0.1,0.1,51,50,42,"{""dimension"":5000,""epochs"":1,""feature_k"":50,""learning_rate"":0.1,""levels"":51,""margin_threshold"":0.1,""seed"":42,""variant"":""onlinehd""}",0.6064586754241926,0.6299295774647887,0.7978463773569129,0.6780782100819648,0.10438405639727642,0.719753086419753,0.7173461977383546,0.04486979977176055,0.05801219999557361,0.00601979999919422,80000,COMPLETE
candidate_017,onlinehd,5000,3,0.05,0.0,51,50,42,"{""dimension"":5000,""epochs"":3,""feature_k"":50,""learning_rate"":0.05,""levels"":51,""margin_threshold"":0.0,""seed"":42,""variant"":""onlinehd""}",0.6726524992147889,0.4918958343402212,0.8439676265763223,0.6695053200437776,0.17605699439282702,0.7032764702304933,0.7019140989729226,0.05213196389666978,0.15881819996866398,0.00679019998642616,80000,COMPLETE
candidate_018,onlinehd,5000,3,0.05,0.1,51,50,42,"{""dimension"":5000,""epochs"":3,""feature_k"":50,""learning_rate"":0.05,""levels"":51,""margin_threshold"":0.1,""seed"":42,""variant"":""onlinehd""}",0.6162232076866223,0.6147375058073936,0.8286375519723131,0.6865327551554431,0.12306860601425305,0.7478462895129562,0.7476397966594046,0.032524120759414875,0.1659706000064034,0.006359199993312359,80000,COMPLETE
candidate_019,onlinehd,5000,3,0.1,0.0,51,50,42,"{""dimension"":5000,""epochs"":3,""feature_k"":50,""learning_rate"":0.1,""levels"":51,""margin_threshold"":0.0,""seed"":42,""variant"":""onlinehd""}",0.7037930341401786,0.6022514438361833,0.5831687986651836,0.6297377588805152,0.06483960735552736,0.6755389831539257,0.6735657225853305,0.03309471936922917,0.15863260001060553,0.006081900006392971,80000,COMPLETE
candidate_020,onlinehd,5000,3,0.1,0.1,51,50,42,"{""dimension"":5000,""epochs"":3,""feature_k"":50,""learning_rate"":0.1,""levels"":51,""margin_threshold"":0.1,""seed"":42,""variant"":""onlinehd""}",0.6935217063413994,0.7219815482309464,0.6041462097407698,0.673216488104372,0.06148591842864193,0.7202745849297573,0.7164902998236332,0.05412905903101981,0.16514410002855584,0.005645500001264736,80000,COMPLETE
candidate_021,onlinehd,5000,5,0.05,0.0,51,50,42,"{""dimension"":5000,""epochs"":5,""feature_k"":50,""learning_rate"":0.05,""levels"":51,""margin_threshold"":0.0,""seed"":42,""variant"":""onlinehd""}",0.5144870448179272,0.5567487850753979,0.4023400599755279,0.49119196328961773,0.07979667420575715,0.5524208337426728,0.5541031227305737,0.08717190579935678,0.26661000002059154,0.006137600023066625,80000,COMPLETE
candidate_022,onlinehd,5000,5,0.05,0.1,51,50,42,"{""dimension"":5000,""epochs"":5,""feature_k"":50,""learning_rate"":0.05,""levels"":51,""margin_threshold"":0.1,""seed"":42,""variant"":""onlinehd""}",0.6315178516608337,0.6761442386442387,0.5355534105534105,0.6144051669528277,0.07184064461885706,0.6441112420997479,0.6449839194937234,0.0201784417470692,0.2749405999784358,0.0068823999899905175,80000,COMPLETE
candidate_023,onlinehd,5000,5,0.1,0.0,51,50,42,"{""dimension"":5000,""epochs"":5,""feature_k"":50,""learning_rate"":0.1,""levels"":51,""margin_threshold"":0.0,""seed"":42,""variant"":""onlinehd""}",0.48686319718928417,0.7705822593753628,0.5263485593728154,0.5945980053124875,0.15368024178547207,0.6335475348406382,0.634920634920635,0.11917730054984958,0.26124270001309924,0.005511700001079589,80000,COMPLETE
candidate_024,onlinehd,5000,5,0.1,0.1,51,50,42,"{""dimension"":5000,""epochs"":5,""feature_k"":50,""learning_rate"":0.1,""levels"":51,""margin_threshold"":0.1,""seed"":42,""variant"":""onlinehd""}",0.8131381197418933,0.6990068248468096,0.897598627787307,0.80324785745867,0.09966463271799354,0.8060076417835038,0.8056593007573399,0.03812636165577342,0.2807742999866605,0.005590299988398328,80000,COMPLETE
