consolidated_outer_fold,candidate_id,variant,dimension,epochs,learning_rate,margin_threshold,levels,feature_k,seed,canonical_config_json,inner_fold_1_macro_f1,inner_fold_2_macro_f1,inner_fold_3_macro_f1,mean_macro_f1,std_macro_f1_sample,mean_balanced_accuracy,mean_accuracy,mean_severe_error_rate,training_seconds,inference_seconds,model_bytes,status
1,candidate_015,onlinehd,5000,1,0.1,0.0,51,50,42,"{""dimension"":5000,""epochs"":1,""feature_k"":50,""learning_rate"":0.1,""levels"":51,""margin_threshold"":0.0,""seed"":42,""variant"":""onlinehd""}",0.8139306095572558,0.5625162570754367,0.5770542127380562,0.6511670264569163,0.1411446988960546,0.6728449992447025,0.6729432513746239,0.0830480340284261,0.0615430999896489,0.00784800000838,80000,COMPLETE
1,candidate_016,onlinehd,5000,1,0.1,0.1,51,50,42,"{""dimension"":5000,""epochs"":1,""feature_k"":50,""learning_rate"":0.1,""levels"":51,""margin_threshold"":0.1,""seed"":42,""variant"":""onlinehd""}",0.5807796754848558,0.701359523333111,0.7485429414129738,0.676894046743647,0.0865161719407379,0.7147207459591591,0.7123145554518103,0.0513279385828405,0.0619038000004366,0.0057628999929875,80000,COMPLETE
1,candidate_017,onlinehd,5000,3,0.05,0.0,51,50,42,"{""dimension"":5000,""epochs"":3,""feature_k"":50,""learning_rate"":0.05,""levels"":51,""margin_threshold"":0.0,""seed"":42,""variant"":""onlinehd""}",0.5962124869768506,0.6643989375039178,0.6711517990206515,0.6439210745004732,0.0414545808963306,0.6756200304865488,0.6777933395580454,0.0238354601099699,0.1705759000324178,0.0075696999556384,80000,COMPLETE
1,candidate_018,onlinehd,5000,3,0.05,0.1,51,50,42,"{""dimension"":5000,""epochs"":3,""feature_k"":50,""learning_rate"":0.05,""levels"":51,""margin_threshold"":0.1,""seed"":42,""variant"":""onlinehd""}",0.6649764004746471,0.3505494505494505,0.6423558897243108,0.5526272469161362,0.175369606018156,0.6482988643073923,0.6452173461977383,0.0358958398174084,0.176306100009242,0.0065985999535769,80000,COMPLETE
1,candidate_019,onlinehd,5000,3,0.1,0.0,51,50,42,"{""dimension"":5000,""epochs"":3,""feature_k"":50,""learning_rate"":0.1,""levels"":51,""margin_threshold"":0.0,""seed"":42,""variant"":""onlinehd""}",0.5398657388821981,0.5711089072088267,0.6427289420561988,0.5845678627157412,0.0527358251505251,0.6525542784163474,0.6497821350762528,0.0843707853511775,0.1759481999906711,0.0058716999774333,80000,COMPLETE
1,candidate_020,onlinehd,5000,3,0.1,0.1,51,50,42,"{""dimension"":5000,""epochs"":3,""feature_k"":50,""learning_rate"":0.1,""levels"":51,""margin_threshold"":0.1,""seed"":42,""variant"":""onlinehd""}",0.7773573620429604,0.3957678153228504,0.5150886095413831,0.5627379289690646,0.195206272370935,0.6263032312995235,0.624987031849777,0.0793910156655254,0.1724508999905083,0.006230900005903,80000,COMPLETE
1,candidate_021,onlinehd,5000,5,0.05,0.0,51,50,42,"{""dimension"":5000,""epochs"":5,""feature_k"":50,""learning_rate"":0.05,""levels"":51,""margin_threshold"":0.0,""seed"":42,""variant"":""onlinehd""}",0.7931170309653917,0.5391505056323604,0.7717696097006441,0.7013457154327988,0.140870126926612,0.7432174295170216,0.7414150845523394,0.0462962962962963,0.2800294999906327,0.0071342999872285,80000,COMPLETE
1,candidate_022,onlinehd,5000,5,0.05,0.1,51,50,42,"{""dimension"":5000,""epochs"":5,""feature_k"":50,""learning_rate"":0.05,""levels"":51,""margin_threshold"":0.1,""seed"":42,""variant"":""onlinehd""}",0.8014069264069263,0.5979061365789055,0.6311004784688996,0.6768045138182438,0.109177777045366,0.6964116508054218,0.6976346093993153,0.0244060587197842,0.2887307999772019,0.0071988999843597,80000,COMPLETE
1,candidate_023,onlinehd,5000,5,0.1,0.0,51,50,42,"{""dimension"":5000,""epochs"":5,""feature_k"":50,""learning_rate"":0.1,""levels"":51,""margin_threshold"":0.0,""seed"":42,""variant"":""onlinehd""}",0.8446389447365708,0.6056456985154168,0.8440938844246741,0.7647928425588871,0.1378257391258278,0.7651299798129608,0.7643946467475878,0.0549849569457412,0.2827142999740317,0.0065389999945182,80000,COMPLETE
1,candidate_024,onlinehd,5000,5,0.1,0.1,51,50,42,"{""dimension"":5000,""epochs"":5,""feature_k"":50,""learning_rate"":0.1,""levels"":51,""margin_threshold"":0.1,""seed"":42,""variant"":""onlinehd""}",0.8661954365079365,0.6408633680614282,0.818498023715415,0.7751856094282599,0.1187459860000838,0.7861423529573325,0.7854289864093785,0.0361811391223155,0.287588200008031,0.006807600002503,80000,COMPLETE
