task,variant,head,dimension,seed,performance_metric,performance_value,performance_direction,total_runtime_seconds,peak_memory_bytes,model_size_bytes,pareto_dimensions,memory_pareto_available,is_pareto
classification,onlinehd,classification,1000,44,macro_f1,0.6235465153518691,maximize,3.8090656999847847,NOT_AVAILABLE,16000.0,performance_time_2d,False,False
classification,onlinehd,classification,1000,45,macro_f1,0.7261372057205513,maximize,3.891691300028469,NOT_AVAILABLE,16000.0,performance_time_2d,False,False
classification,onlinehd,classification,1000,46,macro_f1,0.6155093193797274,maximize,3.7820564000285226,NOT_AVAILABLE,16000.0,performance_time_2d,False,False
classification,onlinehd,classification,2000,42,macro_f1,0.7000567394566659,maximize,3.8342420999542806,NOT_AVAILABLE,32000.0,performance_time_2d,False,False
classification,onlinehd,classification,2000,43,macro_f1,0.6359533446935295,maximize,3.806570799933979,NOT_AVAILABLE,32000.0,performance_time_2d,False,False
classification,onlinehd,classification,2000,44,macro_f1,0.6715038534553449,maximize,3.832330100005492,NOT_AVAILABLE,32000.0,performance_time_2d,False,False
classification,onlinehd,classification,2000,45,macro_f1,0.6494144391688971,maximize,3.9198901000490873,NOT_AVAILABLE,32000.0,performance_time_2d,False,False
classification,onlinehd,classification,2000,46,macro_f1,0.6210161583351684,maximize,3.804732800024794,NOT_AVAILABLE,32000.0,performance_time_2d,False,False
classification,onlinehd,classification,5000,42,macro_f1,0.6304231669170051,maximize,3.8985771999869026,NOT_AVAILABLE,80000.0,performance_time_2d,False,False
classification,onlinehd,classification,5000,43,macro_f1,0.7741003248454328,maximize,3.8742430999118365,NOT_AVAILABLE,80000.0,performance_time_2d,False,False
classification,onlinehd,classification,5000,44,macro_f1,0.6360500366747825,maximize,3.900890800025081,NOT_AVAILABLE,80000.0,performance_time_2d,False,False
classification,onlinehd,classification,5000,45,macro_f1,0.7176733596664473,maximize,3.9791371000465,NOT_AVAILABLE,80000.0,performance_time_2d,False,False
classification,onlinehd,classification,5000,46,macro_f1,0.7233155570697648,maximize,3.8694078000262375,NOT_AVAILABLE,80000.0,performance_time_2d,False,False
classification,onlinehd,classification,10000,42,macro_f1,0.6340829284222076,maximize,3.992767200019443,NOT_AVAILABLE,160000.0,performance_time_2d,False,False
classification,onlinehd,classification,10000,43,macro_f1,0.6613080288181978,maximize,3.9659645999781783,NOT_AVAILABLE,160000.0,performance_time_2d,False,False
classification,onlinehd,classification,10000,44,macro_f1,0.6235152752989147,maximize,3.9901557000121097,NOT_AVAILABLE,160000.0,performance_time_2d,False,False
classification,onlinehd,classification,10000,45,macro_f1,0.7215278258611737,maximize,4.068648400017992,NOT_AVAILABLE,160000.0,performance_time_2d,False,False
classification,onlinehd,classification,10000,46,macro_f1,0.7194240357931092,maximize,3.956755600054748,NOT_AVAILABLE,160000.0,performance_time_2d,False,False
classification,vanilla,classification,1000,42,macro_f1,0.7546471780921542,maximize,3.638644775037391,4703200,35072.0,performance_time_2d,False,False
classification,vanilla,classification,1000,43,macro_f1,0.7181925176407058,maximize,3.625773499989009,4703200,34753.0,performance_time_2d,False,True
classification,vanilla,classification,1000,44,macro_f1,0.7761139146474305,maximize,3.644618174985225,4703200,35933.0,performance_time_2d,False,True
classification,vanilla,classification,1000,45,macro_f1,0.7641619328906031,maximize,3.6306762500134937,4703200,36379.0,performance_time_2d,False,True
classification,vanilla,classification,1000,46,macro_f1,0.7713105251035247,maximize,3.660647824985062,4703200,34587.0,performance_time_2d,False,False
classification,vanilla,classification,2000,42,macro_f1,0.776237410194859,maximize,3.671249375063781,4703200,65412.0,performance_time_2d,False,False
classification,vanilla,classification,2000,43,macro_f1,0.7468325721443744,maximize,3.651797600010468,4703200,65494.0,performance_time_2d,False,False
classification,vanilla,classification,2000,44,macro_f1,0.7726129244404978,maximize,3.674611574962909,4703200,66962.0,performance_time_2d,False,False
classification,vanilla,classification,2000,45,macro_f1,0.7888302037446727,maximize,3.665426550051052,4703200,67211.0,performance_time_2d,False,True
classification,vanilla,classification,2000,46,macro_f1,0.7865355642240927,maximize,3.696746025041648,4703200,67358.0,performance_time_2d,False,False
classification,vanilla,classification,5000,42,macro_f1,0.7787372484382545,maximize,3.8070651750131215,5481744,158491.0,performance_time_2d,False,False
classification,vanilla,classification,5000,43,macro_f1,0.767216495456205,maximize,3.796414399977947,5481744,156505.0,performance_time_2d,False,False
classification,vanilla,classification,5000,44,macro_f1,0.7696755625327053,maximize,3.815043075002904,5481744,158671.0,performance_time_2d,False,False
classification,vanilla,classification,5000,45,macro_f1,0.7915073910589254,maximize,3.7930898500162575,5481744,157922.0,performance_time_2d,False,True
classification,vanilla,classification,5000,46,macro_f1,0.7916847002455213,maximize,3.833174725001299,5481744,158728.0,performance_time_2d,False,True
classification,vanilla,classification,10000,42,macro_f1,0.7688758922633354,maximize,3.962311974999465,10941744,309995.0,performance_time_2d,False,False
classification,vanilla,classification,10000,43,macro_f1,0.7645791275111784,maximize,3.950919099974272,10941744,309823.0,performance_time_2d,False,False
classification,vanilla,classification,10000,44,macro_f1,0.7700036264310369,maximize,3.961971574994095,10941744,310020.0,performance_time_2d,False,False
classification,vanilla,classification,10000,45,macro_f1,0.7797247085370791,maximize,3.9703854499930458,10941744,308937.0,performance_time_2d,False,False
classification,vanilla,classification,10000,46,macro_f1,0.7721223147642584,maximize,3.976876525015541,10941744,309496.0,performance_time_2d,False,False
regression,hybrid,similarity,1000,42,mae_bounded,0.5616758011121575,minimize,4.250670100067509,NOT_AVAILABLE,48000.0,performance_time_2d,False,False
