variant,regression_head,dimension,seed,oof_rows,mae_raw,mae_bounded,rmse_bounded,r2_bounded,spearman_bounded
common_ridge,COMMON_ENCODER_READOUT_BASELINE,1000,42,419,0.3664149732948931,0.3395560663875353,0.4778806033964935,0.8169544041937115,0.899722194145941
common_ridge,COMMON_ENCODER_READOUT_BASELINE,1000,43,419,0.37005399848696907,0.3506734749855024,0.4838479153448688,0.8123544689961573,0.8980196893682145
common_ridge,COMMON_ENCODER_READOUT_BASELINE,1000,44,419,0.37748687713274953,0.3480290748849355,0.48745529000656157,0.8095460199454214,0.8947463435763096
common_ridge,COMMON_ENCODER_READOUT_BASELINE,1000,45,419,0.38289067110990266,0.36641395277427585,0.5046730960159355,0.7958540428782565,0.8899215529500653
common_ridge,COMMON_ENCODER_READOUT_BASELINE,1000,46,419,0.3738643193129616,0.34710449977175883,0.4775567013222697,0.8172024525768524,0.8983836771973931
common_ridge,COMMON_ENCODER_READOUT_BASELINE,2000,42,419,0.36307552215479605,0.3271038194565804,0.47550201573593576,0.8187720399976545,0.8991065127455584
common_ridge,COMMON_ENCODER_READOUT_BASELINE,2000,43,419,0.3629133639592558,0.333667544244118,0.47189265272876035,0.8215128692224881,0.9026621946007236
common_ridge,COMMON_ENCODER_READOUT_BASELINE,2000,44,419,0.34964887144941287,0.3198551734694731,0.4542520605260402,0.8346080798952804,0.9082366702305278
common_ridge,COMMON_ENCODER_READOUT_BASELINE,2000,45,419,0.3611797945740635,0.3357205621822572,0.47509666657507177,0.8190808895409174,0.9015681372898477
common_ridge,COMMON_ENCODER_READOUT_BASELINE,2000,46,419,0.3637700510473667,0.3239310708463507,0.46081290333574243,0.8297960087772086,0.9059525535484103
common_ridge,COMMON_ENCODER_READOUT_BASELINE,5000,42,419,0.3126268065057951,0.2843820847423422,0.42142860335726884,0.8576463867730039,0.9211643708867929
common_ridge,COMMON_ENCODER_READOUT_BASELINE,5000,43,419,0.32463713957717005,0.29921827176315996,0.4444839763431252,0.8416446663343897,0.9119145720868594
common_ridge,COMMON_ENCODER_READOUT_BASELINE,5000,44,419,0.32529004967388675,0.3000789332052196,0.4306329030550271,0.851360273914288,0.9169381797345093
common_ridge,COMMON_ENCODER_READOUT_BASELINE,5000,45,419,0.32271336440341897,0.298703438044445,0.4330224182795068,0.8497061397472714,0.9136295316368378
common_ridge,COMMON_ENCODER_READOUT_BASELINE,5000,46,419,0.31274521228454494,0.28588971877075586,0.4138424624442926,0.8627252769284384,0.9234009604321136
common_ridge,COMMON_ENCODER_READOUT_BASELINE,10000,42,419,0.2912562309409959,0.2680685764716566,0.39904585904437956,0.872366084061476,0.9265066850453363
common_ridge,COMMON_ENCODER_READOUT_BASELINE,10000,43,419,0.3027792574909737,0.2820949113243607,0.41558343519256874,0.8615678594359681,0.9224778000292783
common_ridge,COMMON_ENCODER_READOUT_BASELINE,10000,44,419,0.30463271133456404,0.28163596039854194,0.4089051189236728,0.8659812472393932,0.9237981209885396
common_ridge,COMMON_ENCODER_READOUT_BASELINE,10000,45,419,0.29804647458348565,0.2790776502548115,0.4123537484595476,0.8637111362431413,0.9226429774506869
common_ridge,COMMON_ENCODER_READOUT_BASELINE,10000,46,419,0.2944800931277938,0.27107267043041117,0.4016952775653628,0.8706656367285548,0.9283320834281278
