candidate_id,variant,dimension,epochs,learning_rate,margin_threshold,levels,feature_k,seed,canonical_config_json,inner_fold_1_macro_f1,inner_fold_2_macro_f1,inner_fold_3_macro_f1,mean_macro_f1,std_macro_f1_sample,mean_balanced_accuracy,mean_accuracy,mean_severe_error_rate,training_seconds,inference_seconds,model_bytes,status
candidate_015,onlinehd,5000,1,0.1,0.0,51,50,42,"{""dimension"":5000,""epochs"":1,""feature_k"":50,""learning_rate"":0.1,""levels"":51,""margin_threshold"":0.0,""seed"":42,""variant"":""onlinehd""}",0.7581368579820592,0.757142857142857,0.7575958311252429,0.7576251820833863,0.000497650003658823,0.7672520221370794,0.7675329391015665,0.06447764290901546,0.05462629999965429,0.006657999998424202,80000,COMPLETE
candidate_016,onlinehd,5000,1,0.1,0.1,51,50,42,"{""dimension"":5000,""epochs"":1,""feature_k"":50,""learning_rate"":0.1,""levels"":51,""margin_threshold"":0.1,""seed"":42,""variant"":""onlinehd""}",0.5256228932033762,0.7860203758922925,0.6818810838011669,0.6645081176322785,0.13106516399413734,0.7025117071094084,0.7019659715738147,0.07345160286336756,0.05801949996384792,0.006133199989562854,80000,COMPLETE
candidate_017,onlinehd,5000,3,0.05,0.0,51,50,42,"{""dimension"":5000,""epochs"":3,""feature_k"":50,""learning_rate"":0.05,""levels"":51,""margin_threshold"":0.0,""seed"":42,""variant"":""onlinehd""}",0.6631225726696648,0.5787345037969754,0.8884995507637017,0.7101188757434472,0.16014083007630078,0.7472541507024265,0.7482103952692188,0.02692187986305633,0.15812769994954579,0.00657400002819486,80000,COMPLETE
candidate_018,onlinehd,5000,3,0.05,0.1,51,50,42,"{""dimension"":5000,""epochs"":3,""feature_k"":50,""learning_rate"":0.05,""levels"":51,""margin_threshold"":0.1,""seed"":42,""variant"":""onlinehd""}",0.5334873949579833,0.6814548580626281,0.5728479766215615,0.5959300765473909,0.07663667553557883,0.6530332056194125,0.652583255524432,0.08099906629318393,0.16591979999793693,0.005787799978861585,80000,COMPLETE
candidate_019,onlinehd,5000,3,0.1,0.0,51,50,42,"{""dimension"":5000,""epochs"":3,""feature_k"":50,""learning_rate"":0.1,""levels"":51,""margin_threshold"":0.0,""seed"":42,""variant"":""onlinehd""}",0.6237083233070786,0.6358163943925357,0.5367609136120832,0.5987618771038992,0.0540346273401394,0.6495849297573435,0.6500155617802678,0.023835460109969914,0.15847179997945204,0.0061138000164646655,80000,COMPLETE
candidate_020,onlinehd,5000,3,0.1,0.1,51,50,42,"{""dimension"":5000,""epochs"":3,""feature_k"":50,""learning_rate"":0.1,""levels"":51,""margin_threshold"":0.1,""seed"":42,""variant"":""onlinehd""}",0.6030092592592593,0.7197519753212644,0.645172817047817,0.6559780172094469,0.05911666179076043,0.6990421455938697,0.6991129785247433,0.05807137669882767,0.16512359998887405,0.0064762000110931695,80000,COMPLETE
candidate_021,onlinehd,5000,5,0.05,0.0,51,50,42,"{""dimension"":5000,""epochs"":5,""feature_k"":50,""learning_rate"":0.05,""levels"":51,""margin_threshold"":0.0,""seed"":42,""variant"":""onlinehd""}",0.675010175010175,0.5641322888662279,0.18640867113330056,0.47518371166990114,0.2561576554323997,0.5416134525329928,0.5414202718124287,0.1809575682124702,0.2722189000342041,0.0059077999903820455,80000,COMPLETE
candidate_022,onlinehd,5000,5,0.05,0.1,51,50,42,"{""dimension"":5000,""epochs"":5,""feature_k"":50,""learning_rate"":0.05,""levels"":51,""margin_threshold"":0.1,""seed"":42,""variant"":""onlinehd""}",0.6893100976256626,0.5896858743497398,0.7896399606366011,0.6895453108706678,0.09997725066061959,0.7253937845891869,0.7257495590828924,0.030008299616142754,0.2756989999616053,0.005825200001709163,80000,COMPLETE
candidate_023,onlinehd,5000,5,0.1,0.0,51,50,42,"{""dimension"":5000,""epochs"":5,""feature_k"":50,""learning_rate"":0.1,""levels"":51,""margin_threshold"":0.0,""seed"":42,""variant"":""onlinehd""}",0.6923994215660882,0.6927125074669382,0.6416195181894986,0.675577149074175,0.029408587643242515,0.7080459770114942,0.7075163398692811,0.04652972300031124,0.2611203000124078,0.005692699953215197,80000,COMPLETE
candidate_024,onlinehd,5000,5,0.1,0.1,51,50,42,"{""dimension"":5000,""epochs"":5,""feature_k"":50,""learning_rate"":0.1,""levels"":51,""margin_threshold"":0.1,""seed"":42,""variant"":""onlinehd""}",0.6970167694517192,0.7876349628136406,0.5737908154356557,0.6861475159003385,0.10733562011991868,0.7166134525329927,0.7164902998236332,0.05859010270774976,0.2740642999706324,0.005986600008327514,80000,COMPLETE
