variant,dimension,seed,fit_time_seconds,prediction_time_seconds,total_runtime_seconds,peak_memory_bytes,peak_memory_scope,model_size_bytes,encoding_throughput_rows_per_second,source
onlinehd,2000,46,NOT_AVAILABLE,NOT_AVAILABLE,3.804732800024794,NOT_AVAILABLE,NOT_AVAILABLE,32000.0,NOT_AVAILABLE,Phase 06 recorded preprocessing + encoding + combined model training/inference times
onlinehd,5000,42,NOT_AVAILABLE,NOT_AVAILABLE,3.8985771999869026,NOT_AVAILABLE,NOT_AVAILABLE,80000.0,NOT_AVAILABLE,Phase 06 recorded preprocessing + encoding + combined model training/inference times
onlinehd,5000,43,NOT_AVAILABLE,NOT_AVAILABLE,3.8742430999118365,NOT_AVAILABLE,NOT_AVAILABLE,80000.0,NOT_AVAILABLE,Phase 06 recorded preprocessing + encoding + combined model training/inference times
onlinehd,5000,44,NOT_AVAILABLE,NOT_AVAILABLE,3.900890800025081,NOT_AVAILABLE,NOT_AVAILABLE,80000.0,NOT_AVAILABLE,Phase 06 recorded preprocessing + encoding + combined model training/inference times
onlinehd,5000,45,NOT_AVAILABLE,NOT_AVAILABLE,3.9791371000465,NOT_AVAILABLE,NOT_AVAILABLE,80000.0,NOT_AVAILABLE,Phase 06 recorded preprocessing + encoding + combined model training/inference times
onlinehd,5000,46,NOT_AVAILABLE,NOT_AVAILABLE,3.8694078000262375,NOT_AVAILABLE,NOT_AVAILABLE,80000.0,NOT_AVAILABLE,Phase 06 recorded preprocessing + encoding + combined model training/inference times
onlinehd,10000,42,NOT_AVAILABLE,NOT_AVAILABLE,3.992767200019443,NOT_AVAILABLE,NOT_AVAILABLE,160000.0,NOT_AVAILABLE,Phase 06 recorded preprocessing + encoding + combined model training/inference times
onlinehd,10000,43,NOT_AVAILABLE,NOT_AVAILABLE,3.9659645999781783,NOT_AVAILABLE,NOT_AVAILABLE,160000.0,NOT_AVAILABLE,Phase 06 recorded preprocessing + encoding + combined model training/inference times
onlinehd,10000,44,NOT_AVAILABLE,NOT_AVAILABLE,3.9901557000121097,NOT_AVAILABLE,NOT_AVAILABLE,160000.0,NOT_AVAILABLE,Phase 06 recorded preprocessing + encoding + combined model training/inference times
onlinehd,10000,45,NOT_AVAILABLE,NOT_AVAILABLE,4.068648400017992,NOT_AVAILABLE,NOT_AVAILABLE,160000.0,NOT_AVAILABLE,Phase 06 recorded preprocessing + encoding + combined model training/inference times
onlinehd,10000,46,NOT_AVAILABLE,NOT_AVAILABLE,3.956755600054748,NOT_AVAILABLE,NOT_AVAILABLE,160000.0,NOT_AVAILABLE,Phase 06 recorded preprocessing + encoding + combined model training/inference times
multicentroid,1000,42,NOT_AVAILABLE,NOT_AVAILABLE,4.065749200002755,NOT_AVAILABLE,NOT_AVAILABLE,48000.0,NOT_AVAILABLE,Phase 06 recorded preprocessing + encoding + combined model training/inference times
multicentroid,1000,43,NOT_AVAILABLE,NOT_AVAILABLE,3.8791255999822165,NOT_AVAILABLE,NOT_AVAILABLE,48000.0,NOT_AVAILABLE,Phase 06 recorded preprocessing + encoding + combined model training/inference times
multicentroid,1000,44,NOT_AVAILABLE,NOT_AVAILABLE,3.9348676999215964,NOT_AVAILABLE,NOT_AVAILABLE,48000.0,NOT_AVAILABLE,Phase 06 recorded preprocessing + encoding + combined model training/inference times
multicentroid,1000,45,NOT_AVAILABLE,NOT_AVAILABLE,4.1754208999627735,NOT_AVAILABLE,NOT_AVAILABLE,48000.0,NOT_AVAILABLE,Phase 06 recorded preprocessing + encoding + combined model training/inference times
multicentroid,1000,46,NOT_AVAILABLE,NOT_AVAILABLE,4.1897359999711625,NOT_AVAILABLE,NOT_AVAILABLE,48000.0,NOT_AVAILABLE,Phase 06 recorded preprocessing + encoding + combined model training/inference times
multicentroid,2000,42,NOT_AVAILABLE,NOT_AVAILABLE,4.416572799993446,NOT_AVAILABLE,NOT_AVAILABLE,96000.0,NOT_AVAILABLE,Phase 06 recorded preprocessing + encoding + combined model training/inference times
multicentroid,2000,43,NOT_AVAILABLE,NOT_AVAILABLE,4.214746700017713,NOT_AVAILABLE,NOT_AVAILABLE,96000.0,NOT_AVAILABLE,Phase 06 recorded preprocessing + encoding + combined model training/inference times
multicentroid,2000,44,NOT_AVAILABLE,NOT_AVAILABLE,4.282916199910686,NOT_AVAILABLE,NOT_AVAILABLE,96000.0,NOT_AVAILABLE,Phase 06 recorded preprocessing + encoding + combined model training/inference times
multicentroid,2000,45,NOT_AVAILABLE,NOT_AVAILABLE,4.53750679991208,NOT_AVAILABLE,NOT_AVAILABLE,96000.0,NOT_AVAILABLE,Phase 06 recorded preprocessing + encoding + combined model training/inference times
multicentroid,2000,46,NOT_AVAILABLE,NOT_AVAILABLE,4.523090699978638,NOT_AVAILABLE,NOT_AVAILABLE,96000.0,NOT_AVAILABLE,Phase 06 recorded preprocessing + encoding + combined model training/inference times
multicentroid,5000,42,NOT_AVAILABLE,NOT_AVAILABLE,5.243597300053807,NOT_AVAILABLE,NOT_AVAILABLE,240000.0,NOT_AVAILABLE,Phase 06 recorded preprocessing + encoding + combined model training/inference times
multicentroid,5000,43,NOT_AVAILABLE,NOT_AVAILABLE,4.9881930999981705,NOT_AVAILABLE,NOT_AVAILABLE,240000.0,NOT_AVAILABLE,Phase 06 recorded preprocessing + encoding + combined model training/inference times
multicentroid,5000,44,NOT_AVAILABLE,NOT_AVAILABLE,5.1347140998987015,NOT_AVAILABLE,NOT_AVAILABLE,240000.0,NOT_AVAILABLE,Phase 06 recorded preprocessing + encoding + combined model training/inference times
multicentroid,5000,45,NOT_AVAILABLE,NOT_AVAILABLE,5.421237699949415,NOT_AVAILABLE,NOT_AVAILABLE,240000.0,NOT_AVAILABLE,Phase 06 recorded preprocessing + encoding + combined model training/inference times
multicentroid,5000,46,NOT_AVAILABLE,NOT_AVAILABLE,5.350197799940361,NOT_AVAILABLE,NOT_AVAILABLE,240000.0,NOT_AVAILABLE,Phase 06 recorded preprocessing + encoding + combined model training/inference times
