outer_fold,dimension,seed,levels,feature_k,test_rows,similarity_temperature,ridge_alpha,classification_accuracy,classification_balanced_accuracy,classification_macro_f1,classification_weighted_f1,classification_severe_error_rate,classification_confusion_true_0_pred_0,classification_confusion_true_0_pred_1,classification_confusion_true_0_pred_2,classification_confusion_true_0_pred_3,classification_confusion_true_1_pred_0,classification_confusion_true_1_pred_1,classification_confusion_true_1_pred_2,classification_confusion_true_1_pred_3,classification_confusion_true_2_pred_0,classification_confusion_true_2_pred_1,classification_confusion_true_2_pred_2,classification_confusion_true_2_pred_3,classification_confusion_true_3_pred_0,classification_confusion_true_3_pred_1,classification_confusion_true_3_pred_2,classification_confusion_true_3_pred_3,similarity_mae_raw,similarity_mae_bounded,similarity_rmse_bounded,similarity_r2_bounded,similarity_spearman_bounded,ridge_mae_raw,ridge_mae_bounded,ridge_rmse_bounded,ridge_r2_bounded,ridge_spearman_bounded
1,1000,42,51,50,84,0.05,0.1,0.6547619047619048,0.6547619047619047,0.6458317419091997,0.6458317419091997,0.07142857142857142,14,4,0,3,3,10,5,3,0,4,11,6,0,0,1,20,0.7025652952366318,0.7025652952366318,0.8441579142242476,0.42991793268205425,0.6956054863068322,0.4162736283305424,0.4006455457792414,0.5725377848635125,0.7377603879228658,0.8596459056123403
1,1000,43,51,50,84,0.05,0.1,0.7142857142857143,0.7142857142857143,0.7075411075411076,0.7075411075411077,0.08333333333333333,15,3,0,3,3,11,3,4,0,2,13,6,0,0,0,21,0.6664978237989287,0.6664978237989287,0.8141434943000622,0.4697362965511077,0.7219541789699698,0.39182203937073773,0.37831007162412056,0.5452355365839349,0.7621745677168228,0.8730553747286797
1,1000,44,51,50,84,0.05,0.1,0.6547619047619048,0.6547619047619047,0.6389482553260606,0.6389482553260606,0.08333333333333333,16,2,0,3,3,11,4,3,1,6,8,6,0,0,1,20,0.7001874380790124,0.7001874380790124,0.8642248472852213,0.4024923306678687,0.6591564614561586,0.4125028028453657,0.4041232692046089,0.5674898989186944,0.7423641717002001,0.8585499672565795
1,1000,45,51,50,84,0.05,0.1,0.7023809523809523,0.7023809523809523,0.6974511751075803,0.6974511751075803,0.08333333333333333,14,4,0,3,2,12,4,3,1,1,13,6,0,0,1,20,0.707261576338232,0.707261576338232,0.8533536061164124,0.4174300983424918,0.6767222565649169,0.40984202337385733,0.40468449411808144,0.5901309933008813,0.7213963285965723,0.8432008513697893
1,1000,46,51,50,84,0.05,0.1,0.7380952380952381,0.7380952380952381,0.7345681345681346,0.7345681345681346,0.08333333333333333,14,4,0,3,2,12,3,4,0,0,15,6,0,0,0,21,0.6905755866869201,0.6905755866869201,0.8273170803865412,0.4524371588005516,0.7259064828694405,0.41946331661886543,0.40070834805914607,0.5495429499413472,0.7584020369358095,0.8709168825074801
1,2000,42,51,50,84,0.05,0.1,0.6904761904761905,0.6904761904761905,0.682811924917188,0.6828119249171881,0.08333333333333333,14,4,0,3,3,11,3,4,0,3,12,6,0,0,0,21,0.706509198000918,0.706509198000918,0.844371112195959,0.4296299399111675,0.7105364121492769,0.40104981988021704,0.3904536950613866,0.5512571198834132,0.7568924702222755,0.8705438113699531
1,2000,43,51,50,84,0.05,0.1,0.7023809523809523,0.7023809523809523,0.694620291988713,0.694620291988713,0.08333333333333333,15,3,0,3,3,11,3,4,0,3,12,6,0,0,0,21,0.6822222859627737,0.6822222859627737,0.8326695527677702,0.44532913271481733,0.7035100941057736,0.38270282305366266,0.3751554754584095,0.5541010922191272,0.7543775836812563,0.8691293118798403
1,2000,44,51,50,84,0.05,0.01,0.6547619047619048,0.6547619047619047,0.6463991958215322,0.6463991958215322,0.08333333333333333,14,4,0,3,3,11,3,4,0,5,10,6,0,0,1,20,0.7024769665834457,0.7024769665834457,0.8516393004707101,0.4197684015150076,0.6934097619182373,0.4179300322980264,0.39214458650290285,0.5208332559411724,0.7829861756045737,0.8907662020932783
1,2000,45,51,50,84,0.05,0.01,0.7380952380952381,0.7380952380952381,0.7327874433137591,0.732787443313759,0.07142857142857142,16,2,0,3,2,12,4,3,0,2,13,6,0,0,0,21,0.6906607144937763,0.6906607144937763,0.8341826595971942,0.4433114323418813,0.7004360799617408,0.4109186783404026,0.3823030216021681,0.5605065340923511,0.7486659401918241,0.8668893600832901
1,2000,46,51,50,84,0.05,0.1,0.75,0.75,0.7457514332514332,0.7457514332514332,0.08333333333333333,17,1,0,3,2,12,3,4,0,2,13,6,0,0,0,21,0.6962039348997626,0.6962039348997626,0.8343011938440904,0.44315321436026034,0.7030709492280545,0.4010051033269413,0.3844047704584333,0.5470880436750334,0.7605557379742598,0.8749493532951303
1,5000,42,51,50,84,0.05,0.01,0.75,0.75,0.7430134029847085,0.7430134029847085,0.07142857142857142,17,1,0,3,3,11,4,3,0,1,14,6,0,0,0,21,0.7024905296197218,0.7024905296197218,0.8458646784565956,0.42761035659161606,0.6964837760622701,0.3900607132142938,0.3767763428655671,0.5579276900471034,0.7509733541429626,0.8689189307533812
1,5000,43,51,50,84,0.05,0.01,0.7142857142857143,0.7142857142857143,0.7075411075411076,0.7075411075411077,0.08333333333333333,15,3,0,3,3,11,3,4,0,2,13,6,0,0,0,21,0.6962211271368155,0.6962211271368155,0.8378144507497947,0.43845355689185594,0.7144887160487474,0.3919891261153405,0.3724647537662059,0.5776695067186225,0.7330383528059707,0.8494782223118345
1,5000,44,51,50,84,0.05,0.01,0.6666666666666666,0.6666666666666667,0.6596734892787524,0.6596734892787525,0.08333333333333333,14,4,0,3,3,11,3,4,0,4,11,6,0,0,1,20,0.7153515061686722,0.7153515061686722,0.8591968190358721,0.4094246609269112,0.6802354155866687,0.39324882749296464,0.37872722880245246,0.5396963446806289,0.7669822844306943,0.8771455113104294
1,5000,45,51,50,84,0.05,0.01,0.7738095238095238,0.7738095238095238,0.7721873714520774,0.7721873714520774,0.08333333333333333,17,1,0,3,2,12,3,4,0,0,15,6,0,0,0,21,0.7074908688358938,0.7074908688358938,0.8530218052073715,0.4178830398726058,0.6846268643638583,0.36428159248881037,0.3445111512319622,0.5082720053917875,0.7933276548280086,0.88702874920202
1,5000,46,51,50,84,0.05,0.01,0.7380952380952381,0.7380952380952381,0.7322379197379197,0.7322379197379197,0.08333333333333333,17,1,0,3,2,12,3,4,0,3,12,6,0,0,0,21,0.7054356621329329,0.7054356621329329,0.8459546977845546,0.4274885194369944,0.6978012106954271,0.36718717144709095,0.35417195932486983,0.5040403306787286,0.7967546760394224,0.8942800727129757
1,10000,42,51,50,84,0.05,0.01,0.7261904761904762,0.7261904761904763,0.717670608524267,0.7176706085242671,0.08333333333333333,17,1,0,3,3,11,3,4,0,3,12,6,0,0,0,21,0.7067210673675579,0.7067210673675579,0.8480561790443168,0.42464057374780284,0.6964837760622701,0.3519272328898043,0.34051522274005447,0.513274362969653,0.7892395426544776,0.8860109129545962
1,10000,43,51,50,84,0.05,0.01,0.6904761904761905,0.6904761904761905,0.682811924917188,0.6828119249171881,0.08333333333333333,14,4,0,3,3,11,3,4,0,3,12,6,0,0,0,21,0.7006120424421345,0.7006120424421345,0.8443660483368626,0.4296367811327928,0.7026318043503356,0.38073532393800597,0.36316366361493174,0.556306124156749,0.7524187969805566,0.8605723889514024
1,10000,44,51,50,84,0.05,0.01,0.6904761904761905,0.6904761904761905,0.6843918817603027,0.6843918817603029,0.08333333333333333,15,3,0,3,3,11,3,4,0,3,12,6,0,0,1,20,0.709172634783206,0.709172634783206,0.8516297896694732,0.4197813610780231,0.6907748926519237,0.3783428037234038,0.36049178421450484,0.5277176667521031,0.777211251358173,0.8798611098899635
1,10000,45,51,50,84,0.05,0.01,0.7380952380952381,0.738095238095238,0.7346502004396741,0.7346502004396742,0.08333333333333333,15,3,0,3,2,12,3,4,0,1,14,6,0,0,0,21,0.7024804568867962,0.7024804568867962,0.8453501510896356,0.4283064976421842,0.7048275287389304,0.35790282300642645,0.3442555180643077,0.511347092046868,0.7908193211641695,0.8839399286465052
1,10000,46,51,50,84,0.05,0.01,0.7023809523809523,0.7023809523809523,0.6967649467649467,0.6967649467649468,0.08333333333333333,14,4,0,3,2,12,3,4,0,3,12,6,0,0,0,21,0.7021958983768198,0.7021958983768198,0.845025713307376,0.42874523507948836,0.7004360799617408,0.34301370481141386,0.3254000780584389,0.4862870594861486,0.810819916621052,0.9021583349381751
