outer_fold,dimension,seed,levels,feature_k,test_rows,similarity_temperature,ridge_alpha,classification_accuracy,classification_balanced_accuracy,classification_macro_f1,classification_weighted_f1,classification_severe_error_rate,classification_confusion_true_0_pred_0,classification_confusion_true_0_pred_1,classification_confusion_true_0_pred_2,classification_confusion_true_0_pred_3,classification_confusion_true_1_pred_0,classification_confusion_true_1_pred_1,classification_confusion_true_1_pred_2,classification_confusion_true_1_pred_3,classification_confusion_true_2_pred_0,classification_confusion_true_2_pred_1,classification_confusion_true_2_pred_2,classification_confusion_true_2_pred_3,classification_confusion_true_3_pred_0,classification_confusion_true_3_pred_1,classification_confusion_true_3_pred_2,classification_confusion_true_3_pred_3,similarity_mae_raw,similarity_mae_bounded,similarity_rmse_bounded,similarity_r2_bounded,similarity_spearman_bounded,ridge_mae_raw,ridge_mae_bounded,ridge_rmse_bounded,ridge_r2_bounded,ridge_spearman_bounded
4,1000,42,51,50,84,0.05,0.1,0.8809523809523809,0.8809523809523809,0.8797821076890844,0.8797821076890843,0.023809523809523808,19,2,0,0,2,18,0,1,1,2,16,2,0,0,0,21,0.7030197389556153,0.7030197389556153,0.7922222122332302,0.49790717315542954,0.895416405668959,0.27230467651806733,0.24617559792494456,0.3375796433402241,0.9088319875218297,0.954527620283912
4,1000,43,51,50,84,0.05,0.1,0.7738095238095238,0.7738095238095238,0.7727031909362737,0.7727031909362736,0.023809523809523808,12,9,0,0,3,17,1,0,2,2,15,2,0,0,0,21,0.7304002531671816,0.7304002531671816,0.8272517384892786,0.452523648933173,0.8782897554379195,0.3154699332816683,0.29026906864450897,0.38367415099297913,0.8822353166878533,0.9456943773089634
4,1000,44,51,50,84,0.05,0.1,0.8571428571428571,0.8571428571428571,0.8537467700258399,0.8537467700258399,0.023809523809523808,19,2,0,0,3,18,0,0,2,2,14,3,0,0,0,21,0.687256460983989,0.687256460983989,0.7940712951419558,0.49556062258526146,0.9173736495549069,0.31323592192300637,0.27939882997337023,0.408506740159635,0.8664977945953187,0.9248870263432973
4,1000,45,51,50,84,0.05,0.1,0.8452380952380952,0.8452380952380952,0.8431818181818181,0.8431818181818181,0.03571428571428571,18,3,0,0,3,18,0,0,3,2,14,2,0,0,0,21,0.7180563866110659,0.7180563866110659,0.8224881503212057,0.4588105940649614,0.8989295646907106,0.28341947018879016,0.2733749255730764,0.3426776758430409,0.9060576083830494,0.9538613047840504
4,1000,46,51,50,84,0.05,0.1,0.8095238095238095,0.8095238095238095,0.8095121769638087,0.8095121769638088,0.023809523809523808,16,5,0,0,3,18,0,0,2,5,13,1,0,0,0,21,0.7249334185867445,0.7249334185867445,0.823702056153154,0.45721193815125305,0.9121039110222793,0.3256233368458268,0.3052424326030868,0.40917608629401425,0.8660599443240907,0.9331595162481874
4,2000,42,51,50,84,0.05,0.1,0.8928571428571429,0.8928571428571428,0.8917560793223572,0.8917560793223571,0.023809523809523808,20,1,0,0,3,18,0,0,2,1,16,2,0,0,0,21,0.7089024219093654,0.7089024219093654,0.8036678761210798,0.4832943559128261,0.8945381159135211,0.24934421557309777,0.22683565567454678,0.3087394486196838,0.9237439622928109,0.9528236404469584
4,2000,43,51,50,84,0.05,0.1,0.7976190476190477,0.7976190476190477,0.7971901301688537,0.7971901301688537,0.023809523809523808,14,7,0,0,3,17,1,0,2,2,15,2,0,0,0,21,0.72335351141308,0.72335351141308,0.815361872545294,0.4681480134395454,0.9028818685901812,0.29327836606525143,0.26452476206322595,0.34647431327910966,0.9039644401902155,0.957612191492821
4,2000,44,51,50,84,0.05,0.1,0.8333333333333334,0.8333333333333334,0.8322463768115943,0.8322463768115943,0.0,16,5,0,0,3,18,0,0,0,2,15,4,0,0,0,21,0.68473469882161,0.68473469882161,0.7845866119882743,0.5075390786310089,0.9178127944326259,0.26735220726040587,0.2428745696246025,0.348167577790941,0.9030234702201513,0.943130558638618
4,2000,45,51,50,84,0.05,0.1,0.8690476190476191,0.8690476190476191,0.8681542007123404,0.8681542007123403,0.011904761904761904,18,3,0,0,3,18,0,0,1,1,16,3,0,0,0,21,0.7190635956184785,0.7190635956184785,0.8199323104610251,0.4621688050096361,0.8782897554379195,0.24682512006035598,0.23707846353862236,0.30701315580725813,0.9245943377290147,0.9622833462045635
4,2000,46,51,50,84,0.05,0.01,0.8571428571428571,0.8571428571428572,0.8573422191843245,0.8573422191843246,0.023809523809523808,16,5,0,0,3,18,0,0,2,0,17,2,0,0,0,21,0.7051322545031681,0.7051322545031681,0.8054281432344126,0.4810284048687733,0.91605621492175,0.31034183662599313,0.26449193775552887,0.3898248144405985,0.8784292912370824,0.936368535629719
4,5000,42,51,50,84,0.05,0.01,0.8452380952380952,0.8452380952380952,0.8453287703287703,0.8453287703287703,0.023809523809523808,16,5,0,0,3,18,0,0,2,1,16,2,0,0,0,21,0.6994590683063766,0.6994590683063766,0.7930818547630917,0.4968169373164274,0.9055167378564949,0.2083780954178718,0.17603639442709765,0.25246819095008066,0.949007850046715,0.9643874523805883
4,5000,43,51,50,84,0.05,0.01,0.8452380952380952,0.8452380952380952,0.8453287703287703,0.8453287703287703,0.023809523809523808,16,5,0,0,3,18,0,0,2,1,16,2,0,0,0,21,0.7146299781444718,0.7146299781444718,0.810359252713248,0.47465430523362084,0.8976121300575538,0.24522796826862805,0.2216474412694794,0.29438156133010845,0.9306715970790781,0.964142665208163
4,5000,44,51,50,84,0.05,0.01,0.8690476190476191,0.8690476190476191,0.8681542007123404,0.8681542007123403,0.011904761904761904,18,3,0,0,3,18,0,0,1,1,16,3,0,0,0,21,0.7115808612404212,0.7115808612404212,0.8082220226424334,0.4774217296926191,0.9090298968782465,0.2465764573715914,0.2187080967666488,0.32595752176521103,0.9150013552037456,0.94253372523252
4,5000,45,51,50,84,0.05,0.01,0.8571428571428571,0.8571428571428571,0.8570724530026855,0.8570724530026855,0.023809523809523808,17,4,0,0,3,18,0,0,2,1,16,2,0,0,0,21,0.7128470890786124,0.7128470890786124,0.8138512682620217,0.47011689051863903,0.8760940310493247,0.26450848894170176,0.2433877862085519,0.32910015822686506,0.9133544686840419,0.9593109707583728
4,5000,46,51,50,84,0.05,0.01,0.8809523809523809,0.8809523809523809,0.8811517429938482,0.8811517429938485,0.023809523809523808,18,3,0,0,3,18,0,0,2,0,17,2,0,0,0,21,0.6976855712980841,0.6976855712980841,0.7944298159466805,0.4951050140279387,0.9186910841880639,0.22891364138571216,0.20090147420735038,0.28866336545708865,0.9333387691543898,0.9605035235146183
4,10000,42,51,50,84,0.05,0.01,0.8452380952380952,0.8452380952380952,0.8446715007690617,0.8446715007690616,0.011904761904761904,16,5,0,0,3,18,0,0,1,1,16,3,0,0,0,21,0.7046741808654525,0.7046741808654525,0.7981552671869189,0.49035853556942266,0.9090298968782465,0.2021536669499889,0.17681653995114793,0.2519749656049373,0.9492068933667125,0.9660513286873522
4,10000,43,51,50,84,0.05,0.01,0.8452380952380952,0.8452380952380952,0.8453287703287703,0.8453287703287703,0.023809523809523808,16,5,0,0,3,18,0,0,2,1,16,2,0,0,0,21,0.7033487256390931,0.7033487256390931,0.8001537918859509,0.48780312746442756,0.9041993032233381,0.2274784696643542,0.21225025988089133,0.28323612039459295,0.9358218400830557,0.9655337530916082
4,10000,44,51,50,84,0.05,0.01,0.8452380952380952,0.8452380952380952,0.8444770857814337,0.8444770857814335,0.0,16,5,0,0,3,18,0,0,0,1,16,4,0,0,0,21,0.71007039794908,0.71007039794908,0.8070494192793792,0.4789369878726534,0.8993687095684297,0.22233770266726294,0.19724505998279077,0.28619964507598034,0.9344718105267064,0.955716015095912
4,10000,45,51,50,84,0.05,0.01,0.8452380952380952,0.8452380952380952,0.8453287703287703,0.8453287703287703,0.023809523809523808,16,5,0,0,3,18,0,0,2,1,16,2,0,0,0,21,0.7081185485953102,0.7081185485953102,0.8052289959170349,0.48128501130755497,0.8940989710358022,0.22033862022516293,0.20697315376184725,0.2738637088847256,0.9399989351647218,0.9659730314142159
4,10000,46,51,50,84,0.05,0.01,0.8571428571428571,0.8571428571428571,0.8570724530026855,0.8570724530026855,0.023809523809523808,17,4,0,0,3,18,0,0,2,1,16,2,0,0,0,21,0.7032379555102837,0.7032379555102837,0.7995333730383186,0.4885971083183751,0.8989295646907106,0.20358695217218659,0.18227993670438614,0.26563932849762506,0.9435485977242647,0.9661456792764509
